Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
20,Raheem Mostert*,MIA,31,RB,15,15,209,1012,18,59,55.0,49,4.8,67.5,4,MostRa00
21,James Conner,ARI,28,RB,13,13,208,1040,7,57,49.5,44,5.0,80.0,0,ConnJa00
22,Isiah Pacheco,KAN,24,RB,14,13,205,935,7,53,50.7,48,4.6,66.8,1,PachIs00
23,Jerome Ford,CLE,24,RB,17,12,204,813,4,33,39.7,69,4.0,47.8,1,FordJe00
24,Gus Edwards,BAL,28,RB,17,9,198,810,13,49,54.0,42,4.1,47.6,3,EdwaGu00
25,Tyler Allgeier,ATL,23,RB,17,3,186,683,4,39,48.4,31,3.7,40.2,0,AllgTy00
26,Ezekiel Elliott,NWE,28,RB,17,5,184,642,3,33,45.1,17,3.5,37.8,2,ElliEz00
27,Zack Moss,IND,26,RB,14,8,183,794,5,43,49.2,56,4.3,56.7,0,MossZa00
28,Jahmyr Gibbs*,DET,21,RB,15,3,182,945,10,42,46.7,36,5.2,63.0,2,GibbJa01
29,Alvin Kamara,NOR,28,RB,13,12,180,694,5,42,48.3,17,3.9,53.4,0,KamaAl00
30,Alexander Mattison,MIN,25,RB,16,13,180,700,0,28,45.0,21,3.9,43.8,3,MattAl01
31,Austin Ekeler,LAC,28,RB,14,14,179,628,5,34,47.5,55,3.5,44.9,5,EkelAu00
32,AJ Dillon,GNB,25,RB,15,6,178,613,2,32,50.0,40,3.4,40.9,0,DillAJ00
33,Brian Robinson Jr.,WAS,24,RB,15,15,178,733,5,47,47.8,29,4.1,48.9,4,RobiBr01
34,Jonathan Taylor,IND,24,RB,10,7,169,741,7,42,49.1,49,4.4,74.1,1,TaylJo02
35,Jalen Hurts*,PHI,25,QB,17,17,157,605,15,68,61.1,24,3.9,35.6,9,HurtJa00
36,Rhamondre Stevenson,NWE,25,RB,12,12,156,619,4,36,49.4,64,4.0,51.6,1,StevRh00
37,Jaylen Warren,PIT,25,RB,17,0,149,784,4,36,49.7,74,5.3,46.1,4,WarrJa01
38,Lamar Jackson*+,BAL,26,QB,16,16,148,821,5,48,54.1,30,5.5,51.3,11,JackLa00
39,Dameon Pierce,HOU,23,RB,14,7,145,416,2,14,37.9,22,2.9,29.7,0,PierDa01
40,Aaron Jones,GNB,29,RB,11,11,142,656,2,34,62.0,39,4.6,59.6,2,JoneAa00
41,Kareem Hunt,CLE,28,RB,15,2,135,411,9,38,45.9,16,3.0,27.4,0,HuntKa00
42,Khalil Herbert,CHI,25,RB,12,9,132,611,2,25,49.2,38,4.6,50.9,1,HerbKh00
43,Miles Sanders,CAR,26,RB,16,5,129,432,1,24,40.3,48,3.3,27.0,2,SandMi01
44,Justin Fields,CHI,24,QB,13,13,124,657,4,43,52.4,39,5.3,50.5,10,FielJu00
45,Josh Allen,BUF,27,QB,17,17,111,524,15,57,65.8,23,4.7,30.8,7,AlleJo02
46,D'Onta Foreman,CHI,27,RB,9,8,109,425,4,24,53.2,22,3.9,47.2,1,ForeDO00
47,Zach Charbonnet,SEA,22,RB,16,2,108,462,1,32,49.1,23,4.3,28.9,0,CharZa00
48,Joshua Kelley,LAC,26,RB,17,3,107,405,2,21,43.0,49,3.8,23.8,1,KellJo01
49,Jamaal Williams,NOR,28,RB,13,4,106,306,1,19,39.6,17,2.9,23.5,1,WillJa06
50,Zamir White,LVR,24,RB,17,4,104,451,1,19,51.0,43,4.3,26.5,1,WhitZa01
51,De'Von Achane,MIA,22,RB,11,4,103,800,8,30,54.4,76,7.8,72.7,1,AchaDe00
52,Ty Chandler,MIN,25,RB,17,4,102,461,3,20,45.1,31,4.5,27.1,0,ChanTy01
53,Tyjae Spears,TEN,22,RB,17,1,100,453,2,24,44.0,23,4.5,26.6,1,SpeaTy00
54,Rico Dowdle,DAL,25,RB,16,0,89,361,2,17,47.2,21,4.1,22.6,0,DowdRi01
55,Kenneth Gainwell,PHI,24,RB,16,2,84,364,2,19,39.3,32,4.3,22.8,3,GainKe00
56,Justice Hill,BAL,26,RB,16,5,84,387,3,19,48.8,41,4.6,24.2,1,HillJu00
57,Taysom Hill,NOR,33,QB,16,7,81,401,4,26,64.2,27,5.0,25.1,1,HillTa00
58,Roschon Johnson,CHI,22,RB,15,0,81,352,2,16,43.2,29,4.3,23.5,1,JohnRo07
59,Russell Wilson,DEN,35,QB,15,15,80,341,3,38,55.0,21,4.3,22.7,10,WilsRu00
60,Latavius Murray,BUF,33,RB,16,4,79,300,4,27,57.0,29,3.8,18.8,1,MurrLa00
61,Joshua Dobbs,2TM,28,QB,13,12,77,421,6,31,49.4,44,5.5,32.4,14,DobbJo00
62,Royce Freeman,LAR,27,RB,14,0,77,319,2,17,51.9,23,4.1,22.8,0,FreeRo00
63,Jaleel McLaughlin,DEN,23,RB,17,3,76,410,1,16,53.9,38,5.4,24.1,0,McLaJa00
64,Patrick Mahomes*,KAN,28,QB,16,16,75,389,0,27,50.7,25,5.2,24.3,5,MahoPa00
65,Elijah Mitchell,SFO,25,RB,11,1,75,281,2,14,48.0,18,3.7,25.5,0,MitcEl00
66,Clyde Edwards-Helaire,KAN,24,RB,15,3,70,223,1,12,40.0,20,3.2,14.9,0,EdwaCl00
67,Trevor Lawrence,JAX,24,QB,16,16,70,339,4,23,47.1,26,4.8,21.2,12,LawrTr00
68,Dalvin Cook,2TM,28,,15,1,67,214,0,0,0.0,14,3.2,14.3,2,CookDa01
69,Antonio Gibson,WAS,25,RB,16,2,65,265,1,13,43.1,16,4.1,16.6,4,GibsAn00
70,Pierre Strong,CLE,25,RB,17,1,63,291,1,10,50.8,40,4.6,17.1,1,StroPi00
71,Baker Mayfield*,TAM,28,QB,17,17,62,163,1,16,35.5,31,2.6,9.6,8,MayfBa00
72,Cam Akers,2TM,24,RB,7,1,60,167,2,12,35.0,19,2.8,23.9,0,AkerCa00
73,Emari Demercado,ARI,24,RB,14,2,58,284,2,12,43.1,49,4.9,20.3,0,DemeEm00
74,Matt Breida,NYG,28,RB,17,4,55,151,1,7,34.5,9,2.7,8.9,1,BreiMa00
75,Dak Prescott*,DAL,30,QB,17,17,55,242,2,21,52.7,22,4.4,14.2,4,PresDa01
76,Samaje Perine,DEN,28,RB,17,1,53,238,1,14,50.9,24,4.5,14.0,3,PeriSa00
77,Desmond Ridder,ATL,24,QB,15,13,53,193,5,18,43.4,23,3.6,12.9,12,RiddDe00
78,Justin Herbert,LAC,25,QB,13,13,52,228,3,16,40.4,35,4.4,17.5,4,HerbJu00
79,Chris Rodriguez,WAS,23,RB,13,0,51,247,2,14,47.1,16,4.8,19.0,1,RodrCh00
80,Tank Bigsby,JAX,22,RB,17,0,50,132,2,12,42.0,12,2.6,7.8,2,BigsTa00
81,Jordan Love,GNB,25,QB,17,17,50,247,4,16,44.0,37,4.9,14.5,9,LoveJo03
82,Cordarrelle Patterson,ATL,32,RB,14,0,50,181,0,9,46.0,18,3.6,12.9,1,PattCo00
83,Chase Edmonds,TAM,27,RB,13,0,49,176,0,8,46.9,21,3.6,13.5,0,EdmoCh00
84,Sam Howell,WAS,23,QB,17,17,48,263,5,19,50.0,24,5.5,15.5,4,HoweSa00
85,Keaton Mitchell,BAL,21,RB,8,2,47,396,2,19,68.1,60,8.4,49.5,0,MitcKe01
86,Darrell Henderson,LAR,26,RB,4,4,46,112,2,5,37.0,16,2.4,28.0,0,HendDa00
87,Chase Brown,CIN,23,RB,12,0,44,179,0,6,34.1,31,4.1,14.9,1,BrowCh10
88,Kyler Murray,ARI,26,QB,8,8,44,244,3,15,59.1,33,5.5,30.5,7,MurrKy00
89,Kenny Pickett,PIT,25,QB,12,12,42,54,1,12,38.1,11,1.3,4.5,2,PickKe00
90,D'Ernest Johnson,JAX,27,RB,17,0,41,108,0,5,39.0,19,2.6,6.4,0,JohnDE04
91,Kendre Miller,NOR,21,RB,8,0,41,156,1,10,39.0,18,3.8,19.5,0,MillKe01
92,Craig Reynolds,DET,27,RB,17,0,41,179,1,11,43.9,19,4.4,10.5,2,ReynCr00
93,Jeff Wilson,MIA,28,RB,10,0,41,188,0,8,51.2,15,4.6,18.8,0,WilsJe01
94,Daniel Jones,NYG,26,QB,6,6,40,206,1,15,52.5,17,5.2,34.3,4,JoneDa05
95,Jordan Mason,SFO,24,RB,17,0,40,206,3,13,55.0,26,5.2,12.1,0,MasoJo00
96,Brock Purdy*,SFO,24,QB,16,16,39,144,2,15,53.8,17,3.7,9.0,6,PurdBr00
97,C.J. Stroud*,HOU,22,QB,15,15,39,167,3,17,59.0,16,4.3,11.1,8,StroCJ00
98,Bryce Young,CAR,22,QB,16,16,39,253,0,18,64.1,26,6.5,15.8,11,YounBr01
99,Tyrod Taylor,NYG,34,QB,11,5,38,197,0,10,47.4,31,5.2,17.9,4,TaylTy00
100,Deebo Samuel,SFO,27,WR,15,15,37,225,5,13,67.6,23,6.1,15.0,1,SamuDe00
101,Geno Smith*,SEA,33,QB,15,15,37,155,1,10,40.5,25,4.2,10.3,5,SmitGe00
102,Isaiah Spiller,LAC,22,RB,9,0,37,96,0,1,32.4,8,2.6,10.7,0,SpilIs00
103,Tommy DeVito,NYG,25,QB,9,6,36,195,1,7,44.4,26,5.4,21.7,2,DeViTo00
104,Zach Wilson,NYJ,24,QB,12,11,36,211,0,7,41.7,20,5.9,17.6,11,WilsZa00
105,Keaontay Ingram,ARI,24,RB,8,1,35,74,0,4,20.0,14,2.1,9.3,0,IngrKe01
106,Trey Sermon,IND,24,RB,14,0,35,160,0,7,45.7,27,4.6,11.4,0,SermTr00
107,Tua Tagovailoa*,MIA,25,QB,17,17,35,74,0,5,20.0,9,2.1,4.4,13,TagoTu00
108,Gardner Minshew II*,IND,27,QB,17,13,34,100,3,7,29.4,23,2.9,5.9,8,MinsGa00
109,Derek Carr,NOR,32,QB,17,17,32,40,0,4,25.0,10,1.3,2.4,7,CarrDe02
110,Darrynton Evans,2TM,25,RB,7,0,32,121,1,10,40.6,13,3.8,17.3,0,EvanDa02
111,Jared Goff,DET,29,QB,17,17,32,21,2,5,21.9,11,0.7,1.2,6,GoffJa00
112,Ronnie Rivers,LAR,24,RB,9,1,32,129,0,4,50.0,10,4.0,14.3,0,RiveRo01
113,Patrick Taylor,GNB,25,RB,11,0,32,141,0,7,46.9,24,4.4,12.8,0,TaylPa01
114,Joe Burrow,CIN,27,QB,10,10,31,88,0,9,38.7,20,2.8,8.8,2,BurrJo01
115,Michael Carter,2TM,24,RB,15,0,30,187,0,9,40.0,21,6.2,12.5,0,CartMi03
116,Ty Johnson,BUF,26,RB,10,0,30,132,0,8,63.3,13,4.4,13.2,1,JohnTy02
117,Nick Chubb,CLE,28,RB,2,2,28,170,0,8,57.1,20,6.1,85.0,0,ChubNi00
118,Rondale Moore,ARI,23,WR,17,8,28,178,1,5,46.4,45,6.4,10.5,1,MoorRo02
119,Jake Browning,CIN,27,QB,9,7,27,127,3,12,63.0,21,4.7,14.1,3,BrowJa08
120,Easton Stick,LAC,28,QB,5,4,27,144,1,11,63.0,21,5.3,28.8,5,SticEa00
121,Melvin Gordon,BAL,30,RB,4,0,26,81,1,4,30.8,22,3.1,20.3,1,GordMe00
122,Mac Jones,NWE,25,QB,11,11,26,96,0,11,57.7,18,3.7,8.7,3,JoneMa05
123,Tony Jones,2TM,26,RB,7,1,26,95,2,7,46.2,19,3.7,13.6,0,JoneTo04
124,Deshaun Watson,CLE,28,QB,6,6,26,142,1,10,61.5,16,5.5,23.7,5,WatsDe00
125,Will Levis,TEN,24,QB,9,9,25,57,1,7,36.0,11,2.3,6.3,7,LeviWi00
126,Anthony Richardson,IND,21,QB,4,4,25,136,4,8,64.0,23,5.4,34.0,3,RichAn03
127,Ke'Shawn Vaughn,TAM,26,RB,6,0,24,42,0,0,20.8,9,1.8,7.0,0,VaugKe00
128,Tyson Bagent,CHI,23,QB,5,4,23,109,2,11,56.5,20,4.7,21.8,3,BageTy00
129,Damien Harris,BUF,26,RB,6,0,23,94,1,9,65.2,11,4.1,15.7,0,HarrDa06
130,Deuce Vaughn,DAL,22,RB,7,0,23,40,0,1,8.7,13,1.7,5.7,0,VaugDe00
131,Israel Abanikanda,NYJ,21,RB,6,0,22,70,0,3,36.4,12,3.2,11.7,1,AbanIs00
132,Salvon Ahmed,MIA,25,RB,8,0,22,61,1,3,36.4,10,2.8,7.6,0,AhmeSa01
133,La'Mical Perine,KAN,25,RB,3,1,22,77,0,3,40.9,10,3.5,25.7,0,PeriLa00
134,Sam Darnold,SFO,26,QB,10,1,21,15,1,3,23.8,9,0.7,1.5,3,DarnSa00
135,Jerick McKinnon,KAN,31,RB,12,0,21,60,1,7,47.6,10,2.9,5.0,0,McKiJe00
136,Matthew Stafford*,LAR,35,QB,15,15,21,65,0,4,33.3,9,3.1,4.3,0,StafMa00
137,Jimmy Garoppolo,LVR,32,QB,7,6,20,39,0,6,30.0,9,2.0,5.6,1,GaroJi00
138,Boston Scott,PHI,28,RB,15,0,20,86,0,5,50.0,18,4.3,5.7,1,ScotBo02
139,Chris Brooks,MIA,23,RB,9,0,19,106,0,2,31.6,52,5.6,11.8,0,BrooCh00
140,Eric Gray,NYG,24,RB,13,0,17,48,0,2,35.3,12,2.8,3.7,3,GrayEr01
141,Aidan O'Connell,LVR,25,QB,11,10,17,11,1,7,41.2,3,0.6,1.0,4,OConAi00
142,Ryan Tannehill,TEN,35,QB,10,8,17,74,1,4,35.3,23,4.4,7.4,4,TannRy00
143,Carson Wentz,LAR,31,QB,2,1,17,56,1,4,58.8,12,3.3,28.0,0,WentCa00
144,Bailey Zappe,NWE,24,QB,10,6,17,83,1,6,47.1,18,4.9,8.3,2,ZappBa00
145,Kevin Harris,NWE,23,RB,4,0,16,65,1,2,50.0,18,4.1,16.3,0,HarrKe01
146,Mitchell Trubisky,PIT,29,QB,5,2,16,54,2,6,50.0,15,3.4,10.8,1,TrubMi00
147,Ameer Abdullah,LVR,30,RB,17,0,15,89,0,6,60.0,12,5.9,5.2,0,AbduAm00
148,Taylor Heinicke,ATL,30,QB,5,4,15,124,1,5,53.3,24,8.3,24.8,1,HeinTa00
149,Tyler Huntley,BAL,25,QB,5,1,15,55,0,3,40.0,11,3.7,11.0,0,HuntTy01
150,Sean Tucker,TAM,22,RB,11,0,15,23,0,1,26.7,7,1.5,2.1,0,TuckSe00
151,Trayveon Williams,CIN,26,RB,17,0,15,69,0,2,33.3,15,4.6,4.1,0,WillTr06
152,Raheem Blackshear,CAR,24,RB,12,0,14,46,0,1,35.7,9,3.3,3.8,0,BlacRa00
153,Kirk Cousins,MIN,35,QB,8,8,14,25,0,6,50.0,10,1.8,3.1,7,CousKi00
154,Derius Davis,LAC,23,WR,17,2,14,101,0,5,50.0,51,7.2,5.9,3,DaviDe02
155,Deon Jackson,3TM,24,RB,4,1,14,16,0,1,14.3,7,1.1,4.0,2,JackDe02
156,CeeDee Lamb*+,DAL,24,WR,17,17,14,113,2,6,85.7,24,8.1,6.6,3,LambCe00
157,Dorian Thompson-Robinson,CLE,24,QB,8,3,14,65,0,4,35.7,12,4.6,8.1,2,ThomDo02
158,Emanuel Wilson,GNB,24,RB,7,0,14,85,0,2,64.3,31,6.1,12.1,1,WilsEm00
159,Kyle Allen,BUF,27,QB,7,0,13,-13,0,0,0.0,0,-1.0,-1.9,0,AlleKy00
160,Tyler Goodson,IND,23,RB,6,1,13,87,0,4,46.2,31,6.7,14.5,0,GoodTy00
161,P.J. Walker,CLE,28,QB,6,2,13,30,0,3,46.2,9,2.3,5.0,4,WalkPh00
162,Leonard Fournette,BUF,28,RB,2,0,12,40,0,2,41.7,9,3.3,20.0,0,FourLe00
163,Puka Nacua*,LAR,22,WR,17,17,12,89,0,5,58.3,31,7.4,5.2,1,NacuPu00
164,Cooper Rush,DAL,30,QB,7,0,12,-5,0,1,8.3,6,-0.4,-0.7,0,RushCo00
165,Laviska Shenault Jr.,CAR,25,WR,8,0,12,55,0,3,50.0,11,4.6,6.9,1,ShenLa00
166,Calvin Austin,PIT,24,WR,17,1,11,57,1,4,63.6,12,5.2,3.4,2,AustCa00
167,Tank Dell,HOU,24,WR,11,8,11,51,0,3,54.5,13,4.6,4.6,1,DellNa00
168,Rashaad Penny,PHI,27,RB,3,0,11,33,0,1,45.5,7,3.0,11.0,0,PennRa00
169,Jayden Reed,GNB,23,WR,16,13,11,119,2,6,54.5,32,10.8,7.4,2,ReedJa03
170,Trevor Siemian,NYJ,32,QB,5,3,11,40,0,5,54.5,13,3.6,8.0,5,SiemTr00
171,Kadarius Toney,KAN,24,WR,13,2,11,31,0,2,27.3,14,2.8,2.4,1,ToneKa00
172,KaVontae Turpin,DAL,27,WR,16,0,11,110,1,5,72.7,46,10.0,6.9,1,TurpKa00
173,Damien Williams,ARI,31,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,0,WillDa05
174,DeeJay Dallas,SEA,25,RB,17,0,10,36,0,2,70.0,8,3.6,2.1,2,DallDe00
175,Nick Mullens,MIN,28,QB,5,3,10,25,0,4,50.0,6,2.5,5.0,2,MullNi00
176,Mason Rudolph,PIT,28,QB,4,3,10,8,0,4,40.0,7,0.8,2.0,3,RudoMa00
177,Tre Tucker,LVR,22,WR,16,1,10,77,0,4,70.0,34,7.7,4.8,0,TuckTr00
178,Gary Brightwell,NYG,24,RB,7,0,9,19,0,0,22.2,5,2.1,2.7,0,BrigGa00
179,Zach Evans,LAR,22,RB,10,0,9,19,0,0,0.0,5,2.1,1.9,0,EvanZa00
180,Joe Flacco,CLE,38,QB,5,5,9,2,0,3,33.3,3,0.2,0.4,4,FlacJo00
181,Marvin Mims*,DEN,21,WR,16,7,9,30,0,2,44.4,11,3.3,1.9,2,MimsMa00
182,Elijah Moore,CLE,23,WR,17,12,9,11,0,2,33.3,19,1.2,0.6,2,MoorEl00
183,Calvin Ridley,JAX,29,WR,17,17,9,23,0,3,33.3,18,2.6,1.4,1,RidlCa00
184,Wan'Dale Robinson,NYG,22,WR,15,8,9,87,1,4,66.7,32,9.7,5.8,0,RobiWa01
185,Jarrett Stidham,DEN,27,QB,3,2,9,8,0,1,22.2,4,0.9,2.7,1,StidJa00
186,C.J. Beathard,JAX,30,QB,7,1,8,35,0,2,37.5,19,4.4,5.0,1,BeatC.00
187,Khari Blasingame,CHI,27,FB,16,2,8,26,0,0,25.0,6,3.3,1.6,0,BlasKh00
188,J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,50.0,4,2.8,22.0,0,DobbJK00
189,Demario Douglas,NWE,23,WR,14,7,8,41,0,2,62.5,20,5.1,2.9,3,DougDe00
190,Zay Flowers,BAL,23,WR,16,16,8,56,1,1,50.0,37,7.0,3.5,0,FlowZa00
191,Xavier Gipson,NYJ,22,WR,17,3,8,68,1,4,62.5,18,8.5,4.0,5,GipsXa00
192,Velus Jones Jr.,CHI,26,WR,14,0,8,51,0,4,62.5,17,6.4,3.6,0,JoneVe00
193,Marcus Mariota,PHI,30,QB,3,0,8,52,0,6,87.5,17,6.5,17.3,1,MariMa01
194,Dare Ogunbowale,HOU,29,RB,12,0,8,35,0,2,37.5,17,4.4,2.9,0,OgunDa00
195,Ihmir Smith-Marsette,CAR,24,WR,17,0,8,74,1,4,75.0,20,9.3,4.4,2,SmitIh00
196,Deven Thompkins,TAM,24,WR,17,1,8,56,0,4,87.5,17,7.0,3.3,3,ThomDe07
197,Clayton Tune,ARI,24,QB,7,1,8,30,1,3,62.5,11,3.8,4.3,2,TuneCl00
198,Mike White,MIA,28,QB,6,0,8,-9,0,0,0.0,0,-1.1,-1.5,1,WhitMi01
199,Michael Burton,DEN,31,FB,17,3,7,9,0,4,57.1,4,1.3,0.5,0,BurtMi00
200,Jeff Driskel,CLE,30,QB,1,1,7,33,0,4,71.4,13,4.7,33.0,0,DrisJe00
201,Blaine Gabbert,KAN,34,QB,2,1,7,45,0,2,42.9,25,6.4,22.5,0,GabbBl00
202,Kalif Raymond,DET,29,WR,17,3,7,75,0,2,71.4,40,10.7,4.4,1,RaymKa00
203,Curtis Samuel,WAS,27,WR,16,13,7,39,1,4,71.4,15,5.6,2.4,0,SamuCu00
204,Tyler Scott,CHI,22,WR,17,4,7,41,0,2,71.4,16,5.9,2.4,1,ScotTy00
205,Rashid Shaheed*+,NOR,25,WR,15,8,7,37,0,1,85.7,12,5.3,2.5,1,ShahRa00
206,Tyrion Davis-Price,SFO,23,RB,1,0,6,21,0,1,50.0,15,3.5,21.0,0,DaviTy03
207,Jaren Hall,MIN,25,QB,3,2,6,14,0,0,16.7,8,2.3,4.7,2,HallJa00
208,Tyreek Hill*+,MIA,29,WR,16,16,6,15,0,2,33.3,14,2.5,0.9,1,HillTy00
209,Hunter Luepke,DAL,23,RB,17,0,6,19,1,5,83.3,9,3.2,1.1,0,LuepHu00
210,Tutu Atwell,LAR,24,WR,16,14,5,31,0,2,60.0,22,6.2,1.9,0,AtweTu00
211,Andrew Beck,HOU,27,FB,15,12,5,3,1,2,40.0,2,0.6,0.2,1,BeckAn01
212,Mike Boone,HOU,28,S,9,0,5,23,0,2,60.0,11,4.6,2.6,1,BoonMi00
213,Lynn Bowden Jr.,NOR,26,WR,15,3,5,32,0,3,60.0,29,6.4,2.1,1,BowdLy00
214,Harrison Bryant,CLE,25,TE,17,9,5,8,0,4,80.0,2,1.6,0.5,1,BryaHa00
215,Treylon Burks,TEN,23,WR,11,9,5,18,0,0,60.0,9,3.6,1.6,0,BurkTr00
216,Brandin Cooks,DAL,30,WR,16,15,5,35,0,1,60.0,14,7.0,2.2,1,CookBr00
217,Erik Ezukanma,MIA,23,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,0,EzukEr00
218,Xavier Hutchinson,HOU,23,WR,16,0,5,49,0,3,100.0,17,9.8,3.1,0,HutcXa00
219,Kyle Juszczyk*+,SFO,32,FB,17,16,5,6,0,2,60.0,3,1.2,0.4,0,JuszKy00
220,Drew Lock,SEA,27,QB,4,2,5,14,0,1,20.0,11,2.8,3.5,0,LockDr00
221,Kene Nwangwu,MIN,25,RB,9,0,5,13,0,0,40.0,8,2.6,1.4,0,NwanKe00
222,Brandon Powell,MIN,28,WR,17,2,5,17,0,1,60.0,9,3.4,1.0,1,PoweBr00
223,Malik Willis,TEN,24,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1,WillMa12
224,Jameis Winston,NOR,29,QB,7,0,5,-6,0,0,0.0,-1,-1.2,-0.9,0,WinsJa00
225,Jamal Agnew,JAX,28,WR,11,1,4,-2,0,0,0.0,1,-0.5,-0.2,1,AgneJa00
226,Brandon Bolden,LVR,33,RB,17,0,4,31,1,2,50.0,26,7.8,1.8,0,BoldBr00
227,Tim Boyle,NYJ,29,QB,3,2,4,5,0,3,75.0,2,1.3,1.7,2,BoylTi00
228,Elijah Dotson,LAC,24,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,0,DotsEl00
229,Devin Duvernay,BAL,26,WR,13,1,4,15,0,0,50.0,8,3.8,1.2,0,DuveDe00
230,Chris Godwin,TAM,27,WR,17,17,4,38,1,3,75.0,19,9.5,2.2,0,GodwCh00
231,Marquise Goodwin,CLE,33,WR,12,0,4,33,0,2,50.0,20,8.3,2.8,0,GoodMa00
232,Deonte Harty,BUF,26,WR,16,1,4,0,0,0,25.0,4,0.0,0.0,2,HarrDe07
233,Jakobi Meyers,LVR,27,WR,16,16,4,24,2,3,75.0,17,6.0,1.5,0,MeyeJa01
234,D.J. Moore,CHI,26,WR,17,17,4,21,1,1,50.0,16,5.3,1.2,1,MoorD.00
235,Amon-Ra St. Brown*+,DET,24,WR,16,16,4,24,0,2,75.0,11,6.0,1.5,1,StxxAm00
236,Christian Watson,GNB,24,WR,9,9,4,11,0,1,25.0,13,2.8,1.2,0,WatsCh00
237,Garrett Wilson,NYJ,23,WR,17,17,4,0,0,1,50.0,6,0.0,0.0,2,WilsGa00
238,Matt Barkley,JAX,33,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,0,BarkMa00
239,Jacoby Brissett,WAS,31,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,0,BrisJa00
240,DeAndre Carter,LVR,30,WR,17,1,3,18,0,2,66.7,15,6.0,1.1,2,CartDe02
241,Ja'Marr Chase*,CIN,23,WR,16,16,3,-6,0,0,0.0,2,-2.0,-0.4,1,ChasJa00
242,Sean Clifford,GNB,25,QB,2,0,3,-2,0,0,0.0,0,-0.7,-1.0,1,ClifSe00
243,Andy Dalton,CAR,36,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,0,DaltAn00
244,Gerald Everett,LAC,29,TE,15,12,3,10,0,0,33.3,6,3.3,0.7,3,EverGe00
245,Derrick Gore,WAS,29,RB,6,0,3,26,0,1,33.3,23,8.7,4.3,0,GoreDe00
246,Brian Hoyer,LVR,38,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,0,HoyeBr00
247,Quentin Johnston,LAC,22,WR,17,10,3,9,0,0,33.3,6,3.0,0.5,0,JohnQu02
248,Cole Kmet,CHI,24,TE,17,17,3,2,0,2,66.7,1,0.7,0.1,1,KmetCo00
249,Zonovan Knight,DET,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,0,KnigZo00
250,Ray-Ray McCloud,SFO,27,WR,12,1,3,30,0,2,100.0,15,10.0,2.5,1,McClRa00
251,Isaiah McKenzie,IND,28,WR,13,2,3,14,0,0,33.3,7,4.7,1.1,3,McKeIs00
252,Bo Melton,GNB,24,WR,5,1,3,21,0,2,100.0,12,7.0,4.2,0,MeltBo00
