,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
1131,23,50.0,12.0,6.0,2.2
1133,23,100.0,6.0,6.0,1.6
1137,27,50.0,10.0,5.0,2.0
1140,26,100.0,12.0,12.0,2.2
1144,24,66.7,26.0,6.8,0.6
1152,26,33.3,6.0,2.0,1.6
1153,25,50.0,5.0,2.5,1.5
1156,30,33.3,12.0,4.0,2.2
1159,26,100.0,2.0,2.0,1.2
1163,23,50.0,3.0,1.5,1.3
1181,30,71.3,47.0,9.0,254.3
1186,24,65.3,51.0,8.7,207.2
1189,26,79.4,61.0,9.8,222.5
1192,27,76.9,75.0,9.8,221.0
1195,29,65.2,30.0,6.8,215.6
1198,32,66.2,61.0,10.8,167.5
1204,25,77.3,35.0,8.1,191.7
1227,25,72.4,30.0,8.6,150.2
1230,26,77.5,33.0,8.2,160.4
1235,24,66.7,28.0,7.0,144.7
1237,24,57.3,34.0,6.4,136.0
1327,37,75.9,33.0,6.4,139.9
1329,33,70.8,24.0,7.1,110.1
1333,30,81.3,32.0,7.6,113.7
1340,34,63.4,41.0,7.3,123.7
1342,22,60.6,75.0,8.5,111.0
1344,24,79.5,57.0,10.0,104.7
1345,29,59.7,23.0,6.2,111.8
1352,25,64.7,75.0,6.9,109.4
1354,29,68.3,27.0,6.9,106.6
1355,29,82.9,45.0,7.8,98.0
1358,33,63.3,48.0,7.5,100.7
1369,26,59.6,48.0,7.2,86.5
1372,28,65.5,37.0,5.7,91.1
1374,25,75.6,42.0,8.9,85.5
1376,27,65.5,53.0,7.6,89.8
1380,25,61.7,33.0,6.8,89.8
1381,26,69.5,22.0,5.9,93.9
1385,23,56.0,49.0,7.8,79.7
1387,23,85.2,38.0,9.7,73.9
1391,25,64.2,33.0,8.7,83.9
1394,22,54.2,39.0,6.2,80.7
1399,26,76.9,61.0,8.9,76.9
1400,22,84.0,23.0,7.0,68.4
1403,29,69.1,22.0,5.0,83.5
1406,24,63.6,59.0,10.4,58.9
1407,22,73.8,32.0,6.4,75.8
1408,26,72.1,35.0,7.5,75.1
1411,21,76.6,29.0,6.6,79.1
1418,29,71.4,29.0,6.5,65.6
1437,26,67.5,36.0,6.1,63.2
1438,28,55.6,23.0,5.5,49.9
1441,35,67.7,29.0,6.9,54.5
1452,30,75.0,47.0,9.9,47.7
1455,25,65.0,23.0,6.0,56.1
1463,27,70.0,35.0,7.7,41.3
1466,24,58.3,39.0,8.5,40.4
1474,25,78.9,28.0,10.6,41.2
1475,24,57.1,37.0,9.1,32.7
1488,31,64.3,31.0,6.0,40.7
1492,28,57.1,17.0,6.2,39.3
1496,35,78.9,25.0,8.2,36.6
1498,24,68.2,25.0,4.1,36.1
1499,24,90.0,53.0,14.9,29.9
1504,29,68.4,25.0,5.7,32.5
1508,23,53.3,19.0,4.5,35.6
1509,27,68.4,24.0,6.9,32.1
1512,35,52.6,48.0,6.5,28.3
1516,27,70.0,26.0,5.7,31.4
1518,24,66.7,41.0,12.7,23.4
1521,27,72.2,19.0,6.1,29.9
1523,26,77.3,18.0,7.5,33.6
1524,39,70.8,26.0,7.2,34.3
1526,23,75.0,29.0,7.5,24.5
1528,23,57.1,24.0,7.4,24.3
1529,25,66.7,28.0,6.7,26.0
1530,26,69.2,24.0,6.7,23.7
1531,27,75.0,42.0,11.3,21.0
1534,26,66.7,20.0,7.8,26.0
1536,31,69.2,15.0,6.0,22.8
1538,25,59.3,23.0,5.3,30.2
1543,22,80.0,20.0,8.7,20.7
1544,27,42.9,20.0,5.1,19.1
1547,25,54.5,18.0,5.4,17.9
1554,23,71.4,21.0,7.3,16.1
1557,24,61.5,29.0,8.8,19.4
1561,24,66.7,9.0,4.2,15.8
1566,23,50.0,18.0,4.1,15.1
1569,26,72.7,21.0,8.5,17.3
1575,26,87.5,30.0,11.4,16.1
1582,28,58.3,16.0,3.5,22.4
1586,29,80.0,17.0,7.9,15.9
1588,28,53.3,30.0,4.5,14.7
1591,24,66.7,8.0,4.3,9.3
1596,24,50.0,24.0,4.6,13.5
1597,26,76.5,9.0,3.8,19.5
1601,24,80.0,20.0,5.8,13.8
1608,28,50.0,19.0,7.1,10.1
1616,31,42.9,24.0,7.1,8.0
1619,31,57.1,18.0,3.8,13.3
1620,24,66.7,32.0,15.7,6.9
1623,24,75.0,24.0,12.5,8.0
1634,25,66.7,18.0,9.0,4.7
1639,25,40.0,14.0,5.2,4.6
1643,25,57.1,9.0,3.7,6.6
1645,23,83.3,21.0,5.0,8.0
1651,26,66.7,25.0,8.5,7.1
1666,22,50.0,6.0,2.5,4.5
1668,25,66.7,11.0,7.0,4.1
1674,26,33.3,11.0,3.7,2.1
1677,26,50.0,12.0,6.0,2.2
1684,23,50.0,7.0,3.5,1.7
1688,23,100.0,5.0,5.0,1.5
1690,26,33.3,9.0,3.0,1.9
1691,27,100.0,11.0,11.0,2.1
1694,22,66.7,10.0,4.3,3.3
1698,23,50.0,6.0,3.0,1.6
1700,27,100.0,10.0,5.5,3.1
1702,25,100.0,5.0,5.0,1.5
1704,23,33.3,8.0,2.7,1.8
1706,28,100.0,8.0,5.0,3.0
1711,25,33.3,4.0,1.3,1.4
