,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
411,6.416666666666667,253.0,4.72,33.0,22.0,121.0,7.08,4.37,2017.0,18.7
412,6.5,278.0,4.79,32.5,24.0,121.0,7.09,4.38,2017.0,23.0
417,6.5,252.0,4.8,33.0,14.0,116.0,6.85,4.32,2015.0,18.7
420,6.25,240.0,4.55,35.0,15.0,115.0,6.83,4.37,2021.0,16.6
421,6.333333333333333,253.0,4.72,33.5,21.0,116.0,7.08,4.37,2018.0,14.0
425,6.333333333333333,251.0,4.83,33.5,17.0,116.0,7.08,4.37,2019.0,19.4
432,6.416666666666667,242.0,4.72,33.5,18.0,116.0,7.08,4.37,2020.0,12.7
438,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,11.2
439,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,10.7
441,6.416666666666667,255.0,4.71,33.5,22.0,115.0,7.15,4.31,2019.0,19.1
445,6.416666666666667,249.0,4.63,34.0,22.0,117.0,7.21,4.47,2019.0,15.6
454,6.416666666666667,251.0,4.79,36.5,22.0,118.0,7.14,4.36,2021.0,12.6
464,6.333333333333333,247.0,4.72,33.5,22.0,116.0,7.08,4.37,2021.0,10.5
468,6.416666666666667,244.0,4.78,34.5,21.0,120.0,7.18,4.46,2020.0,10.2
471,6.5,262.0,4.95,31.0,22.0,113.0,7.37,4.42,2019.0,7.7
473,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,7.5
475,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,8.3
476,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,7.9
477,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,9.3
484,6.25,267.0,4.89,31.0,24.0,117.0,7.18,4.38,2019.0,6.5
487,6.25,250.0,4.72,34.0,22.0,116.0,7.08,4.37,2021.0,5.6
490,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,5.4
496,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,6.1
500,6.583333333333333,252.0,4.77,32.5,18.0,109.0,7.15,4.46,2020.0,8.3
502,6.416666666666667,255.0,4.92,32.0,15.0,108.0,7.08,4.47,2019.0,6.3
503,6.416666666666667,252.0,4.69,29.0,22.0,116.0,7.08,4.37,2017.0,6.1
508,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,6.4
513,6.25,241.0,4.68,33.5,19.0,116.0,7.08,4.37,2017.0,3.6
528,6.25,247.0,4.6,31.5,16.0,119.0,6.86,4.32,2021.0,6.2
532,6.25,247.0,4.88,31.0,22.0,112.0,7.37,4.43,2020.0,4.6
538,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,3.3
546,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,4.0
547,6.333333333333333,245.0,4.66,33.5,21.0,116.0,7.25,4.28,2020.0,1.9
552,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,1.8
557,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,1.9
560,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,2.8
561,6.333333333333333,257.0,4.87,31.5,16.0,116.0,7.23,4.47,2014.0,3.1
564,6.416666666666667,258.0,4.68,33.0,27.0,115.0,7.03,4.4,2011.0,3.2
565,6.5,263.0,4.98,30.5,19.0,110.0,7.46,4.54,2015.0,1.7
568,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,2.8
573,6.333333333333333,268.0,5.04,30.5,20.0,112.0,7.13,4.23,2015.0,1.2
576,6.25,247.0,4.55,32.0,17.0,116.0,7.09,4.47,2017.0,1.0
578,6.333333333333333,249.0,4.89,33.5,14.0,116.0,7.08,4.37,2019.0,0.9
585,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,1.0
600,6.416666666666667,255.0,4.63,33.5,22.0,116.0,7.08,4.37,2013.0,312.8
609,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,278.6
634,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,176.6
641,6.416666666666667,256.0,4.67,31.0,17.0,113.0,7.34,4.38,2018.0,170.1
647,6.416666666666667,251.0,4.7,37.5,17.0,123.0,7.02,4.18,2019.0,175.3
651,6.416666666666667,247.0,4.54,41.5,22.0,129.0,6.76,4.1,2018.0,159.3
652,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,176.6
653,6.5,264.0,4.68,33.5,23.0,116.0,7.08,4.37,2010.0,149.3
662,6.25,248.0,4.62,38.0,22.0,127.0,7.08,4.18,2017.0,140.2
665,6.5,260.0,4.53,38.5,22.0,120.0,6.9,4.45,2010.0,143.6
667,6.333333333333333,250.0,4.67,31.5,22.0,120.0,7.19,4.37,2018.0,149.1
741,6.416666666666667,246.0,4.49,41.0,23.0,123.0,7.08,4.37,2009.0,127.4
743,6.333333333333333,249.0,4.5,39.5,20.0,127.0,6.81,4.22,2019.0,149.3
746,6.333333333333333,250.0,4.6,32.0,24.0,120.0,7.08,4.37,2014.0,141.8
748,6.416666666666667,250.0,4.79,33.5,13.0,116.0,7.08,4.37,2016.0,145.3
750,6.5,249.0,4.77,33.5,22.0,116.0,7.08,4.37,2016.0,128.2
755,6.416666666666667,244.0,4.75,32.0,15.0,120.0,7.0,4.4,2018.0,146.5
760,6.25,234.0,4.42,36.0,19.0,125.0,6.92,4.23,2017.0,141.0
762,6.333333333333333,247.0,4.52,35.0,18.0,132.0,7.08,4.37,2017.0,125.1
770,6.416666666666667,256.0,4.72,33.5,23.0,116.0,7.08,4.37,2018.0,116.4
778,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,98.5
783,6.333333333333333,254.0,4.72,33.0,19.0,117.0,7.0,4.32,2016.0,113.5
786,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,96.8
814,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,83.3
815,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,76.2
822,6.25,239.0,4.62,37.5,22.0,126.0,6.99,4.33,2017.0,92.9
829,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,80.4
833,6.25,249.0,4.72,33.5,22.0,116.0,7.08,4.37,2018.0,83.7
835,6.416666666666667,250.0,4.68,35.5,22.0,119.0,6.92,4.32,2013.0,82.9
839,6.166666666666667,236.0,4.72,33.5,16.0,116.0,7.08,4.37,2013.0,73.1
840,6.333333333333333,257.0,4.87,31.5,16.0,116.0,7.23,4.47,2014.0,70.5
844,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,83.7
847,6.333333333333333,253.0,4.72,33.5,21.0,116.0,7.08,4.37,2018.0,73.7
848,6.333333333333333,254.0,4.72,34.5,16.0,116.0,7.12,4.27,2019.0,66.8
849,6.416666666666667,249.0,4.76,30.5,24.0,111.0,7.08,4.47,2013.0,77.5
852,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,64.1
854,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,65.9
857,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,68.2
861,6.416666666666667,255.0,4.71,33.5,22.0,115.0,7.15,4.31,2019.0,78.9
862,6.416666666666667,243.0,4.73,32.5,13.0,110.0,7.41,4.37,2020.0,61.8
867,6.333333333333333,262.0,4.87,28.0,15.0,111.0,7.07,4.4,2018.0,61.1
868,6.5,259.0,4.83,33.5,22.0,116.0,7.08,4.37,2011.0,65.4
874,6.5,262.0,4.7,37.0,22.0,123.0,7.44,4.41,2020.0,62.0
875,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,43.9
878,6.333333333333333,246.0,4.64,37.5,21.0,133.0,6.97,4.34,2017.0,52.3
879,6.5,278.0,4.79,32.5,24.0,121.0,7.09,4.38,2017.0,45.0
880,6.416666666666667,253.0,4.81,31.0,18.0,110.0,7.17,4.23,2018.0,58.8
885,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,49.5
891,6.416666666666667,246.0,4.75,33.5,17.0,116.0,7.08,4.37,2015.0,41.9
892,6.5,254.0,4.51,35.5,23.0,114.0,7.04,4.48,2007.0,53.9
896,6.5,261.0,4.8,37.0,23.0,118.0,7.24,4.82,2006.0,38.7
897,6.5,255.0,4.72,34.0,24.0,116.0,7.08,4.37,2017.0,42.3
906,6.5,251.0,4.51,30.0,22.0,121.0,6.85,4.16,2017.0,37.6
911,6.333333333333333,253.0,4.66,36.5,22.0,121.0,7.16,4.11,2019.0,33.0
912,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,54.2
914,6.25,254.0,4.8,38.0,18.0,120.0,7.13,4.23,2018.0,44.4
917,6.583333333333333,261.0,4.83,37.5,26.0,121.0,7.53,4.5,2015.0,38.9
921,6.333333333333333,268.0,5.04,30.5,20.0,112.0,7.13,4.23,2015.0,37.3
923,6.166666666666667,251.0,4.58,38.0,17.0,118.0,7.25,4.37,2015.0,27.9
925,6.416666666666667,255.0,4.8,34.5,18.0,114.0,6.78,4.27,2020.0,38.1
932,6.333333333333333,259.0,4.74,36.0,22.0,123.0,7.15,4.2,2018.0,40.5
939,6.5,264.0,4.65,31.0,25.0,116.0,7.08,4.37,2003.0,31.9
944,6.416666666666667,256.0,4.94,33.0,18.0,110.0,7.15,4.43,2018.0,30.9
948,6.416666666666667,258.0,4.49,33.5,22.0,116.0,7.08,4.37,2020.0,29.1
960,6.333333333333333,251.0,4.75,31.5,17.0,113.0,7.19,4.31,2019.0,29.4
971,6.5,257.0,4.76,30.5,17.0,111.0,7.05,4.2,2016.0,29.5
972,6.333333333333333,249.0,4.78,34.5,17.0,117.0,7.3,4.37,2015.0,24.2
974,6.25,247.0,4.55,32.0,17.0,116.0,7.09,4.47,2017.0,23.2
980,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,22.7
984,6.416666666666667,247.0,4.72,33.5,14.0,116.0,7.08,4.37,2018.0,22.0
985,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,23.3
1003,6.166666666666667,230.0,4.59,38.0,16.0,119.0,7.08,4.37,2016.0,18.6
1004,6.5,252.0,4.8,33.0,14.0,116.0,6.85,4.32,2015.0,22.2
1006,6.25,249.0,4.54,42.5,23.0,130.0,6.9,4.4,2011.0,14.0
1007,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,18.6
1010,6.416666666666667,255.0,4.92,32.0,15.0,108.0,7.08,4.47,2019.0,29.2
1014,6.25,257.0,4.73,30.5,16.0,115.0,7.08,4.37,2020.0,11.9
1017,6.333333333333333,267.0,4.69,33.5,31.0,119.0,7.08,4.53,2013.0,24.9
1024,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,10.6
1025,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,17.6
1047,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,7.7
1051,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,7.3
1058,6.416666666666667,258.0,4.68,33.0,27.0,115.0,7.03,4.4,2011.0,13.3
1059,6.416666666666667,265.0,4.74,27.0,16.0,111.0,7.5,4.75,2018.0,7.3
1062,6.25,241.0,4.68,33.5,19.0,116.0,7.08,4.37,2017.0,10.3
1063,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,11.5
1066,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,11.2
1067,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,9.3
1069,6.666666666666667,260.0,4.86,31.0,17.0,113.0,7.09,4.57,2013.0,9.6
1073,6.166666666666667,248.0,4.74,32.5,23.0,115.0,7.08,4.46,2020.0,5.4
1079,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,7.1
1080,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,7.9
1081,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,10.3
1085,6.416666666666667,252.0,4.67,36.5,19.0,122.0,7.21,4.25,2019.0,6.5
1086,6.416666666666667,244.0,4.78,34.5,21.0,120.0,7.18,4.46,2020.0,6.6
1087,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,10.6
1090,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,4.1
1091,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,4.0
1093,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,5.5
1114,6.333333333333333,253.0,4.71,34.0,21.0,125.0,7.07,4.19,2020.0,4.6
1117,6.583333333333333,252.0,4.77,32.5,18.0,109.0,7.15,4.46,2020.0,3.6
1121,6.416666666666667,253.0,4.72,33.0,22.0,121.0,7.08,4.37,2017.0,4.6
1128,6.416666666666667,246.0,4.72,33.5,22.0,116.0,7.08,4.37,2017.0,2.5
1129,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,2.4
1131,6.166666666666667,242.0,4.72,35.5,25.0,115.0,7.15,4.35,2020.0,2.2
1133,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,1.6
1137,6.416666666666667,244.0,4.71,30.5,18.0,115.0,6.88,4.31,2016.0,2.0
1140,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,2.2
1144,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,0.6
1152,6.416666666666667,252.0,4.69,29.0,22.0,116.0,7.08,4.37,2017.0,1.6
1153,6.25,267.0,4.89,31.0,24.0,117.0,7.18,4.38,2019.0,1.5
1156,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,2.2
1159,6.25,247.0,4.81,33.0,22.0,117.0,7.28,4.51,2018.0,1.2
1163,6.25,244.0,4.91,28.0,19.0,116.0,7.45,4.43,2019.0,1.3
1181,6.416666666666667,255.0,4.63,33.5,22.0,116.0,7.08,4.37,2013.0,254.3
1186,6.416666666666667,256.0,4.67,31.0,17.0,113.0,7.34,4.38,2018.0,207.2
1189,6.333333333333333,247.0,4.52,35.0,18.0,132.0,7.08,4.37,2017.0,222.5
1192,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,221.0
1195,6.416666666666667,249.0,4.76,30.5,24.0,111.0,7.08,4.47,2013.0,215.6
1198,6.416666666666667,246.0,4.49,41.0,23.0,123.0,7.08,4.37,2009.0,167.5
1204,6.333333333333333,254.0,4.72,33.0,19.0,117.0,7.0,4.32,2016.0,191.7
1227,6.416666666666667,250.0,4.79,33.5,13.0,116.0,7.08,4.37,2016.0,150.2
1230,6.5,249.0,4.77,33.5,22.0,116.0,7.08,4.37,2016.0,160.4
1235,6.416666666666667,256.0,4.72,33.5,23.0,116.0,7.08,4.37,2018.0,144.7
1237,6.416666666666667,247.0,4.54,41.5,22.0,129.0,6.76,4.1,2018.0,136.0
1327,6.5,264.0,4.65,31.0,25.0,116.0,7.08,4.37,2003.0,139.9
1329,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,110.1
1333,6.5,259.0,4.83,33.5,22.0,116.0,7.08,4.37,2011.0,113.7
1340,6.5,254.0,4.51,35.5,23.0,114.0,7.04,4.48,2007.0,123.7
1342,6.333333333333333,249.0,4.5,39.5,20.0,127.0,6.81,4.22,2019.0,111.0
1344,6.25,248.0,4.62,38.0,22.0,127.0,7.08,4.18,2017.0,104.7
1345,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,111.8
1352,6.25,234.0,4.42,36.0,19.0,125.0,6.92,4.23,2017.0,109.4
1354,6.416666666666667,250.0,4.68,35.5,22.0,119.0,6.92,4.32,2013.0,106.6
1355,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,98.0
1358,6.5,260.0,4.53,38.5,22.0,120.0,6.9,4.45,2010.0,100.7
1369,6.333333333333333,250.0,4.6,32.0,24.0,120.0,7.08,4.37,2014.0,86.5
1372,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,91.1
1374,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,85.5
1376,6.25,249.0,4.72,33.5,22.0,116.0,7.08,4.37,2018.0,89.8
1380,6.25,239.0,4.62,37.5,22.0,126.0,6.99,4.33,2017.0,89.8
1381,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,93.9
1385,6.333333333333333,254.0,4.72,34.5,16.0,116.0,7.12,4.27,2019.0,79.7
1387,6.333333333333333,262.0,4.87,28.0,15.0,111.0,7.07,4.4,2018.0,73.9
1391,6.5,251.0,4.51,30.0,22.0,121.0,6.85,4.16,2017.0,83.9
1394,6.416666666666667,251.0,4.7,37.5,17.0,123.0,7.02,4.18,2019.0,80.7
1399,6.333333333333333,250.0,4.67,31.5,22.0,120.0,7.19,4.37,2018.0,76.9
1400,6.333333333333333,253.0,4.66,36.5,22.0,121.0,7.16,4.11,2019.0,68.4
1403,6.333333333333333,267.0,4.69,33.5,31.0,119.0,7.08,4.53,2013.0,83.5
1406,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,58.9
1407,6.416666666666667,255.0,4.92,32.0,15.0,108.0,7.08,4.47,2019.0,75.8
1408,6.333333333333333,268.0,5.04,30.5,20.0,112.0,7.13,4.23,2015.0,75.1
1411,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,79.1
1418,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,65.6
1437,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,63.2
1438,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,49.9
1441,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,54.5
1452,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,47.7
1455,6.416666666666667,252.0,4.69,29.0,22.0,116.0,7.08,4.37,2017.0,56.1
1463,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,41.3
1466,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,40.4
1474,6.333333333333333,249.0,4.78,34.5,17.0,117.0,7.3,4.37,2015.0,41.2
1475,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,32.7
1488,6.416666666666667,251.0,4.78,31.5,22.0,109.0,7.08,4.37,2012.0,40.7
1492,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,39.3
1496,6.5,261.0,4.8,37.0,23.0,118.0,7.24,4.82,2006.0,36.6
1498,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,36.1
1499,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,29.9
1504,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,32.5
1508,6.333333333333333,259.0,4.74,36.0,22.0,123.0,7.15,4.2,2018.0,35.6
1509,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,32.1
1512,6.25,254.0,4.38,42.0,33.0,128.0,7.0,4.17,2006.0,28.3
1516,6.416666666666667,254.0,4.81,33.5,26.0,116.0,7.08,4.37,2015.0,31.4
1518,6.416666666666667,256.0,4.94,33.0,18.0,110.0,7.15,4.43,2018.0,23.4
1521,6.25,252.0,4.93,30.5,21.0,110.0,7.4,4.5,2015.0,29.9
1523,6.5,257.0,4.76,30.5,17.0,111.0,7.05,4.2,2016.0,33.6
1524,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,34.3
1526,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,24.5
1528,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,24.3
1529,6.416666666666667,253.0,4.72,33.5,22.0,116.0,7.08,4.37,2013.0,26.0
