,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
414,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,13.1
416,5.916666666666667,220.0,4.45,30.0,22.0,114.0,7.02,4.29,2019.0,12.6
419,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,13.9
429,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,8.9
430,5.916666666666667,218.0,4.41,36.0,18.0,123.0,7.15,4.37,2021.0,9.1
431,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,11.9
434,5.833333333333333,207.0,4.5,34.5,19.0,120.0,7.0,4.24,2000.0,17.7
436,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,9.2
447,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,9.2
448,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,9.7
451,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,7.7
459,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,6.4
460,5.666666666666667,206.0,4.51,33.0,19.0,121.0,7.44,4.44,2019.0,6.5
463,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,5.1
465,5.833333333333333,208.0,4.47,33.5,14.0,120.0,6.83,4.28,2016.0,8.7
466,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,9.8
470,6.083333333333333,228.0,4.46,33.5,15.0,122.0,6.91,4.35,2018.0,6.4
478,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,8.3
491,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,5.6
494,5.833333333333333,214.0,4.51,36.0,22.0,122.0,7.13,4.35,2021.0,3.9
499,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,5.5
501,5.916666666666667,216.0,4.62,35.0,22.0,118.0,7.13,4.31,2020.0,3.1
505,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,4.8
