ADP,Overall,Name,Position,Team,Times Drafted,StdDev,High,Low,Bye
9.09,104.6,Aaron Rodgers,QB,NYJ,1009,13.0,70,150,7
9.10,105.7,Khalil Herbert,RB,CHI,88,9.3,81,121,13
9.10,106.0,Kirk Cousins,QB,MIN,521,12.6,73,150,13
9.11,106.7,Darnell Mooney,WR,CHI,298,19.8,56,148,13
9.12,108.0,Elijah Mitchell,RB,SF,554,13.6,72,150,9
10.01,108.5,Zay Flowers,WR,BAL,597,19.8,69,202,13
10.01,108.6,Tyler Allgeier,RB,ATL,393,23.4,67,154,11
10.01,109.4,Dalton Schultz,TE,HOU,585,16.4,66,159,7
10.05,113.4,Raheem Mostert,RB,MIA,445,17.9,66,165,10
10.05,113.5,Allen Lazard,WR,NYJ,632,10.9,85,149,7
10.06,113.6,Rondale Moore,WR,ARI,236,9.6,88,147,14
10.07,114.8,Skyy Moore,WR,KC,1297,11.2,85,156,10
10.07,115.0,Jerick McKinnon,RB,KC,731,11.6,84,150,10
10.07,115.3,Devin Singletary,RB,HOU,248,13.6,79,152,7
10.08,115.9,Samaje Perine,RB,DEN,999,16.5,73,175,9
10.08,116.5,Daniel Jones,QB,NYG,358,15.4,77,150,13
10.10,118.4,Nico Collins,WR,HOU,589,13.0,87,150,7
11.01,121.1,Ezekiel Elliott,RB,DAL,352,17.2,76,170,7
11.02,121.8,Odell Beckham Jr,WR,BAL,603,16.3,79,150,13
11.02,121.9,Kenneth Gainwell,RB,PHI,187,18.2,74,176,10
11.02,122.4,Adam Thielen,WR,CAR,579,12.6,89,152,7
11.04,123.6,Cordarrelle Patterson,RB,ATL,298,17.5,78,175,11
11.04,123.6,Tyler Boyd,WR,CIN,348,12.1,92,150,7
11.05,124.9,Donta Foreman,RB,CHI,362,17.6,81,177,13
11.05,125.2,Zach Charbonnet,RB,SEA,411,23.3,81,207,5
11.05,125.4,Russell Wilson,QB,DEN,418,13.5,90,166,9
11.06,126.0,Jameson Williams,WR,DET,784,14.5,88,177,9
11.06,126.1,San Francisco Defense,DEF,SF,2071,18.4,78,175,9
11.07,126.9,Jared Goff,QB,DET,614,14.4,89,190,9
11.08,127.6,Jeffery Wilson,RB,MIA,71,12.5,95,145,10
