#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
30,3.06,LeSean McCoy,RB,BUF,29.9,4.2,2.01,4.09,598
31,3.07,Aaron Rodgers,QB,GB,31.4,7,1.01,4.12,585
32,3.07,Amari Cooper,WR,DAL,31.4,3.6,2.06,4.07,699
33,3.07,Alex Collins,RB,BAL,31.5,3.8,2.04,4.08,734
34,3.09,Kenyan Drake,RB,MIA,32.8,4.5,2.04,4.11,814
35,3.09,Adam Thielen,WR,MIN,33.5,3.9,2.07,4.08,738
36,3.1,Jerick McKinnon,RB,SF,34.3,24.9,2.02,15.08,182
37,3.11,Larry Fitzgerald,WR,ARI,34.9,4.5,1.03,4.11,775
38,4.02,Doug Baldwin,WR,SEA,37.6,4.3,2.12,4.12,662
39,4.02,Lamar Miller,RB,HOU,38,4.3,2.08,5.02,751
40,4.03,Zach Ertz,TE,PHI,39.1,4.9,2.01,5.04,528
41,4.03,Jarvis Landry,WR,CLE,39.4,4.3,2.1,5.04,718
42,4.05,JuJu Smith-Schuster,WR,PIT,41.2,4.4,2.09,6.04,750
43,4.06,Chris Hogan,WR,NE,42.1,4,3.02,5.09,686
44,4.06,Derrick Henry,RB,TEN,42.1,5.2,2.12,5.1,686
45,4.08,Josh Gordon,WR,NE,44.1,4.9,3.01,5.09,522
46,4.1,Mark Ingram,RB,NO,45.9,5.8,2.09,6.04,495
47,4.1,Deshaun Watson,QB,HOU,46.5,7.1,2.01,5.12,378
48,4.11,Jay Ajayi,RB,PHI,46.6,5.9,3.01,6.09,643
49,4.11,Golden Tate,WR,PHI,46.7,4.3,3.09,6.03,624
50,4.11,Demaryius Thomas,WR,HOU,47,4.5,3.01,5.1,517
51,5.01,Marquise Goodwin,WR,SF,48.9,5,2.12,6.03,666
52,5.01,Jimmy Graham,TE,GB,49.3,6.5,3.04,6.07,454
53,5.02,Tom Brady,QB,NE,50.3,10,1.05,7.06,383
54,5.04,Brandin Cooks,WR,LAR,52.5,4.7,4.01,6.1,623
55,5.05,Marshawn Lynch,RB,LV,52.6,5.8,2.12,7.01,568
56,5.06,Carlos Hyde,RB,JAX,53.9,5.8,3.08,6.1,715
57,5.07,Allen Robinson,WR,CHI,55.2,5.3,3.11,7.01,694
58,5.08,Dion Lewis,RB,TEN,55.5,6.2,2.08,7.04,635
59,5.09,Greg Olsen,TE,CAR,57.5,6.3,3.05,7.03,432
60,5.1,Emmanuel Sanders,WR,DEN,57.6,5.2,4.07,7.05,713
61,5.12,Jamaal Williams,RB,GB,59.7,6.7,3.11,7.1,810
62,6.01,Russell Wilson,QB,SEA,61,7.6,2.12,8.06,383
63,6.01,Corey Davis,WR,TEN,61.1,6.3,4.04,7.1,538
64,6.02,Marvin Jones,WR,DET,62.3,6.3,4.04,7.07,562
65,6.02,Kerryon Johnson,RB,DET,62.5,6.6,3.07,7.08,538
66,6.04,Rex Burkhead,RB,NE,64,6.6,3.09,7.1,584
67,6.05,Trey Burton,TE,CHI,64.6,7,4.07,7.11,440
68,6.05,Julian Edelman,WR,NE,65.5,6.3,4.02,8.02,701
69,6.07,Chris Carson,RB,SEA,66.7,7.3,3.04,8.02,590
70,6.07,Drew Brees,QB,NO,66.9,7.1,2.12,8.05,393
71,6.09,Peyton Barber,RB,TB,69,7.3,3.01,8.12,692
72,6.1,Michael Crabtree,WR,BAL,70.4,6.7,4.02,8.08,592
73,6.1,Evan Engram,TE,NYG,70.5,7.7,4.06,8.12,415
74,6.11,Cam Newton,QB,CAR,71,8.7,1.01,8.07,380
75,7.01,Will Fuller,WR,HOU,73,6.8,5.01,8.12,517
76,7.02,Chris Thompson,RB,WAS,74.1,8,4.09,9.03,566
77,7.04,Kyle Rudolph,TE,MIN,76.1,7.8,3.01,9.03,435
78,7.04,Tevin Coleman,RB,ATL,76.5,7.5,5.05,8.11,582
79,7.06,Delanie Walker,TE,TEN,77.6,6.9,5.06,10.11,451
80,7.06,Cooper Kupp,WR,LAR,77.8,8.1,5.01,9.02,659
81,7.07,Jamison Crowder,WR,WAS,79.5,7.5,5.08,9.04,543
82,7.09,Adrian Peterson,RB,WAS,81.1,8.5,2.05,9.05,633
83,7.1,Kirk Cousins,QB,MIN,81.7,9.4,2.01,9.12,312
84,7.11,Alshon Jeffery,WR,PHI,82.8,8.2,5.01,9.07,528
85,7.11,Sony Michel,RB,NE,83.5,7.8,5.04,9.04,491
86,8.01,Carson Wentz,QB,PHI,84.5,9.8,5.02,10.03,193
87,8.01,Robby Anderson,WR,NYJ,84.8,8.2,6.01,9.09,597
88,8.01,Tarik Cohen,RB,CHI,85.2,9.3,3.12,9.07,510
89,8.03,Rashaad Penny,RB,SEA,87.1,8.2,4.07,9.06,411
90,8.03,Devin Funchess,WR,CAR,87.4,8.5,5.02,9.1,560
91,8.04,Andrew Luck,QB,IND,87.6,8.8,6.06,10.07,318
92,8.04,Jordan Reed,TE,WAS,88.3,10.6,6.05,12.1,376
93,8.06,Isaiah Crowell,RB,NYJ,89.6,7.9,5.06,9.09,363
94,8.07,Randall Cobb,WR,GB,90.9,8.9,5.07,10.01,403
95,8.09,Nelson Agholor,WR,PHI,92.8,8.9,4.11,10.04,568
96,8.1,Duke Johnson,RB,CLE,93.5,8.2,6.06,10.05,271
97,8.1,Sammy Watkins,WR,KC,93.8,9.2,3.05,10.07,412
98,8.1,Marlon Mack,RB,IND,94.3,7.5,6.01,10.05,361
99,8.1,Jacksonville Defense,DEF,JAX,94.5,9.6,3.03,10.02,416
100,9.01,Jimmy Garoppolo,QB,SF,96.7,10.9,3.05,11.08,314
101,9.02,Aaron Jones,RB,GB,97.7,8.1,6.02,10.06,359
102,9.02,Jordy Nelson,WR,LV,98.2,9.9,6.01,10.1,475
103,9.02,David Njoku,TE,CLE,98.4,14,5.11,12.04,468
104,9.04,James White,RB,NE,99.5,8.2,5.07,10.1,334
105,9.04,Matthew Stafford,QB,DET,100.3,11.2,3.11,11.05,494
106,9.07,Mike Williams,WR,LAC,102.7,8,7.02,11.07,469
107,9.08,LA Rams Defense,DEF,LAR,103.5,9.2,4.1,11.01,330
108,9.08,Robert Woods,WR,LAR,103.7,10.2,5.01,11.02,406
109,9.1,Sterling Shepard,WR,NYG,106.1,10,5.12,11.04,394
110,9.11,Philip Rivers,QB,LAC,107.3,9.3,6.1,11.07,574
111,9.12,Matt Ryan,QB,ATL,108.1,11.6,2.01,11.11,444
112,9.12,Kenny Stills,WR,MIA,108.1,8.4,7.01,11.1,448
113,9.12,Pierre Garcon,WR,SF,108.2,9.8,6.12,11.08,326
114,10.01,Minnesota Defense,DEF,MIN,109.3,10.1,2.12,11.06,234
115,10.03,Ronald Jones II,RB,TB,111.4,11,5.06,12.06,234
116,10.05,Kelvin Benjamin,WR,KC,113.1,8.9,6.1,12.01,309
117,10.06,Keelan Cole,WR,JAX,113.9,8.5,6.08,12.01,458
118,10.06,Bilal Powell,RB,NYJ,114.3,10.9,7.04,12.11,325
119,10.07,Ben Roethlisberger,QB,PIT,114.5,11.3,2.12,12.01,477
120,10.08,Jack Doyle,TE,IND,116.1,15.9,3.07,13.05,631
121,10.1,Patrick Mahomes,QB,KC,118.1,11.1,3.07,12.05,460
122,10.1,Philadelphia Defense,DEF,PHI,118.4,6.3,8.08,13.01,187
123,10.11,Calvin Ridley,WR,ATL,119.3,9.3,7.05,12.05,304
124,10.11,LA Chargers Defense,DEF,LAC,119.5,7,8.04,12.05,201
125,10.12,Alfred Morris,RB,SF,119.8,23.5,4.01,16.09,712
126,11.03,Latavius Murray,RB,MIN,123.1,11,8.03,13.04,313
127,11.03,CJ Anderson,RB,LAR,123.3,12.4,7.04,13.06,228
128,11.03,John Brown,WR,BAL,123.4,9.1,6.06,12.09,324
129,11.04,Jared Goff,QB,LAR,123.9,11.8,6.04,13.02,315
130,11.06,Matt Breida,RB,SF,125.6,24.4,1.01,15.12,829
131,11.06,Nick Chubb,RB,CLE,126.4,12.2,7.04,13.06,326
132,11.08,Allen Hurns,WR,DAL,127.6,8.9,7.03,12.11,234
133,11.08,Baltimore Defense,DEF,BAL,128.3,10.6,7.06,14.07,161
134,11.08,Corey Clement,RB,PHI,128.4,11.5,8.04,14.09,396
135,11.09,Michael Gallup,WR,DAL,129.2,8.1,8.05,12.12,277
136,11.09,Ty Montgomery,RB,BAL,129.2,12.6,7.01,14.01,281
137,11.1,Houston Defense,DEF,HOU,129.7,10.4,4.02,13.11,171
138,11.1,D.J. Moore,WR,CAR,129.8,10.2,8.02,13.11,197
139,11.11,Tyler Lockett,WR,SEA,131.1,8.2,8.01,13.07,328
140,11.12,Kenny Golladay,WR,DET,131.9,11,3.11,14.05,226
141,12.01,George Kittle,TE,SF,133,17,6.02,15.02,733
142,12.03,Alex Smith,QB,WAS,134.5,10.3,5.03,15.01,314
143,12.04,Marcus Mariota,QB,TEN,136,11.2,8.02,15.03,191
144,12.06,Denver Defense,DEF,DEN,138.1,13.2,6.12,15.1,165
145,12.06,Chris Godwin,WR,TB,138.4,10.6,8.03,14.12,255
146,12.09,Giovani Bernard,RB,CIN,140.9,13.5,8.04,15.07,374
147,12.09,Derek Carr,QB,LV,141.1,11.8,8.02,15.1,219
148,12.1,Anthony Miller,WR,CHI,141.5,10.7,10.03,15.06,180
149,12.1,Geronimo Allison,WR,GB,142.2,11.1,9.04,15.02,263
150,12.11,Jordan Wilkins,RB,IND,143.1,13,9.04,15.1,396
151,12.11,Greg Zuerlein,PK,LAR,143.2,19.8,1.02,14.03,686
152,13.01,Cameron Meredith,WR,NO,145,12.7,8.12,15.02,169
153,13.03,Tyler Eifert,TE,CIN,147,20.8,7.01,15.12,591
154,13.03,New Orleans Defense,DEF,NO,147.4,13.8,9.02,15.12,178
155,13.05,Stephen Gostkowski,PK,NE,148.5,15.3,2.01,14.06,321
156,13.07,O.J. Howard,TE,TB,151.3,21.1,8.01,15.12,280
157,13.08,Jameis Winston,QB,TB,151.7,12.2,11.01,15.11,149
158,13.08,John Ross,WR,CIN,152,12.6,9.09,15.09,296
159,13.09,Dede Westbrook,WR,JAX,152.7,12.9,9.05,15.1,238
160,13.09,Austin Hooper,TE,ATL,152.9,21.3,9.04,16.06,67
161,13.1,LeGarrette Blount,RB,DET,153.9,16.9,7.04,15.12,312
162,13.1,Justin Tucker,PK,BAL,153.9,7.9,10.07,14.07,233
163,13.1,Ricky Seals-Jones,TE,ARI,154.1,21.8,7.01,15.12,87
164,13.11,DeVante Parker,WR,MIA,154.8,13.3,9.11,15.1,191
165,13.12,Devontae Booker,RB,DEN,155.6,14.9,9.04,16.07,238
166,13.12,Eric Ebron,TE,IND,156,19.9,8.11,16.09,113
167,14.01,Tyrod Taylor,QB,CLE,156.8,30.1,1.1,17.11,85
168,14.01,James Conner,RB,PIT,157.1,16.6,8.08,15.12,353
169,14.01,Chicago Defense,DEF,CHI,157.2,14.7,7.03,16.04,420
170,14.01,Eli Manning,QB,NYG,157.2,13.9,4.12,15.11,230
171,14.02,Danny Amendola,WR,MIA,157.6,13.2,8.06,15.12,205
172,14.03,Dak Prescott,QB,DAL,158.6,14.4,7.06,15.12,202
173,14.03,Doug Martin,RB,LV,158.6,17.7,9.09,16.08,80
174,14.04,Theo Riddick,RB,DET,159.6,13.6,10.11,16.02,181
175,14.04,New England Defense,DEF,NE,160.2,12.1,11.01,15.12,297
176,14.05,Austin Ekeler,RB,LAC,160.8,14.4,11.03,16.06,197
177,14.06,Wil Lutz,PK,NO,161.5,6.3,10.12,15.09,162
178,14.06,Josh Doctson,WR,WAS,162.3,11.7,11.05,15.12,122
179,14.07,Courtland Sutton,WR,DEN,163.1,13.7,9.04,15.12,126
180,14.08,Spencer Ware,RB,KC,164.3,15.6,9.08,16.08,64
181,14.08,Mitch Trubisky,QB,CHI,164.3,13.8,11.09,16.09,65
182,14.08,Matt Bryant,PK,ATL,164.4,12.9,7.01,16.02,158
183,14.08,Carolina Defense,DEF,CAR,164.4,10.9,9.12,15.12,273
184,14.09,Pittsburgh Defense,DEF,PIT,164.6,12.1,10.12,16.11,162
185,14.1,Daniel Carlson,PK,LV,165.7,33.6,1.01,15.12,77
186,14.1,Case Keenum,QB,DEN,165.9,11.9,12.04,15.11,60
187,14.11,Christian Kirk,WR,ARI,166.8,17.5,4.12,16.07,82
188,14.11,Atlanta Defense,DEF,ATL,167.1,9.4,13.02,15.12,70
189,14.12,Chris Boswell,PK,PIT,167.6,7.5,12.01,15.12,130
190,14.12,Arizona Defense,DEF,ARI,168,8.8,12.07,15.12,100
191,14.12,Jake Elliott,PK,PHI,168.4,11.7,7.03,17.1,114
192,14.12,Harrison Butker,PK,KC,168.5,6.7,12.02,16.06,127
193,15.03,Mason Crosby,PK,GB,170.6,5.7,12.06,15.12,149
194,15.03,Matt Prater,PK,DET,170.6,8,10.04,15.12,102
195,15.03,Robbie Gould,PK,SF,171.3,5.8,13.06,16.03,114
196,15.05,Adam Vinatieri,PK,IND,173.4,5.3,13.03,16.04,121
197,15.06,Brandon McManus,PK,DEN,173.6,4.4,14.06,15.12,63
