#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
26,3.01,Mark Andrews,TE,BAL,10,25.1,3.9,1.09,5.03,4761
27,3.03,Ezekiel Elliott,RB,DAL,9,26.6,3.6,1.05,4.06,4394
28,3.03,Keenan Allen,WR,LAC,8,27.3,3.3,2.01,4.03,5049
29,3.03,Blaine Gabbert,QB,TB,11,27.4,60,1.01,15.06,8
30,3.04,A.J. Brown,WR,PHI,7,27.8,3.3,1.12,4.11,3395
31,3.05,Michael Pittman Jr.,WR,IND,14,29.2,3.1,1.06,4.05,4807
32,3.07,David Montgomery,RB,CHI,14,30.9,3.8,2.04,5.11,2561
33,3.07,James Conner,RB,ARI,13,31.1,3.8,1.12,4.09,5709
34,3.08,Tee Higgins,WR,CIN,10,31.9,3.5,1.09,4.09,3797
35,3.09,Justin Herbert,QB,LAC,8,32.7,5.1,1.02,5.08,2716
36,3.1,Cam Akers,RB,LAR,7,33.6,4,1.01,5.02,4298
37,3.11,Kyle Pitts,TE,ATL,14,35.5,4.8,1.05,6.01,5178
38,3.12,J.K. Dobbins,RB,BAL,10,35.6,4.3,1.03,5.05,3211
39,4.01,Terry McLaurin,WR,WAS,14,36.9,3.8,1.07,5.03,4349
40,4.02,Patrick Mahomes,QB,KC,8,37.8,6.1,1.01,7.04,3164
41,4.02,Travis Etienne,RB,JAX,11,38.3,5.2,1.05,5.08,7054
42,4.03,D.K. Metcalf,WR,SEA,11,39.5,4.6,2.07,5.12,2710
43,4.06,George Kittle,TE,SF,9,41.5,5,1.12,6.06,3354
44,4.06,D.J. Moore,WR,CAR,13,41.7,5.1,1.12,6.02,6283
45,4.06,Antonio Gibson,RB,WAS,14,42.4,5.3,1.06,6.08,2224
46,4.08,Diontae Johnson,WR,PIT,9,43.8,4.8,2.12,6.1,3126
47,4.08,Elijah Mitchell,RB,SF,9,44,4.9,2.11,6.04,4449
48,4.09,Josh Jacobs,RB,LV,6,45.4,5.4,1.12,7.02,3344
49,4.11,Jaylen Waddle,WR,MIA,11,46.8,5.6,2.09,6.06,4712
50,4.11,Breece Hall,RB,NYJ,10,46.9,6.6,1.03,6.09,6119
51,4.12,Mike Williams,WR,LAC,8,47.6,6.1,2.12,6.08,6157
52,4.12,Darren Waller,TE,LV,6,47.7,5.8,1.07,6.1,4524
53,5.02,Lamar Jackson,QB,BAL,10,49.6,6.7,1.01,7.08,3193
54,5.04,Michael Thomas,WR,NO,14,51.6,6,2.08,6.12,5802
55,5.04,DeAndre Hopkins,WR,ARI,13,51.7,6.2,2.08,6.12,2841
56,5.04,Joe Burrow,QB,CIN,10,51.8,7.4,1.07,8.01,1880
57,5.06,Clyde Edwards-Helaire,RB,KC,8,54,5.3,2.08,8.07,2525
58,5.07,Chris Godwin,WR,TB,11,55.5,6.1,2.09,7.05,4057
59,5.08,A.J. Dillon,RB,GB,14,56,5.7,2.07,6.12,3528
60,5.08,Brandin Cooks,WR,HOU,6,56.2,5.2,2.12,7.03,4705
61,5.1,Damien Harris,RB,NE,10,58.1,5.8,2.11,7.08,1668
62,5.11,Allen Robinson,WR,LAR,7,58.7,6.1,3.01,7.1,6302
63,5.12,Kyler Murray,QB,ARI,13,60,6.3,1.01,8.02,2242
64,6.01,Miles Sanders,RB,PHI,7,61.1,5.6,3.07,7.11,2747
65,6.03,Adam Thielen,WR,MIN,7,62.7,6.2,3.02,7.11,4122
66,6.03,T.J. Hockenson,TE,DET,6,63.3,6.7,3.1,8.11,1996
67,6.04,Jalen Hurts,QB,PHI,7,63.8,6.3,2.12,9.06,3237
68,6.04,Jerry Jeudy,WR,DEN,9,64.1,6.3,3.02,7.11,5071
69,6.04,Courtland Sutton,WR,DEN,9,64.3,8.5,2.07,8.04,7685
70,6.06,Hunter Renfrow,WR,LV,6,66.2,6.2,3.11,8.04,2384
71,6.06,Dalton Schultz,TE,DAL,9,66.2,7.6,2.03,9.04,4469
72,6.08,Rashaad Penny,RB,SEA,11,67.7,6.4,2.1,8.12,3452
73,6.09,Tony Pollard,RB,DAL,9,69.4,6.4,1.04,8.07,2809
74,6.1,Kareem Hunt,RB,CLE,9,69.7,6.2,3.09,8.09,3554
75,6.12,Darnell Mooney,WR,CHI,14,72.2,6.1,4.01,8.12,3131
76,7.01,Amari Cooper,WR,CLE,9,73.3,6.4,4.01,9.03,2710
77,7.01,Marquise Brown,WR,ARI,13,73.3,6.3,3.08,8.1,3277
78,7.02,Devin Singletary,RB,BUF,7,74.3,6.8,4.06,8.09,2013
79,7.03,Gabriel Davis,WR,BUF,7,75.1,6.9,3.11,9.01,4242
80,7.05,Aaron Rodgers,QB,GB,14,77,9.3,1.1,10.06,2423
81,7.06,Chase Edmonds,RB,MIA,11,77.8,6.9,1.08,9.04,4152
82,7.08,Russell Wilson,QB,DEN,9,79.7,8.8,2.11,10.05,4243
83,7.08,Dallas Goedert,TE,PHI,7,80.1,8.9,4.05,11.07,2937
84,7.08,Amon-Ra St. Brown,WR,DET,6,80.4,7.8,4.01,10.11,5143
85,7.09,Matthew Stafford,QB,LAR,7,81.4,9.3,1.07,10.07,1945
86,7.11,James Robinson,RB,JAX,11,82.6,7,3.1,9.1,1453
87,7.12,DeVonta Smith,WR,PHI,7,84,6.9,3.01,9.09,2470
88,7.12,Kenneth Walker III,RB,SEA,11,84.4,8.1,3.01,10.05,3432
89,8.03,Melvin Gordon,RB,DEN,9,86.7,7.2,4.1,10.04,2570
90,8.03,JuJu Smith-Schuster,WR,KC,8,86.9,9.3,2.05,10.11,5912
91,8.03,Rhamondre Stevenson,RB,NE,10,87,7.8,3.02,10.12,4633
92,8.03,Dawson Knox,TE,BUF,7,87.3,11,3.07,13.03,1731
93,8.03,Dak Prescott,QB,DAL,9,87.4,9.3,2.08,11.01,2992
94,8.04,Elijah Moore,WR,NYJ,10,88.1,7.6,2.06,10.06,3040
95,8.05,Rashod Bateman,WR,BAL,10,89.3,7.9,4.07,10.11,4638
96,8.07,Tom Brady,QB,TB,11,91,10.8,1.01,11.04,4547
97,8.09,James Cook,RB,BUF,7,92.9,7.6,4.05,10.11,3265
98,8.09,Cordarrelle Patterson,WR,ATL,14,93.3,8.8,3.08,10.1,2856
99,8.1,Alexander Mattison,RB,MIN,7,94.3,7.1,4.04,10.06,1251
100,8.12,Brandon Aiyuk,WR,SF,9,96,7.7,4.09,10.11,2806
101,9.01,Zach Ertz,TE,ARI,13,96.6,10.4,5.01,12.08,3486
102,9.03,Allen Lazard,WR,GB,14,99.3,8.5,5.03,11.06,5079
103,9.04,Robert Woods,WR,TEN,6,99.7,7.2,4.11,11.01,2297
104,9.07,Michael Carter,RB,NYJ,10,102.6,7.4,2.05,11.06,1389
105,9.07,Derek Carr,QB,LV,6,102.7,9,6.03,14.11,3586
106,9.07,Nyheim Hines,RB,IND,14,103.2,7.4,5.12,11.07,2025
107,9.08,Trey Lance,QB,SF,9,103.8,9.9,1.02,13.06,4383
108,9.08,Dameon Pierce,RB,HOU,6,104.3,9.5,3.05,12.01,4112
109,9.08,Ronald Jones II,RB,KC,8,104.5,7.7,6.08,12.08,912
110,9.09,Darrell Henderson,RB,LAR,7,104.8,6.4,6.08,11.06,1351
111,9.11,Tyler Lockett,WR,SEA,11,107.5,7.2,6.02,11.1,1673
112,9.12,Christian Kirk,WR,JAX,11,108.3,7.3,6.05,12.06,2722
113,10.01,Nelson Agholor,WR,NE,10,109.3,31.5,3.01,13.01,10
114,10.03,Russell Gage,WR,TB,11,110.9,7.9,3.01,12.05,999
115,10.03,Chase Claypool,WR,PIT,9,111.2,8.3,4.06,13.02,960
116,10.04,Buffalo Defense,DEF,BUF,7,111.5,12.1,1.05,13.02,3562
117,10.04,Kadarius Toney,WR,NYG,9,111.7,8.3,6.01,13.06,3230
118,10.04,Raheem Mostert,RB,MIA,11,112.4,8.6,6.04,13.06,1601
119,10.07,Drake London,WR,ATL,14,114.9,9.6,4.09,13.07,3118
120,10.07,J.D. McKissic,RB,WAS,14,115.4,8.5,7.05,13.05,1346
121,10.09,Pat Freiermuth,TE,PIT,9,116.6,14.3,3.01,14.08,2506
122,10.09,Isaiah Spiller,RB,LAC,8,116.7,8.8,5.01,13.06,2324
123,10.1,Kirk Cousins,QB,MIN,7,118.4,11.7,1.01,13.12,3278
124,10.11,Tyler Allgeier,RB,ATL,14,119.2,9.1,6.05,13.06,2274
125,10.12,Michael Gallup,WR,DAL,9,120.1,9.5,2.06,13.06,1440
126,10.12,Marlon Mack,RB,HOU,6,120.2,9.8,7.08,14.01,1164
127,11.02,Mike Gesicki,TE,MIA,11,121.9,14.2,5.03,15.11,1920
128,11.03,Chris Olave,WR,NO,14,123.4,10.1,5.05,13.12,2862
129,11.03,Mark Ingram,RB,NO,14,123.5,11.1,2.06,13.06,1005
130,11.04,LA Rams Defense,DEF,LAR,7,123.6,12.5,1.08,14.01,2690
131,11.06,Kenneth Gainwell,RB,PHI,7,125.7,10,6.05,13.12,2103
132,11.06,Treylon Burks,WR,TEN,6,126,10.7,6.01,13.11,1618
133,11.08,Skyy Moore,WR,KC,8,128,10.9,1.03,13.09,3022
134,11.08,Deshaun Watson,QB,CLE,9,128.1,16.1,1.01,15.02,1132
135,11.09,Chuba Hubbard,RB,CAR,13,129.3,11.4,5.02,14.03,1033
136,11.09,Tampa Bay Defense,DEF,TB,11,129.4,10.7,5.12,15.08,1688
137,11.1,Tua Tagovailoa,QB,MIA,11,130.1,12.5,1.01,15.1,1380
138,11.11,Rachaad White,RB,TB,11,130.5,9.4,8.07,14.04,1430
139,11.11,DeVante Parker,WR,NE,10,130.5,9.4,8.05,14.07,1420
140,12.01,Cole Kmet,TE,CHI,14,132.8,15.2,6.03,15.12,2280
141,12.01,Hunter Henry,TE,NE,10,133.2,16.6,5.01,15.1,1517
142,12.02,Jamaal Williams,RB,DET,6,133.8,9.4,8.12,15.06,1420
143,12.02,Jarvis Landry,WR,NO,14,134.2,11.9,3.02,16.01,877
144,12.02,Tyler Boyd,WR,CIN,10,134.3,12.6,6.12,15.06,1105
145,12.03,NY Jets Defense,DEF,NYJ,10,135.4,60.9,1.01,15.11,22
146,12.04,Justin Tucker,PK,BAL,10,136,17.3,1.04,15.12,5131
147,12.05,Indianapolis Defense,DEF,IND,14,136.5,11.9,6.02,15.03,1607
148,12.05,Gus Edwards,RB,BAL,10,137,11,7.1,15.05,762
149,12.05,A.J. Green,WR,ARI,13,137.1,49.7,1.04,17.02,19
150,12.06,Christian Watson,WR,GB,14,138.3,11.4,5.04,15.1,782
151,12.06,Julio Jones,WR,TB,11,138.3,15.6,3.06,15.11,2175
152,12.06,Darrel Williams,RB,ARI,13,138.3,12.2,4.07,15.1,555
153,12.08,San Francisco Defense,DEF,SF,9,139.7,13.2,3.03,14.12,1525
154,12.08,Marquez Valdes-Scantling,WR,KC,8,140,12.5,5.11,15.1,1068
155,12.08,Matt Ryan,QB,IND,14,140.2,16,2.09,15.12,1801
156,12.11,Tyrion Davis-Price,RB,SF,9,142.9,12.7,9.02,15.12,715
157,12.11,Daniel Carlson,PK,LV,6,143.3,16.3,6.12,16.08,1430
158,12.11,Tyler Bass,PK,BUF,7,143.3,17.4,1.12,16.03,1275
159,13.02,Mitch Trubisky,QB,PIT,9,145.6,63.8,1.01,18.06,13
160,13.02,Harrison Butker,PK,KC,8,145.7,16.5,6.09,16.08,1071
161,13.02,Hayden Hurst,TE,CIN,10,145.7,31.4,6.12,18.05,77
162,13.02,Cameron Brate,TE,TB,11,146.1,36,4.12,17.02,23
163,13.03,LA Chargers Defense,DEF,LAC,8,147.1,15.3,1.1,16.09,1524
164,13.03,Isaih Pacheco,RB,KC,8,147.2,18.8,6.1,18.08,1314
165,13.04,New Orleans Defense,DEF,NO,14,147.6,14.7,3.1,15.08,928
166,13.04,Justin Fields,QB,CHI,14,147.8,16.3,4.07,16.03,1136
167,13.04,Mo Alie-Cox,TE,IND,14,148.5,41.3,6.08,18.02,13
168,13.04,Mecole Hardman,WR,KC,8,148.5,15.9,6.1,15.12,792
169,13.05,Ryan Succop,PK,TB,11,149.4,15.2,7.08,16.1,608
170,13.05,Washington Defense,DEF,WAS,14,149.4,28,5.01,17.11,45
171,13.05,George Pickens,WR,PIT,9,149.4,23.7,1.01,18.01,1066
172,13.05,Matt Gay,PK,LAR,7,149.5,14.9,6.12,16.08,940
173,13.05,Robert Tonyan Jr.,TE,GB,14,149.5,20.1,1.03,17.04,1735
174,13.06,Ameer Abdullah,RB,LV,6,149.8,47.9,1.01,18.05,36
175,13.07,Irv Smith Jr.,TE,MIN,7,150.6,18.4,5.03,16.04,1250
176,13.07,Romeo Doubs,WR,GB,14,150.8,18.6,7.12,18.06,1383
177,13.08,Rodrigo Blankenship,PK,IND,14,151.5,14.7,6.01,16.09,532
178,13.08,Kyle Rudolph,TE,TB,11,152,33.6,5.07,18.05,48
179,13.08,Brian Robinson Jr.,RB,WAS,14,152.4,17.1,7.05,16.11,833
180,13.09,Albert Okwuegbunam,TE,DEN,9,152.6,19.6,7.05,18.06,1170
181,13.09,Minnesota Defense,DEF,MIN,7,153.1,23.7,8.05,18.03,49
182,13.1,Younghoe Koo,PK,ATL,14,153.9,17.2,4.05,16.09,661
183,13.1,Zamir White,RB,LV,6,154,15.3,8.1,16.09,1026
184,13.1,Trevor Lawrence,QB,JAX,11,154.3,17.2,6.11,16.07,1291
185,13.11,Pittsburgh Defense,DEF,PIT,9,154.6,15.3,5.08,16.12,1119
186,13.11,Jameis Winston,QB,NO,14,154.7,19.4,1.01,16.05,1108
187,13.11,Dallas Defense,DEF,DAL,9,155,17,4.04,17.08,828
188,13.11,Sony Michel,RB,MIA,11,155.4,15.5,9.08,16.01,489
189,13.12,Rondale Moore,WR,ARI,13,155.5,16.3,9.03,16.08,1112
190,13.12,Kansas City Defense,DEF,KC,8,155.8,27,6.03,16.02,21
191,13.12,Kenyan Drake,RB,LV,6,156.5,15.9,8.01,16.04,794
192,14.01,Randall Cobb,WR,GB,14,156.8,45.9,3.07,19.04,15
193,14.01,Tyler Higbee,TE,LAR,7,156.8,28.6,6.11,19.04,132
194,14.01,Donta Foreman,RB,CAR,13,157.2,14.8,8.03,16.09,389
195,14.01,Austin Hooper,TE,TEN,6,157.3,26.9,4.12,18.06,92
196,14.01,Nick Folk,PK,NE,10,157.4,14.9,8.07,17.07,534
197,14.02,Jakobi Meyers,WR,NE,10,157.8,15.8,8.05,16.08,648
198,14.02,Brandon McManus,PK,DEN,9,157.8,14.5,5.09,16.12,904
199,14.02,Jalen Tolbert,WR,DAL,9,158,20,1.01,17.11,405
200,14.02,Tennessee Defense,DEF,TEN,6,158.1,26.3,9.09,18.01,17
201,14.02,Garrett Wilson,WR,NYJ,10,158.4,16.5,2.03,17.06,556
202,14.03,Jerick McKinnon,RB,KC,8,159.2,21.3,5.02,17.12,226
203,14.03,Lirim Hajrullahu,PK,DAL,9,159.2,33,7.09,15.12,8
204,14.03,Calvin Ridley,WR,ATL,14,159.4,15.8,8.05,16.06,243
205,14.04,Trey Sermon,RB,SF,9,160,15.8,8.02,16.11,452
206,14.04,D.J. Chark,WR,DET,6,160.1,16.7,7.08,17.04,673
207,14.04,David Njoku,TE,CLE,9,160.2,23.6,2.12,18.06,542
208,14.05,Evan Engram,TE,JAX,11,160.8,22.9,9.08,18.03,129
209,14.05,Carson Wentz,QB,WAS,14,161.3,27,9.04,18.05,32
210,14.05,Parris Campbell,WR,IND,14,161.4,16.2,11.03,15.12,14
211,14.06,Josh Palmer,WR,LAC,8,161.5,22.4,9.1,18.06,50
212,14.06,Cincinnati Defense,DEF,CIN,10,161.6,23.5,9.08,18.05,27
213,14.06,Isaiah McKenzie,WR,BUF,7,161.7,21.1,6.07,17.12,95
214,14.06,Mac Jones,QB,NE,10,162.3,20.6,3.01,18.01,355
215,14.06,New England Defense,DEF,NE,10,162.4,16.3,8.11,17.09,1071
216,14.07,Kenny Golladay,WR,NYG,9,162.9,18.7,9.07,17.09,397
217,14.07,Philadelphia Defense,DEF,PHI,7,163.1,21.7,7.04,18.05,267
218,14.07,Green Bay Defense,DEF,GB,14,163.1,19.5,4.02,18.03,805
219,14.07,Noah Fant,TE,SEA,11,163.3,25,4.11,18.06,263
220,14.08,Chicago Defense,DEF,CHI,14,163.5,25.4,9.11,18.05,12
221,14.08,Cade York,PK,CLE,9,163.5,18.3,10.05,17.11,47
222,14.08,Baker Mayfield,QB,CAR,13,163.9,35.2,1.01,18.02,77
223,14.08,Dontrell Hilliard,RB,TEN,6,163.9,19.3,12.02,17.11,16
224,14.08,D'Ernest Johnson,RB,CLE,9,164.3,18.1,9.05,17.1,238
225,14.08,Zach Wilson,QB,NYJ,10,164.4,32.3,1.01,18.06,111
226,14.09,Logan Thomas,TE,WAS,14,164.7,19.8,7.11,18.06,377
227,14.09,Jameson Williams,WR,DET,6,164.9,20,7.09,18.02,295
228,14.09,K.J. Osborn,WR,MIN,7,165.1,19.4,10.05,18.05,76
229,14.09,Arizona Defense,DEF,ARI,13,165.3,29.4,8.08,17.09,15
230,14.1,Nico Collins,WR,HOU,6,165.6,22.1,8.04,18.06,131
231,14.1,Gerald Everett,TE,LAC,8,165.6,21.3,8.02,18.06,195
232,14.1,Matt Prater,PK,ARI,13,165.7,13.6,10.12,17.1,887
233,14.1,Davis Mills,QB,HOU,6,165.8,20.2,10.04,18.05,31
234,14.1,Alec Pierce,WR,IND,14,165.8,27.1,3.06,18.05,85
235,14.1,Mason Crosby,PK,GB,14,166,25.3,7.07,18.04,39
236,14.1,Miami Defense,DEF,MIA,11,166.3,21.9,9.09,18.05,102
237,14.11,Jahan Dotson,WR,WAS,14,166.7,18.2,10.04,18.06,249
238,14.11,Tim Patrick,WR,DEN,9,166.8,15.6,11.07,16.11,49
239,14.11,James White,RB,NE,10,167,21.8,9.01,18.05,37
240,14.11,Graham Gano,PK,CAR,13,167.3,27.2,9.04,17.1,13
241,14.12,Denver Defense,DEF,DEN,9,167.7,19.2,8.05,18.06,506
242,14.12,Samaje Perine,RB,CIN,10,168.3,19.7,9.09,18.05,145
243,15.01,Baltimore Defense,DEF,BAL,10,168.8,23.6,4.02,18.06,195
244,15.01,Myles Gaskin,RB,MIA,11,169.1,23.6,10.03,18.06,36
245,15.01,Cameron Dicker,PK,FA,12,169.1,47.1,1.01,24.04,53
246,15.01,Cleveland Defense,DEF,CLE,9,169.3,17.2,10.06,18.05,290
247,15.02,Ryan Tannehill,QB,TEN,6,169.6,22.1,10.01,18.06,91
248,15.02,Robby Anderson,WR,CAR,13,169.8,26.8,6.01,18.05,51
249,15.02,Matt Breida,RB,NYG,9,170.5,24.4,10.02,18.08,71
250,15.03,Daniel Jones,QB,NYG,9,170.6,20.4,11.03,18.06,59
251,15.03,Jared Goff,QB,DET,6,170.8,24.1,12.06,18.02,20
252,15.04,Jason Sanders,PK,MIA,11,171.6,14.5,10.1,19.05,464
253,15.04,Marvin Jones,WR,JAX,11,171.7,33.2,5.03,18.05,30
254,15.04,Hassan Haskins,RB,TEN,6,171.9,15.4,12.05,18.04,37
255,15.04,Chris Boswell,PK,PIT,9,172.3,19.7,10.08,18.06,102
256,15.05,Eno Benjamin,RB,FA,12,172.5,25,8.03,18.01,69
257,15.05,Mike Davis,RB,BAL,10,172.6,20.3,11.09,18.03,70
258,15.05,Wan'Dale Robinson,WR,NYG,9,172.9,27,7.01,18.05,68
259,15.05,Wil Lutz,PK,NO,14,173.2,15.1,10.06,18.06,352
260,15.05,Phillip Lindsay,RB,IND,14,173.5,25.7,11.01,18.04,13
261,15.06,Damien Williams,RB,ATL,14,174.2,29.5,1.04,18.06,88
262,15.07,Jeffery Wilson,RB,SF,9,174.6,25,12.03,21.01,28
263,15.07,Jake Elliott,PK,PHI,7,175.1,20.4,10.11,18.05,81
264,15.07,Dustin Hopkins,PK,LAC,8,175.1,14.9,12.08,18.05,364
265,15.07,Greg Joseph,PK,MIN,7,175.2,21,8.12,18.06,62
266,15.07,Robbie Gould,PK,SF,9,175.5,17.8,4.12,18.05,257
267,15.08,Corey Davis,WR,NYJ,10,175.5,23.8,13.02,19.05,10
268,15.08,Greg Dulcich,TE,DEN,9,175.9,3.6,14.09,15.12,16
269,15.08,Sammy Watkins,WR,GB,14,176.3,25.3,7.07,18.06,147
270,15.09,Van Jefferson,WR,LAR,7,176.9,28.4,7.09,18.08,50
271,15.1,Marcus Mariota,QB,ATL,14,177.5,40.4,2.09,20.12,25
272,15.1,Rex Burkhead,RB,HOU,6,177.8,20.8,11.09,18.01,29
273,15.1,Giovani Bernard,RB,TB,11,178.3,37.2,10.12,22.08,11
274,15.11,Jamison Crowder,WR,BUF,7,179.4,23.6,9.09,18.06,39
275,16.12,Boston Scott,RB,PHI,7,191.8,37.7,10.09,24.05,12
