,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
151,152,Dallas Goedert,PHI,TE,28,14,14,0,0,0,0,0,1,1,1.0,0,83,59,592,10.03,3,0,0,3,,,77.0,136.3,139.3,106.8,,15,,GoedDa00
152,153,Dalton Kincaid,BUF,TE,24,16,11,0,0,0,0,0,0,0,,0,91,73,673,9.22,2,1,1,2,,,77.0,150.3,154.3,113.8,,16,,KincDa00
158,159,Jonnu Smith,ATL,TE,28,17,6,0,1,0,0,0,1,0,0.0,0,70,50,582,11.64,3,1,1,3,,,74.0,124.2,128.2,99.2,,17,,SmitJo01
167,168,Logan Thomas,WAS,TE,32,16,15,0,0,0,0,0,1,2,2.0,0,78,55,496,9.02,4,2,2,4,1.0,,72.0,126.8,131.8,99.3,,18,,ThomLo00
168,169,Isaiah Likely,BAL,TE,23,17,8,0,0,0,0,0,0,0,,0,40,30,411,13.7,5,0,0,5,,,71.0,101.1,104.1,86.1,,19,,LikeIs00
170,171,Cade Otton,TAM,TE,24,17,17,0,0,0,0,0,0,0,,0,67,47,455,9.68,4,1,1,4,1.0,,70.0,116.5,120.5,93.0,,20,,OttoCa00
186,187,Tyler Conklin,NYJ,TE,28,17,12,0,0,0,0,0,1,0,0.0,0,87,61,621,10.18,0,0,0,0,,,62.0,123.1,126.1,92.6,,21,,ConkTy00
187,188,Tyler Higbee,LAR,TE,30,15,15,0,0,0,0,0,0,0,,0,70,47,495,10.53,2,0,0,2,,,62.0,108.5,111.5,85.0,,22,,HigbTy00
190,191,Juwan Johnson,NOR,TE,27,13,11,0,0,0,0,0,0,0,,0,59,37,368,9.95,4,0,0,4,,,61.0,97.8,100.8,79.3,,24,,JohnJu02
194,195,Darren Waller,NYG,TE,31,12,11,0,0,0,0,0,0,0,,0,74,52,552,10.62,1,0,0,1,,,61.0,113.2,116.2,87.2,,23,,WallDa01
195,196,Gerald Everett,LAC,TE,29,15,12,0,0,0,0,0,3,10,3.33,0,70,51,411,8.06,3,3,0,3,,,60.0,111.1,114.1,85.6,,25,,EverGe00
197,198,Chigoziem Okonkwo,TEN,TE,24,17,11,0,0,0,0,0,2,6,3.0,0,77,54,528,9.78,1,0,0,1,,,59.0,113.4,116.4,86.4,,26,,OkonCh00
210,211,Donald Parham,LAC,TE,26,14,8,0,0,0,0,0,0,0,,0,41,27,285,10.56,4,0,0,4,,,53.0,79.5,82.5,66.0,,27,,ParhDo00
218,219,Tucker Kraft,GNB,TE,23,17,8,0,0,0,0,0,0,0,,0,40,31,355,11.45,2,0,0,2,,,48.0,78.5,81.5,63.0,,28,,KrafTu00
225,226,Pat Freiermuth,PIT,TE,25,12,9,0,0,0,0,0,0,0,,0,47,32,308,9.63,2,0,0,2,1.0,,45.0,76.8,79.8,60.8,,29,,FreiPa00
227,228,Michael Mayer,LVR,TE,22,14,12,0,0,0,0,0,0,0,,0,40,27,304,11.26,2,0,0,2,1.0,,44.0,71.4,74.4,57.9,,30,,MayeMi00
228,229,Kylen Granson,IND,TE,25,15,7,0,0,0,0,0,1,2,2.0,0,50,30,368,12.27,1,0,0,1,,,43.0,73.0,76.0,58.0,,31,,GranKy00
229,230,Noah Gray,KAN,TE,24,17,10,0,0,0,0,0,1,1,1.0,0,41,28,305,10.89,2,0,0,2,,,43.0,70.6,73.6,56.6,,32,,GrayNo00
235,236,Noah Fant,SEA,TE,26,17,17,0,0,0,0,0,0,0,,0,43,32,414,12.94,0,0,0,0,,,41.0,73.4,76.4,57.4,,33,,FantNo00
236,237,Tanner Hudson,CIN,TE,29,12,1,0,0,0,0,0,0,0,,0,50,39,352,9.03,1,0,0,1,,,41.0,80.2,83.2,60.7,,34,,HudsTa00
237,238,Luke Musgrave,GNB,TE,23,11,9,0,0,0,0,0,0,0,,0,46,34,352,10.35,1,0,0,1,,,41.0,75.2,78.2,58.2,,35,,MusgLu00
247,248,Adam Trautman,DEN,TE,26,17,12,0,0,0,0,0,0,0,,0,35,22,204,9.27,3,0,0,3,,,38.0,60.4,63.4,49.4,,36,,TrauAd00
250,251,Colby Parkinson,SEA,TE,24,17,1,0,0,0,0,0,0,0,,0,34,25,247,9.88,2,0,0,2,,,37.0,61.7,64.7,49.2,,38,,ParkCo02
251,252,Durham Smythe,MIA,TE,28,16,14,0,0,0,0,0,0,0,,0,43,35,366,10.46,0,0,0,0,,,37.0,71.6,74.6,54.1,,39,,SmytDu00
253,254,Tommy Tremble,CAR,TE,23,16,8,0,0,0,0,0,0,0,,0,32,23,194,8.43,3,0,0,3,,,37.0,60.4,63.4,48.9,,37,,TremTo00
255,256,Mo Alie-Cox,IND,TE,30,17,7,0,0,0,0,0,0,0,,0,22,13,161,12.38,3,0,0,3,1.0,,36.0,49.1,52.1,42.6,,41,,AlieMo00
257,258,Mike Gesicki,NWE,TE,28,17,10,0,0,0,0,0,0,0,,0,45,29,244,8.41,2,0,0,2,,,36.0,65.4,68.4,50.9,,40,,GesiMi00
265,266,Brevin Jordan,HOU,TE,23,14,6,0,0,0,0,0,0,0,,0,21,17,219,12.88,2,0,0,2,,,34.0,50.9,53.9,42.4,,42,,JordBr00
267,268,Dawson Knox,BUF,TE,27,12,11,0,0,0,0,0,0,0,,0,36,22,186,8.45,2,0,0,2,1.0,,33.0,54.6,57.6,43.6,,43,,KnoxDa00
272,273,Josh Oliver,MIN,TE,26,17,14,0,0,0,0,0,0,0,,0,28,22,213,9.68,2,1,1,2,,,31.0,53.3,57.3,42.3,,44,,OlivJo00
279,280,Jimmy Graham,NOR,TE,37,13,2,0,0,0,0,0,0,0,,0,7,6,39,6.5,4,0,0,4,,,28.0,33.9,33.9,30.9,,46,,GrahJi00
283,284,Drew Sample,CIN,TE,27,17,10,0,0,0,0,0,0,0,,0,27,22,163,7.41,2,0,0,2,,,28.0,50.3,53.3,39.3,,45,,SampDr00
286,287,Andrew Ogletree,IND,TE,25,12,9,0,0,0,0,0,0,0,,0,21,9,147,16.33,2,0,0,2,,,27.0,35.7,38.7,31.2,,47,,OgleAn00
291,292,Daniel Bellinger,NYG,TE,23,17,13,0,0,0,0,0,0,0,,0,28,25,255,10.2,0,0,0,0,,,26.0,50.5,53.5,38.0,,48,,BellDa00
297,298,Pharaoh Brown,NWE,TE,29,17,11,0,0,0,0,0,0,0,,0,15,13,208,16.0,1,1,1,1,,,25.0,37.8,41.8,31.3,,51,,BrowPh01
298,299,Harrison Bryant,CLE,TE,25,17,9,0,0,0,0,0,5,8,1.6,0,20,13,81,6.23,3,1,1,3,,,25.0,37.9,38.9,31.4,,50,,BryaHa00
300,301,Zach Ertz,ARI,TE,33,7,7,0,0,0,0,0,0,0,,0,43,27,187,6.93,1,0,0,1,,,25.0,51.7,54.7,38.2,,52,,ErtzZa00
308,309,Foster Moreau,NOR,TE,26,15,10,0,0,0,0,0,0,0,,0,25,21,193,9.19,1,0,0,1,,,25.0,46.3,49.3,35.8,,49,,MoreFo00
313,314,Hayden Hurst,CAR,TE,30,9,8,0,0,0,0,0,0,0,,0,32,18,184,10.22,1,0,0,1,,,24.0,42.4,45.4,33.4,,53,,HursHa00
318,319,Will Dissly,SEA,TE,27,16,14,0,0,0,0,0,0,0,,0,22,17,172,10.12,1,0,0,1,,,23.0,40.2,43.2,31.7,,55,,DissWi00
321,322,Austin Hooper,LVR,TE,29,17,9,0,0,0,0,0,0,0,,0,31,25,234,9.36,0,0,0,0,,,23.0,48.4,51.4,35.9,,54,,HoopAu00
322,323,Johnny Mundt,MIN,TE,29,17,0,0,0,0,0,0,0,0,,0,23,17,172,10.12,1,0,0,1,,,23.0,40.2,43.2,31.7,,56,,MundJo00
327,328,Elijah Higgins,ARI,TE,23,11,2,0,0,0,0,0,0,0,,0,19,14,163,11.64,1,0,0,1,,,22.0,36.3,39.3,29.3,,57,,HiggEl00
329,330,Stone Smartt,LAC,TE,25,16,3,0,0,0,0,0,0,0,,0,21,11,155,14.09,1,0,0,1,,,22.0,32.5,35.5,27.0,,58,,SmarSt00
334,335,Will Mallory,IND,TE,24,12,2,0,0,0,0,0,0,0,,0,26,18,207,11.5,0,1,0,0,,,21.0,38.7,41.7,29.7,,59,,MallWi00
341,342,Luke Schoonmaker,DAL,TE,25,17,0,0,0,0,0,0,0,0,,0,15,8,65,8.13,2,0,0,2,,,19.0,26.5,26.5,22.5,,60,,SchoLu00
350,351,Connor Heyward,PIT,TE,24,17,7,0,1,0,0,0,1,0,0.0,0,34,23,167,7.26,0,0,0,0,,,17.0,39.7,42.7,28.2,,62,,HeywCo00
352,353,MyCole Pruitt,ATL,TE,31,17,8,0,0,0,0,0,0,0,,0,12,9,110,12.22,1,1,0,1,,,17.0,26.0,29.0,21.5,,61,,PruiMy00
354,355,Davis Allen,LAR,TE,22,15,1,0,0,0,0,0,0,0,,0,11,10,95,9.5,1,0,0,1,,,16.0,25.5,25.5,20.5,,63,,AlleDa02
355,356,Luke Farrell,JAX,TE,26,17,8,0,0,0,0,0,0,0,,0,15,13,155,11.92,0,0,0,0,,,16.0,28.5,31.5,22.0,,64,,FarrLu00
356,357,Lucas Krull,DEN,TE,25,7,2,0,0,0,0,0,0,0,,0,14,8,95,11.88,1,0,0,1,,,16.0,23.5,23.5,19.5,,65,,KrulLu00
360,361,Irv Smith Jr.,CIN,TE,25,12,6,0,0,0,0,0,0,0,,0,26,18,115,6.39,1,1,1,1,,,16.0,33.5,37.5,24.5,,66,,SmitIr01
361,362,John Bates,WAS,TE,26,17,4,0,0,0,0,0,0,0,,0,28,19,151,7.95,0,0,0,0,,,15.0,34.1,37.1,24.6,,68,,BateJo00
363,364,Charlie Kolar,BAL,TE,24,15,3,0,0,0,0,0,0,0,,0,9,7,87,12.43,1,0,0,1,,,15.0,21.7,21.7,18.2,,71,,KolaCh00
366,367,Jeremy Ruckert,NYJ,TE,23,15,6,0,0,0,0,0,0,0,,0,22,16,151,9.44,0,0,0,0,,,15.0,31.1,34.1,23.1,,69,,RuckJe00
368,369,Josh Whyle,TEN,TE,24,11,3,0,0,0,0,0,0,0,,0,15,9,94,10.44,1,0,0,1,,,15.0,24.4,24.4,19.9,,67,,WhylJo01
369,370,Brock Wright,DET,TE,25,14,4,0,0,0,0,0,0,0,,0,14,13,91,7.0,1,0,0,1,,,15.0,28.1,28.1,21.6,,70,,WrigBr01
378,379,Jordan Akins,CLE,TE,31,17,4,0,0,0,0,0,0,0,,0,23,15,132,8.8,0,0,0,0,,,13.0,28.2,31.2,20.7,,72,,AkinJo00
380,381,Stephen Sullivan,CAR,TE,27,11,0,0,0,0,0,0,0,0,,0,24,12,125,10.42,0,0,0,0,,,13.0,24.5,27.5,18.5,,73,,SullSt00
390,391,Cole Turner,WAS,TE,23,12,1,0,0,0,0,0,0,0,,0,15,11,120,10.91,0,0,0,0,,,12.0,23.0,26.0,17.5,,74,,TurnCo00
391,392,C.J. Uzomah,NYJ,TE,30,12,8,0,0,0,0,0,0,0,,0,12,8,58,7.25,1,0,0,1,,,12.0,19.8,19.8,15.8,,75,,UzomC.00
400,401,Robert Tonyan,CHI,TE,29,17,6,0,0,0,0,0,0,0,,0,17,11,112,10.18,0,0,0,0,,,11.0,22.2,25.2,16.7,,76,,TonyRo00
402,403,Lawrence Cager,NYG,TE,26,11,0,0,0,0,0,0,0,0,,0,5,4,36,9.0,1,0,0,1,,,10.0,13.6,13.6,11.6,,77,,CageLa01
411,412,Brenton Strange,JAX,TE,23,14,4,0,0,0,0,0,0,0,,0,9,5,35,7.0,1,0,0,1,,,10.0,14.5,14.5,12.0,,78,,StraBr00
415,416,Marcedes Lewis,CHI,TE,39,17,4,0,0,0,0,0,0,0,,0,5,4,29,7.25,1,0,0,1,,,9.0,12.9,12.9,10.9,,80,,LewiMa00
416,417,Quintin Morris,BUF,TE,24,15,0,0,0,0,0,0,0,0,,0,3,2,26,13.0,1,0,0,1,,,9.0,10.6,10.6,9.6,,81,,MorrQu00
417,418,Geoff Swaim,ARI,TE,30,14,8,0,0,0,0,0,0,0,,0,11,10,94,9.4,0,0,0,0,,,9.0,19.4,19.4,14.4,,79,,SwaiGe00
418,419,Brycen Hopkins,LAR,TE,26,15,0,0,0,0,0,0,0,0,,0,7,5,78,15.6,0,0,0,0,,,8.0,12.8,12.8,10.3,,83,,HopkBr01
421,422,Ben Sims,GNB,TE,23,17,1,0,0,0,0,0,0,0,,0,6,4,21,5.25,1,0,0,1,,,8.0,12.1,12.1,10.1,,82,,SimsBe00
425,426,Blake Bell,KAN,TE,32,17,3,0,0,0,0,0,0,0,,0,9,5,26,5.2,1,1,1,1,,,7.0,11.6,12.6,9.1,,84,,BellBl00
428,429,Josiah Deguara,GNB,TE,26,15,4,0,0,0,0,0,0,0,,0,8,8,65,8.13,0,0,0,0,,,7.0,14.5,14.5,10.5,,85,,DeguJo00
437,438,Payne Durham,TAM,TE,23,13,2,0,0,0,0,0,0,0,,0,7,5,58,11.6,0,0,0,0,,,6.0,10.8,10.8,8.3,,88,,DurhPa00
440,441,Ko Kieft,TAM,TE,25,16,6,0,0,0,0,0,0,0,,0,5,1,2,2.0,1,0,0,1,,,6.0,7.2,7.2,6.7,,86,,KiefKo00
443,444,Ian Thomas,CAR,TE,27,12,5,0,0,0,0,0,0,0,,0,9,5,56,11.2,0,0,0,0,,,6.0,10.6,10.6,8.1,,89,,ThomIa00
444,445,Darnell Washington,PIT,TE,22,17,7,0,0,0,0,0,0,0,,0,10,7,61,8.71,0,0,0,0,,,6.0,13.1,13.1,9.6,,87,,WashDa03
445,446,Mitchell Wilcox,CIN,TE,27,17,4,0,0,0,0,0,0,0,,0,12,9,56,6.22,0,0,0,0,,,6.0,14.6,14.6,10.1,,90,,WilcMi01
453,454,Grant Calcaterra,PHI,TE,25,15,1,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,0,0,0,,,4.0,7.9,7.9,5.9,,91,,CalcGr00
457,458,Peyton Hendershot,DAL,TE,24,8,1,0,0,0,0,0,1,0,0.0,0,7,4,38,9.5,0,0,0,0,,,4.0,7.8,7.8,5.8,,92,,HendPe01
459,460,Jack Stoll,PHI,TE,25,17,10,0,0,0,0,0,0,0,,0,8,5,38,7.6,0,0,0,0,,,4.0,8.8,8.8,6.3,,93,,StolJa00
463,464,Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,,,3.0,5.5,5.5,4.0,,99,,DulcGr00
467,468,Julian Hill,MIA,TE,23,15,4,0,0,0,0,0,0,0,,0,9,6,48,8.0,0,1,1,0,,,3.0,8.8,9.8,5.8,,96,,HillJu02
469,470,James Mitchell,DET,TE,24,15,1,0,0,0,0,0,0,0,,0,2,2,28,14.0,0,0,0,0,,,3.0,4.8,4.8,3.8,,97,,MitcJa00
471,472,Teagan Quitoriano,HOU,TE,23,7,5,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0,,,3.0,5.3,5.3,4.3,,94,,QuitTe00
477,478,Charlie Woerner,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,0,0,0,0,,,3.0,6.2,6.2,4.7,,95,,WoerCh00
478,479,Kenny Yeboah,NYJ,TE,25,5,1,0,0,0,0,0,0,0,,0,4,2,28,14.0,0,0,0,0,,,3.0,4.8,4.8,3.8,,98,,YeboKe00
479,480,Nate Adkins,DEN,TE,24,10,1,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0,,,2.0,6.2,6.2,4.2,,100,,AdkiNa00
491,492,Chris Manhertz,DEN,TE,31,16,4,0,0,0,0,0,0,0,,0,4,2,16,8.0,0,0,0,0,,,2.0,3.6,3.6,2.6,,103,,ManhCh00
492,493,Nick Muse,MIN,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,22,22.0,0,0,0,0,,,2.0,3.2,3.2,2.7,,101,,MuseNi00
496,497,Trevon Wesco,TEN,TE,28,15,10,0,0,0,0,0,0,0,,0,3,1,21,21.0,0,0,0,0,,,2.0,3.1,3.1,2.6,,102,,WescTr00
502,503,Ross Dwelley,SFO,TE,28,12,0,0,0,0,0,0,0,0,,0,2,1,12,12.0,0,0,0,0,,,1.0,2.2,2.2,1.7,,104,,DwelRo00
505,506,Tucker Fisk,ATL,TE,24,6,2,0,0,0,0,0,0,0,,0,1,1,9,9.0,0,0,0,0,,,1.0,1.9,1.9,1.4,,107,,FiskTu00
506,507,John FitzPatrick,ATL,TE,23,9,0,0,0,0,0,0,0,0,,0,1,1,12,12.0,0,0,0,0,,,1.0,2.2,2.2,1.7,,105,,FitzJo00
507,508,Cole Fotheringham,LVR,TE,26,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.0,0,0,0,0,,,1.0,1.6,1.6,1.1,,108,,FothCo00
516,517,Kevin Rader,TEN,TE,28,14,0,0,0,0,0,0,0,0,,0,3,1,6,6.0,0,0,0,0,,,1.0,1.6,1.6,1.1,,109,,RadeKe00
517,518,Eric Saubert,2TM,TE,29,10,1,0,0,0,0,0,0,0,,0,3,3,12,4.0,0,0,0,0,,,1.0,4.2,4.2,2.7,,106,,SaubEr00
524,525,Stephen Anderson,LAC,TE,30,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,112,,AndeSt01
531,532,Matt Bushman,KAN,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,113,,BushMa00
536,537,Stephen Carlson,CHI,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,,CarlSt00
541,542,Tanner Conner,MIA,TE,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,,ConnTa00
543,544,Darrell Daniels,DET,TE,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,,DaniDa02
551,552,Princeton Fant,DAL,TE,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,,FantPr00
553,554,Anthony Firkser,DET,TE,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,,FirkAn00
556,557,Zach Gentry,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,119,,GentZa00
562,563,Parker Hesse,ATL,TE,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,,HessPa00
563,564,J.P. Holtz,NOR,TE,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,,HoltJ.01
565,566,Jesper Horsted,LVR,TE,26,13,0,0,0,0,0,0,0,0,,0,1,1,4,4.0,0,0,0,0,,,,1.4,1.4,0.9,,110,,HorsJe00
572,573,Tyree Jackson,NYG,TE,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,JackTy01
574,575,Hunter Kampmoyer,LAC,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,KampHu00
575,576,Dalton Keene,HOU,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,KeenDa00
576,577,Tyler Kroft,MIA,TE,31,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,KrofTy00
577,578,Zack Kuntz,NYJ,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,,KuntZa00
579,580,Hunter Long,LAR,TE,25,4,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,LongHu00
582,583,Jordan Matthews,CAR,TE,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,MattJo00
584,585,Sean McKeon,DAL,TE,26,9,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,129,,McKeSe01
585,586,Tre' McKitty,LAC,TE,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,McKiTr00
591,592,Albert Okwuegbunam,PHI,TE,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,131,,OkwuAl00
594,595,Josh Pederson,JAX,TE,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,PedeJo00
602,603,Brady Russell,SEA,TE,25,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,,RussBr00
606,607,Matt Sokol,NWE,TE,28,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,SokoMa00
609,610,Noah Togiai,PHI,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,TogiNo00
613,614,Nick Vannett,LAC,TE,30,8,5,0,0,0,0,0,0,0,,0,1,1,3,3.0,0,0,0,0,,,,1.3,1.3,0.8,,111,,VannNi00
614,615,Travis Vokolek,ARI,TE,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,VokoTr00
617,618,Blake Whiteheart,ARI,TE,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,,WhitBl01
619,620,Brayden Willis,SFO,TE,24,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,,WillBr06
621,622,Rodney Williams,PIT,TE,25,13,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,139,,WillRo08
629,630,David Wells,TAM,TE,28,5,0,0,0,0,0,0,0,0,,0,2,2,-10,-5.0,0,1,0,0,,,-1.0,1.0,1.0,,,140,,WellDa00
