RK,NAME,TEAM,POS,GMS,RECEIVING_TGTS,RECEIVING_REC,RECEIVING_PCT,RECEIVING_YDS,RECEIVING_TD,RECEIVING_LNG,RECEIVING_Y/T,RECEIVING_Y/R,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES_FUM,FUMBLES_LST,PPG,FPTS
39,Trey McBride,ARI,TE,16,39,29,74.4,265,1,29,6.8,9.1,0,0,0,0,1,0,3.8,61.5
40,Kylen Granson,IND,TE,13,40,31,77.5,302,0,32,7.6,9.7,1,0,0,0,1,0,4.7,61.2
41,Harrison Bryant,CLE,TE,16,40,29,72.5,219,1,30,5.5,7.6,1,8,8,0,0,0,3.6,57.7
42,C.J. Uzomah,NYJ,TE,15,27,21,77.8,232,2,40,8.6,11,0,0,0,0,0,0,3.7,56.2
43,Irv Smith Jr.,MIN,TE,8,36,25,69.4,182,2,17,5.1,7.3,0,0,0,0,1,0,6.9,55.2
44,MyCole Pruitt,ATL,TE,13,21,16,76.2,150,4,29,7.1,9.4,0,0,0,0,0,0,4.2,55
45,Tommy Tremble,CAR,TE,17,32,19,59.4,174,3,29,5.4,9.2,0,0,0,0,1,1,3.1,52.4
46,Jonnu Smith,NE,TE,14,38,27,71.1,245,0,53,6.4,9.1,1,5,5,0,1,0,3.7,52
47,Jake Ferguson,DAL,TE,16,22,19,86.4,174,2,30,7.9,9.2,0,0,0,0,0,0,3,48.4
48,Mo Alie-Cox,IND,TE,16,27,18,66.7,185,2,34,6.9,10.3,0,0,0,0,1,1,2.9,46.5
49,Adam Trautman,NO,TE,15,22,18,81.8,207,1,22,9.4,11.5,0,0,0,0,0,0,3,44.7
50,Shane Zylstra,DET,TE,13,15,11,73.3,60,4,14,4,5.5,0,0,0,0,0,0,3.2,41
51,Josh Oliver,BAL,TE,17,25,14,56,149,2,40,6,10.6,0,0,0,0,0,0,2.4,40.9
52,Ian Thomas,CAR,TE,16,30,21,70,197,0,50,6.6,9.4,0,0,0,0,0,0,2.5,40.7
53,Peyton Hendershot,DAL,TE,16,16,11,68.8,103,2,29,6.4,9.4,1,2,2,1,1,0,2.5,39.5
54,Johnny Mundt,MIN,TE,16,21,19,90.5,140,1,17,6.7,7.4,0,0,0,0,0,0,2.4,39
55,Cameron Brate,TB,TE,10,38,20,52.6,174,0,21,4.6,8.7,0,0,0,0,0,0,3.7,37.4
56,Mitchell Wilcox,CIN,TE,15,18,17,94.4,139,1,19,7.7,8.2,0,0,0,0,0,0,2.5,36.9
57,O.J. Howard,HOU,TE,13,23,10,43.5,145,2,26,6.3,14.5,0,0,0,0,0,0,2.8,36.5
58,Eric Saubert,DEN,TE,16,24,15,62.5,148,1,25,6.2,9.9,0,0,0,0,0,0,2.2,35.8
59,Durham Smythe,MIA,TE,15,15,12,80,90,1,19,6,7.5,2,1,0.5,1,0,0,2.2,33.1
60,Lawrence Cager,NYG,TE,7,19,13,68.4,118,1,20,6.2,9.1,0,0,0,0,0,0,4.4,30.8
60,John Bates,WAS,TE,15,22,14,63.6,108,1,20,4.9,7.7,0,0,0,0,1,0,2.1,30.8
62,Jody Fortson IR,KC,TE,13,13,9,69.2,108,2,40,8.3,12,0,0,0,0,1,1,2.3,29.8
63,Donald Parham Jr.,LAC,TE,6,12,10,83.3,130,1,24,10.8,13,0,0,0,0,0,0,4.8,29
64,Eric Tomlinson,DEN,TE,17,13,9,69.2,79,2,18,6.1,8.8,0,0,0,0,0,0,1.7,28.9
64,Zach Gentry,PIT,TE,16,22,18,81.8,109,0,32,5,6.1,0,0,0,0,0,0,1.8,28.9
66,James Mitchell,DET,TE,14,11,11,100,113,1,22,10.3,10.3,0,0,0,0,0,0,2,28.3
67,Connor Heyward,PIT,TE,16,13,9,69.2,106,1,45,8.2,11.8,1,21,21,0,0,0,1.7,27.7
68,Brevin Jordan,HOU,TE,10,28,14,50,128,0,20,4.6,9.1,0,0,0,0,0,0,2.7,26.8
69,Marcedes Lewis,GB,TE,16,7,6,85.7,66,2,31,9.4,11,0,0,0,0,0,0,1.7,26.6
70,Albert Okwuegbunam,DEN,TE,8,18,10,55.6,95,1,25,5.3,9.5,0,0,0,0,0,0,3.2,25.5
71,Josiah Deguara,GB,TE,16,15,13,86.7,114,0,25,7.6,8.8,0,0,0,0,0,0,1.5,24.4
72,Geoff Swaim,TEN,TE,17,16,12,75,58,1,13,3.6,4.8,0,0,0,0,0,0,1.4,23.8
73,Pharaoh Brown,CLE,TE,15,20,12,60,117,0,30,5.8,9.8,0,0,0,0,0,0,1.6,23.7
74,Jack Stoll,PHI,TE,16,14,11,78.6,123,0,26,8.8,11.2,0,0,0,0,0,0,1.5,23.3
75,Tanner Hudson,NYG,TE,11,15,10,66.7,132,0,27,8.8,13.2,0,0,0,0,0,0,2.1,23.2
76,Dan Arnold,JAX,TE,16,13,9,69.2,135,0,26,10.4,15,0,0,0,0,0,0,1.4,22.5
77,Ko Kieft,TB,TE,16,10,7,70,80,1,19,8,11.4,0,0,0,0,0,0,1.3,21
78,Quintin Morris,BUF,TE,13,11,8,72.7,84,1,26,7.6,10.5,0,0,0,0,1,1,1.6,20.4
79,Ross Dwelley,SF,TE,12,5,3,60,105,1,56,21,35,0,0,0,0,0,0,1.6,19.5
79,Chris Myarick,NYG,TE,16,8,7,87.5,65,1,23,8.1,9.3,0,0,0,0,0,0,1.2,19.5
81,Teagan Quitoriano,HOU,TE,8,10,4,40,30,2,13,3,7.5,0,0,0,0,0,0,2.4,19
81,Anthony Firkser,ATL,TE,11,13,9,69.2,100,0,22,7.7,11.1,0,0,0,0,0,0,1.7,19
83,Giovanni Ricci,CAR,TE,15,9,8,88.9,100,0,32,11.1,12.5,0,0,0,0,0,0,1.2,18
84,Brycen Hopkins,LAR,TE,14,11,7,63.6,109,0,22,9.9,15.6,0,0,0,0,0,0,1.3,17.9
84,Parker Hesse,ATL,TE,17,11,9,81.8,89,0,22,8.1,9.9,0,0,0,0,0,0,1.1,17.9
86,Tre' McKitty,LAC,TE,17,18,10,55.6,72,0,12,4,7.2,0,0,0,0,1,0,1,17.2
87,Armani Rogers,WAS,TE,11,6,5,83.3,64,0,23,10.7,12.8,2,26,13,0,0,0,1.3,14
88,Grant Calcaterra,PHI,TE,14,9,5,55.6,81,0,40,9,16.2,0,0,0,0,0,0,0.9,13.1
89,Andrew Beck,DEN,TE,13,11,5,45.5,69,0,27,6.3,13.8,2,0,0,0,0,0,0.9,11.9
90,Kyle Rudolph,TB,TE,9,5,3,60,28,1,12,5.6,9.3,0,0,0,0,0,0,1.3,11.8
91,Nick Vannett,NYG,TE,9,9,6,66.7,55,0,15,6.1,9.2,0,0,0,0,0,0,1.3,11.5
92,Chris Manhertz,JAX,TE,16,8,6,75,42,0,21,5.2,7,0,0,0,0,0,0,0.6,10.2
93,Blake Bell,KC,TE,3,2,2,100,20,1,17,10,10,0,0,0,0,0,0,3.3,10
94,Tyler Kroft,SF,TE,10,5,4,80,57,0,28,11.4,14.2,0,0,0,0,0,0,1,9.7
95,Charlie Kolar,BAL,TE,2,6,4,66.7,49,0,15,8.2,12.2,0,0,0,0,0,0,4.4,8.9
96,Luke Farrell,JAX,TE,17,4,4,100,40,0,15,10,10,0,0,0,0,0,0,0.5,8
97,Tyler Mabry,SEA,TE,1,1,1,100,7,1,7,7,7,0,0,0,0,0,0,7.7,7.7
98,Trevon Wesco,CHI,TE,13,4,2,50,26,0,23,6.5,13,0,0,0,0,0,0,0.5,6.6
98,Stephen Sullivan,CAR,TE,13,6,2,33.3,46,0,33,7.7,23,0,0,0,0,0,0,0.5,6.6
98,Ryan Griffin,CHI,TE,14,8,4,50,26,0,18,3.2,6.5,0,0,0,0,0,0,0.5,6.6
