player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
MyCole Pruitt,9576,TE,ATL,17,0,2,64.2,0,1,85,57.8,55.8,98.2,0,2,1,86,154,24.6,0,0,4,26.7,25.0,100.0,0,0,4,16
Tyjae Spears,97195,HB,TEN,17,0,31,79.6,2,3,77,20.5,20.8,95.5,0,6,1,85,408,78.5,1,3,51,22.4,22.3,94.1,5,1,55,247
Blake Hance,46301,T,JAX,7,0,15,10.0,5,6,79,97.5,97.7,93.0,0,11,0,84,86,8.6,3,6,36,100.0,100.0,87.5,9,0,40,40
Drew Sample,47259,TE,CIN,17,0,7,68.1,3,1,78,29.1,30.1,97.4,0,4,0,84,279,81.1,0,0,28,24.8,25.4,100.0,0,0,30,118
Alexander Mattison,45817,HB,MIN,16,0,18,49.5,3,2,76,21.6,21.8,91.4,0,9,4,82,376,28.1,2,2,19,12.4,12.9,84.2,5,1,21,163
Josh Jacobs,45953,HB,LV,13,0,23,50.9,2,4,76,24.1,24.6,94.7,0,7,1,81,329,24.7,2,4,25,21.0,21.4,84.0,7,1,27,126
Cam Fleming,8775,T,DEN,5,0,10,71.3,1,2,75,100.0,100.0,98.0,1,3,0,80,80,70.7,1,2,38,100.0,100.0,96.1,3,0,40,40
Justice Hill,45865,HB,BLT,18,0,3,58.8,0,6,73,20.9,20.8,93.2,0,8,2,78,375,41.5,0,6,45,23.8,23.8,88.9,8,2,49,206
Ben Cleveland,41696,G,BLT,8,0,3,80.7,0,3,75,100.0,100.0,98.0,0,3,0,76,76,71.1,0,3,37,100.0,100.0,95.9,3,0,38,38
Joshua Kelley,13750,HB,LAC,17,0,27,42.4,1,9,72,29.4,28.9,91.7,0,11,1,76,263,48.7,1,6,37,29.4,29.2,87.8,8,1,40,137
Isiah Pacheco,83747,HB,KC,18,0,16,67.4,1,5,69,15.9,16.1,95.7,1,6,0,74,460,73.4,0,2,18,10.1,10.8,94.4,2,0,21,195
Antonio Gibson,78050,HB,WAS,16,0,32,71.9,1,3,66,17.2,17.8,92.4,0,7,3,72,404,69.1,0,2,44,19.0,19.6,90.9,5,3,48,245
Joe Mixon,11803,HB,CIN,17,0,7,29.7,3,4,70,15.8,15.4,93.6,0,8,1,71,462,23.4,3,1,32,18.8,18.0,90.6,5,1,32,178
Kenneth Gainwell,77737,HB,PHI,17,0,24,47.2,2,8,70,23.1,22.7,91.4,0,11,1,71,313,38.5,2,7,49,26.8,26.7,88.8,10,1,50,187
Olusegun Oluwatimi,98581,C,SEA,4,0,29,75.5,0,1,68,100.0,100.0,99.3,0,1,0,70,70,65.0,0,1,34,100.0,100.0,98.5,1,0,34,34
Zack Moss,40341,HB,IND,14,0,14,60.4,0,4,68,22.6,21.8,97.1,0,4,0,70,321,74.4,0,2,37,28.9,27.7,97.3,2,0,38,137
Josh Oliver,47083,TE,MIN,17,1,18,57.6,3,1,64,31.1,31.3,93.7,2,6,2,70,224,,0,0,0,0.0,0.0,,0,0,0,31
Ezekiel Elliott,10638,HB,NE,17,0,19,37.1,3,7,67,21.4,21.2,89.6,0,12,2,69,326,26.3,3,4,37,24.3,24.4,85.1,9,2,39,160
Devin Singletary,40485,HB,HST,19,0,13,34.3,1,2,63,16.2,16.4,91.3,0,7,4,69,421,46.4,1,1,21,13.8,13.9,90.5,3,1,23,165
Duane Brown,4340,T,NYJ,4,1,22,38.3,3,4,63,98.4,98.6,91.3,1,9,2,68,69,51.5,1,2,35,100.0,100.0,90.0,5,2,38,38
Brian Robinson,57120,HB,WAS,15,0,32,62.0,1,5,63,22.3,22.8,93.7,0,7,1,68,298,54.0,1,2,22,21.4,22.9,88.6,4,1,25,109
Roschon Johnson,99467,HB,CHI,15,1,6,64.8,0,4,65,25.5,25.2,93.8,1,6,2,68,270,68.5,0,2,34,21.9,22.1,94.1,3,1,36,163
Shane Lemieux,28149,G,NYG,2,0,21,26.1,0,5,63,100.0,100.0,94.4,0,6,1,67,67,31.4,0,3,24,100.0,100.0,89.6,4,1,28,28
Jaylen Warren,98692,HB,PIT,18,1,25,25.1,2,6,64,19.0,18.9,90.6,1,10,2,67,355,20.6,2,6,45,22.3,21.9,86.7,10,2,47,215
Chris Manhertz,10211,TE,DEN,16,0,10,73.1,1,4,65,50.4,49.6,96.2,0,5,0,66,133,75.9,0,0,6,31.6,31.6,100.0,0,0,6,19
Nicholas Petit-Frere,82003,T,TEN,3,1,31,27.8,5,3,57,100.0,100.0,87.7,1,11,3,66,66,11.2,3,2,20,100.0,100.0,77.5,7,2,26,26
Zach Charbonnet,97630,HB,SEA,16,1,29,61.1,0,4,59,17.8,18.5,94.9,2,5,1,65,351,61.5,0,2,25,14.0,14.9,96.0,2,0,28,188
Alvin Kamara,11822,HB,NO,13,0,20,19.2,3,6,61,18.5,18.7,92.6,0,9,0,65,347,15.8,1,5,32,19.4,20.0,90.6,6,0,35,175
Cole Kmet,60995,TE,CHI,17,0,6,64.3,0,1,61,12.6,12.8,99.2,0,1,0,65,508,75.9,0,0,15,6.6,6.3,100.0,0,0,15,239
John Bates,42275,TE,WAS,17,0,32,79.0,0,1,63,23.7,23.4,99.2,2,1,0,65,278,59.3,0,1,7,8.9,9.6,92.9,1,0,8,83
David Montgomery,45719,HB,DET,17,0,11,29.7,0,7,58,21.7,22.6,90.5,2,9,2,64,283,25.1,0,4,24,25.0,26.0,83.3,6,2,26,100
Marcedes Lewis,2973,TE,CHI,16,0,6,68.4,0,1,61,61.0,60.4,99.2,1,1,0,64,106,74.4,0,0,4,28.6,28.6,100.0,0,0,4,14
Jerome Ford,83601,HB,CLV,18,0,8,64.8,0,3,62,15.2,14.7,96.0,0,4,1,64,435,60.9,0,2,30,15.1,14.2,96.7,2,0,30,211
Sam LaPorta,101690,TE,DET,20,0,11,59.9,1,2,59,9.0,9.1,97.5,0,3,0,63,689,54.8,0,0,13,4.1,4.2,100.0,0,0,14,331
Ty Chandler,62942,HB,MIN,12,0,18,49.3,2,3,60,33.0,32.1,89.2,0,9,4,62,193,36.3,2,2,19,27.1,27.0,84.2,5,1,20,74
AJ Dillon,57165,HB,GB,15,0,12,56.0,1,3,55,20.4,20.8,94.5,0,5,1,60,289,27.8,0,1,16,15.1,14.3,90.6,2,1,16,112
Michael Mayer,122906,TE,LV,14,0,23,51.9,4,2,57,17.3,17.5,94.7,1,6,0,60,342,75.5,0,0,2,1.4,2.0,100.0,0,0,3,147
Adam Trautman,109795,TE,DEN,17,0,10,62.1,1,3,55,13.8,13.6,96.4,0,4,0,59,435,76.4,0,1,10,6.0,5.4,95.0,1,0,10,185
Cade Otton,61071,TE,TB,19,0,30,47.4,0,7,58,8.2,7.8,94.0,2,7,0,59,758,52.9,0,2,6,1.9,1.7,83.3,2,0,6,349
Tremayne Anchrum Jr.,41813,G,LA,4,0,26,53.4,0,1,53,100.0,100.0,97.2,1,2,1,58,58,43.5,0,1,28,100.0,100.0,94.6,2,1,29,29
David Njoku,11784,TE,CLV,17,1,8,67.5,0,2,55,9.0,8.8,96.4,2,3,1,57,651,60.0,0,1,19,7.0,6.6,97.4,1,0,19,290
Jamaal Williams,11889,HB,NO,13,0,20,38.0,2,5,54,31.0,31.8,89.8,0,9,2,57,179,52.9,2,2,31,32.3,33.0,87.1,6,2,33,100
Bijan Robinson,123126,HB,ATL,17,0,2,56.8,0,3,56,11.8,11.4,97.3,0,3,0,57,498,44.8,0,2,25,12.6,12.4,96.0,2,0,26,209
C.J. Ham,11347,FB,MIN,17,0,18,74.8,0,4,54,37.8,37.0,94.4,0,5,1,57,154,81.4,0,3,38,44.7,44.9,96.1,3,0,40,89
Jordan Meredith,60235,G,LV,6,0,23,56.7,1,1,55,100.0,100.0,98.2,0,2,0,56,56,45.8,1,0,26,100.0,100.0,98.1,1,0,26,26
Christian McCaffrey,11763,HB,SF,19,1,28,28.4,0,7,52,9.1,9.2,93.3,2,7,0,56,606,26.2,0,5,22,8.7,8.9,88.6,5,0,24,270
Austin Ekeler,12164,HB,LAC,14,0,27,29.3,1,6,50,12.6,13.4,91.0,0,8,1,56,418,26.2,1,4,29,13.8,14.2,87.9,6,1,31,219
Breece Hall,97636,HB,NYJ,17,0,22,53.9,0,2,49,12.7,13.7,98.0,0,2,0,56,410,29.5,0,1,16,10.5,12.0,96.9,1,0,20,167
