,Player,Position,Age,ovr_score,passing_yds_score,rush_yds_score,Overall,High,Low
40,Taysom Hill,QB,32,0.3691302485089974,0.0,0.3691302485089974,155.8,120.0,202.0
41,Joe Flacco,QB,37,0.3059501742694272,0.29170424453510846,0.014245929734318763,,,
42,Gardner Minshew II,QB,26,0.3038648548481907,0.28252809392312644,0.021336760925064265,,,
43,Teddy Bridgewater,QB,30,0.3016012603560233,0.2855772672106506,0.01602399314537275,,,
44,Taysom Hill,QB,32,0.295860043560265,0.28557726721065063,0.010282776349614395,155.8,120.0,202.0
45,Taysom Hill,QB,32,0.295860043560265,0.28557726721065063,0.010282776349614395,155.8,120.0,202.0
46,Brock Purdy,QB,23,0.2785029271839446,0.25318159042301913,0.02532133676092545,151.2,85.0,201.0
47,Malik Willis,QB,23,0.2722857428194503,0.19362250374490017,0.07866323907455011,,,
48,Desmond Ridder,QB,23,0.25649384998970504,0.18605683199484646,0.0704370179948586,,,
49,Sam Howell,QB,22,0.2510283972377928,0.2242931787287954,0.026735218508997426,,,
50,Mike White,QB,27,0.24733666082836406,0.2334120678548422,0.013924592973521851,,,
51,Tyler Huntley,QB,24,0.22856151808400765,0.13865149237706678,0.08991002570694086,,,
52,P.J. Walker,QB,27,0.22773766225634268,0.1860067282370625,0.0417309340192802,,,
53,Sam Ehlinger,QB,24,0.22114894072720226,0.1657504831436547,0.055398457583547556,,,
54,Bailey Zappe,QB,23,0.20645454712970443,0.18755994558728797,0.018894601542416452,,,
55,Trace McSorley,QB,27,0.2000110033292114,0.16830577625080523,0.03170522707840617,,,
56,Cooper Rush,QB,29,0.19952429464657406,0.1860067282370625,0.013517566409511567,,,
57,Trey Lance,QB,22,0.1913220996338541,0.11741464462100064,0.07390745501285348,,,
58,David Blough,QB,27,0.19066968319797217,0.1769164698303629,0.013753213367609254,,,
59,Kyle Allen,QB,26,0.18670855383543972,0.1444420585484217,0.042266495287017994,,,
60,Jarrett Stidham,QB,26,0.1770043216589663,0.15965213656860638,0.017352185090359896,,,
61,Colt McCoy,QB,36,0.17626493201946516,0.16103356955121323,0.015231362468251925,,,
62,Skylar Thompson,QB,25,0.168285223211684,0.14746260110371484,0.020822622107969153,,,
63,Joshua Dobbs,QB,27,0.1666636444326831,0.15023262472407128,0.01643101970861182,,,
