,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta,#,Pick,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted
18,Amari Cooper,WR,28.0,2022,191.0386666179802,,,76.0,7.01,WR,CLE,9.0,73.3,6.4,4.01,9.03,2710.0
19,Keenan Allen,WR,30.0,2022,187.04165108830432,,,28.0,3.03,WR,LAC,8.0,27.3,3.3,2.01,4.03,5049.0
20,D.J. Moore,WR,25.0,2022,185.0856179377972,,,44.0,4.06,WR,CAR,13.0,41.7,5.1,1.12,6.02,6283.0
21,Chase Claypool,WR,24.0,2022,180.9674558506522,,,115.0,10.03,WR,PIT,9.0,111.2,8.3,4.06,13.02,960.0
22,DeVonta Smith,WR,24.0,2022,179.54612359150298,,,87.0,7.12,WR,PHI,7.0,84.0,6.9,3.01,9.09,2470.0
23,Michael Pittman Jr.,WR,25.0,2022,176.97139140091454,,,31.0,3.05,WR,IND,14.0,29.2,3.1,1.06,4.05,4807.0
24,Brandon Aiyuk,WR,24.0,2022,175.09507510379106,,,100.0,8.12,WR,SF,9.0,96.0,7.7,4.09,10.11,2806.0
25,Darren Waller,WR,30.0,2022,173.07176504984034,,,52.0,4.12,TE,LV,6.0,47.7,5.8,1.07,6.1,4524.0
26,Terry McLaurin,WR,27.0,2022,172.4806594207152,,,39.0,4.01,WR,WAS,14.0,36.9,3.8,1.07,5.03,4349.0
27,Marquise Brown,WR,25.0,2022,171.02764093394129,,,77.0,7.01,WR,ARI,13.0,73.3,6.3,3.08,8.1,3277.0
28,Calvin Ridley,WR,28.0,2022,170.28225425062612,,,204.0,14.03,WR,ATL,14.0,159.4,15.8,8.05,16.06,243.0
29,Allen Robinson,WR,29.0,2022,168.88464974917068,,,62.0,5.11,WR,LAR,7.0,58.7,6.1,3.01,7.1,6302.0
30,Hunter Renfrow,WR,27.0,2022,167.6901278283233,,,70.0,6.06,WR,LV,6.0,66.2,6.2,3.11,8.04,2384.0
31,Darnell Mooney,WR,25.0,2022,163.50339534150817,,,75.0,6.12,WR,CHI,14.0,72.2,6.1,4.01,8.12,3131.0
32,Robert Woods,WR,30.0,2022,161.95231269322966,,,103.0,9.04,WR,TEN,6.0,99.7,7.2,4.11,11.01,2297.0
33,Brandin Cooks,WR,29.0,2022,156.26871446238596,,,60.0,5.08,WR,HOU,6.0,56.2,5.2,2.12,7.03,4705.0
34,Michael Gallup,WR,26.0,2022,156.21128649839497,,,125.0,10.12,WR,DAL,9.0,120.1,9.5,2.06,13.06,1440.0
35,Tyler Boyd,WR,28.0,2022,153.38501459771234,,,144.0,12.02,WR,CIN,10.0,134.3,12.6,6.12,15.06,1105.0
36,Christian Kirk,WR,26.0,2022,152.09737034018497,,,112.0,9.12,WR,JAX,11.0,108.3,7.3,6.05,12.06,2722.0
37,Mike Williams,WR,28.0,2022,149.68138666045678,,,51.0,4.12,WR,LAC,8.0,47.6,6.1,2.12,6.08,6157.0
38,Adam Thielen,WR,32.0,2022,149.29841108232708,,,65.0,6.03,WR,MIN,7.0,62.7,6.2,3.02,7.11,4122.0
39,DeVante Parker,WR,29.0,2022,148.281320843658,,,139.0,11.11,WR,NE,10.0,130.5,9.4,8.05,14.07,1420.0
40,Robby Anderson,WR,29.0,2022,148.281320843658,,,248.0,15.02,WR,CAR,13.0,169.8,26.8,6.01,18.05,51.0
41,Russell Gage,WR,26.0,2022,141.51532418196354,,,114.0,10.03,WR,TB,11.0,110.9,7.9,3.01,12.05,999.0
42,K.J. Osborn,WR,25.0,2022,141.122603167151,,,228.0,14.09,WR,MIN,7.0,165.1,19.4,10.05,18.05,76.0
43,Jarvis Landry,WR,30.0,2022,139.47485332878597,,,143.0,12.02,WR,NO,14.0,134.2,11.9,3.02,16.01,877.0
44,Mecole Hardman,WR,24.0,2022,138.97436236458321,,,168.0,13.04,WR,KC,8.0,148.5,15.9,6.1,15.12,792.0
45,Elijah Moore,WR,22.0,2022,136.73259055425788,,,94.0,8.04,WR,NYJ,10.0,88.1,7.6,2.06,10.06,3040.0
46,Gabriel Davis,WR,23.0,2022,136.01893039593236,,,79.0,7.03,WR,BUF,7.0,75.1,6.9,3.11,9.01,4242.0
47,DJ Chark,WR,26.0,2022,135.71159225003828,,,,,,,,,,,,
48,Marvin Jones,WR,32.0,2022,134.9836957529132,,,253.0,15.04,WR,JAX,11.0,171.7,33.2,5.03,18.05,30.0
49,JuJu Smith-Schuster,WR,26.0,2022,132.20680511775993,,,90.0,8.03,WR,KC,8.0,86.9,9.3,2.05,10.11,5912.0
50,Jakobi Meyers,WR,26.0,2022,131.02776590749087,,,197.0,14.02,WR,NE,10.0,157.8,15.8,8.05,16.08,648.0
51,Jamison Crowder,WR,29.0,2022,126.98310692454032,,,274.0,15.11,WR,BUF,7.0,179.4,23.6,9.09,18.06,39.0
52,Jerry Jeudy,WR,23.0,2022,123.35480590224633,,,68.0,6.04,WR,DEN,9.0,64.1,6.3,3.02,7.11,5071.0
53,Robby Anderson,WR,29.0,2022,122.98107560560004,,,248.0,15.02,WR,CAR,13.0,169.8,26.8,6.01,18.05,51.0
54,DeVante Parker,WR,29.0,2022,122.98107560560004,,,139.0,11.11,WR,NE,10.0,130.5,9.4,8.05,14.07,1420.0
55,Corey Davis,WR,27.0,2022,122.638091466834,,,267.0,15.08,WR,NYJ,10.0,175.5,23.8,13.02,19.05,10.0
56,Julio Jones,WR,33.0,2022,119.1689564147407,,,151.0,12.06,WR,TB,11.0,138.3,15.6,3.06,15.11,2175.0
57,Courtland Sutton,WR,27.0,2022,118.91425208873817,,,69.0,6.04,WR,DEN,9.0,64.3,8.5,2.07,8.04,7685.0
58,Kenny Golladay,WR,29.0,2022,116.85067181246237,,,216.0,14.07,WR,NYG,9.0,162.9,18.7,9.07,17.09,397.0
59,Rondale Moore,WR,22.0,2022,112.7678796691357,,,189.0,13.12,WR,ARI,13.0,155.5,16.3,9.03,16.08,1112.0
60,Van Jefferson,WR,26.0,2022,110.5236924379583,,,270.0,15.09,WR,LAR,7.0,176.9,28.4,7.09,18.08,50.0
61,Allen Lazard,WR,27.0,2022,110.03008324180021,,,102.0,9.03,WR,GB,14.0,99.3,8.5,5.03,11.06,5079.0
62,Chuba Hubbard,RB,23.0,2022,108.97284592415205,,,135.0,11.09,RB,CAR,13.0,129.3,11.4,5.02,14.03,1033.0
63,Rashod Bateman,WR,23.0,2022,108.97284592415205,,,95.0,8.05,WR,BAL,10.0,89.3,7.9,4.07,10.11,4638.0
64,Nico Collins,WR,23.0,2022,102.58911391778662,,,230.0,14.1,WR,HOU,6.0,165.6,22.1,8.04,18.06,131.0
65,Josh Palmer,WR,24.0,2022,101.60507135734727,,,211.0,14.06,WR,LAC,8.0,161.5,22.4,9.1,18.06,50.0
66,Tim Patrick,WR,29.0,2022,100.10747235323468,,,238.0,14.11,WR,DEN,9.0,166.8,15.6,11.07,16.11,49.0
67,Kadarius Toney,WR,23.0,2022,99.98827676166641,,,117.0,10.04,WR,NYG,9.0,111.7,8.3,6.01,13.06,3230.0
68,Cordarrelle Patterson,WR,31.0,2022,98.95051980526534,,,98.0,8.09,WR,ATL,14.0,93.3,8.8,3.08,10.1,2856.0
69,Nelson Agholor,WR,29.0,2022,98.4724620908308,,,113.0,10.01,WR,NE,10.0,109.3,31.5,3.01,13.01,10.0
70,Randall Cobb,WR,32.0,2022,79.76691069532075,,,192.0,14.01,WR,GB,14.0,156.8,45.9,3.07,19.04,15.0
71,Sammy Watkins,WR,29.0,2022,77.89587537473932,,,269.0,15.08,WR,GB,14.0,176.3,25.3,7.07,18.06,147.0
72,Isaiah McKenzie,WR,27.0,2022,76.74886933370101,,,213.0,14.06,WR,BUF,7.0,161.7,21.1,6.07,17.12,95.0
73,Marquez Valdes-Scantling,WR,28.0,2022,74.77940081338468,,,154.0,12.08,WR,KC,8.0,140.0,12.5,5.11,15.1,1068.0
74,Parris Campbell,WR,25.0,2022,41.51992734655255,,,210.0,14.05,WR,IND,14.0,161.4,16.2,11.03,15.12,14.0
