,Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999,great_season_probability_prediction
91,92,Michael Wilson,24,ARI,WR,16,13,71,47,548,27,418,8.9,130,2.8,11.4,1,47.0,3,4.2,3,90.6,,WilsMi02,0.06638262
83,84,Adam Thielen,34,CAR,WR,10,10,62,48,615,28,463,9.6,152,3.2,11.0,1,48.0,2,3.2,4,107.9,,ThieAd00,0.06638262
166,165,Cedric Tillman,24,CLE,WR,11,6,49,29,339,15,235,8.1,104,3.6,11.1,4,7.3,3,6.1,2,83.6,,TillCe01,0.063046806
33,34,Nico Collins,25,HOU,WR,12,12,99,68,1006,48,641,9.4,365,5.4,10.7,2,34.0,3,3.0,5,104.2,PB,CollNi00,0.061201252
150,149,Chris Olave,24,NOR,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32.0,2,4.5,2,89.2,,OlavCh00,0.058833826
216,215,Marquez Valdes-Scantling,30,2TM,WR,14,8,44,19,411,14,268,14.1,143,7.5,17.4,1,19.0,2,4.5,1,97.8,,ValdMa00,0.057724986
7,8,Garrett Wilson,24,NYJ,WR,17,17,154,101,1104,60,662,6.6,442,4.4,9.1,7,14.4,7,4.5,5,88.2,,WilsGa00,0.054013714
38,39,Demario Douglas,24,NWE,WR,17,7,87,66,621,31,262,4.0,359,5.4,5.9,2,33.0,7,8.0,2,97.0,,DougDe00,0.05251038
46,47,Calvin Ridley,30,TEN,WR,17,14,120,64,1017,40,786,12.3,231,3.6,15.3,4,16.0,6,5.0,4,79.1,,RidlCa00,0.05206146
220,219,JuJu Smith-Schuster,28,KAN,WR,14,8,26,18,231,11,76,4.2,155,8.6,5.6,4,4.5,2,7.7,1,106.4,,SmitJu00,0.050949156
155,154,Lil'Jordan Humphrey,26,DEN,WR,17,7,45,31,293,12,101,3.3,192,6.2,6.5,3,10.3,3,6.7,2,75.5,,HumpLi01,0.050949156
96,97,Olamide Zaccheaus,27,WAS,WR,17,6,64,45,506,26,222,4.9,284,6.3,6.3,7,6.4,5,7.8,0,109.2,,ZaccOl01,0.050949156
73,74,Deebo Samuel,28,SFO,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,,SamuDe00,0.050949156
56,57,Xavier Worthy,21,KAN,WR,17,13,98,59,638,36,231,3.9,407,6.9,9.2,0,,7,7.1,2,91.3,,WortXa00,0.049837578
144,143,Diontae Johnson,28,3TM,WR,12,8,67,33,375,21,284,8.6,91,2.8,10.9,1,33.0,3,4.5,5,50.3,,JohnDi01,0.049295336
