,Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999,great_season_probability_prediction
42,43,Pat Freiermuth,26,PIT,TE,17,11,78,65,653,32,374,5.8,279,4.3,6.1,4,16.3,4,5.1,1,126.1,,FreiPa00,0.076012075
40,41,Hunter Henry,30,NWE,TE,16,16,97,66,674,40,406,6.2,268,4.1,7.0,2,33.0,2,2.1,1,90.3,,HenrHu00,0.07540215
238,237,Kylen Granson,26,IND,TE,17,6,31,14,182,8,73,5.2,109,7.8,11.3,0,,1,3.2,2,37.3,,GranKy00,0.07316463
235,234,Nate Adkins,25,DEN,TE,17,10,15,14,115,6,39,2.8,76,5.4,4.1,1,14.0,0,0.0,0,138.2,,AdkiNa00,0.06903896
2,3,Brock Bowers,22,LVR,TE,17,16,153,112,1194,61,598,5.3,596,5.3,6.1,6,18.7,6,3.9,5,92.9,PBAP-1AP ORoY-2,BoweBr01,0.06903896
114,113,Noah Gray,25,KAN,TE,17,10,49,40,437,25,227,5.7,210,5.3,6.2,0,,2,4.1,2,120.8,,GrayNo00,0.06903896
52,53,Sam LaPorta,23,DET,TE,16,16,83,60,726,39,383,6.4,343,5.7,7.0,3,20.0,1,1.2,2,116.8,,LaPoSa01,0.06903896
53,54,Jake Ferguson,25,DAL,TE,14,14,86,59,494,18,185,3.1,309,5.2,4.1,6,9.8,3,3.5,0,83.2,,FergJa00,0.06903896
95,96,Austin Hooper,30,NWE,TE,17,8,59,45,476,25,251,5.6,225,5.0,5.8,3,15.0,1,1.7,2,102.1,,HoopAu00,0.06903896
68,69,Chigoziem Okonkwo,25,TEN,TE,17,11,70,52,479,19,230,4.4,249,4.8,5.9,5,10.4,3,4.3,4,78.2,,OkonCh00,0.06903896
70,71,Tyler Conklin,29,NYJ,TE,16,15,72,51,449,24,187,3.7,262,5.1,4.9,0,,1,1.4,0,105.6,,ConkTy00,0.06903896
45,46,David Njoku,28,CLE,TE,11,11,97,64,505,23,254,4.0,251,3.9,5.2,4,16.0,7,7.2,3,83.1,,NjokDa00,0.06604863
162,161,Colby Parkinson,25,LAR,TE,17,9,49,30,294,15,134,4.5,160,5.3,5.3,1,30.0,2,4.1,0,84.9,,ParkCo02,0.062344737
142,141,Ja'Tavion Sanders,21,CAR,TE,16,8,43,33,342,13,152,4.6,190,5.8,6.2,1,33.0,2,4.7,0,106.9,,SandJa01,0.062344737
174,173,Luke Schoonmaker,26,DAL,TE,17,6,36,27,241,11,144,5.3,97,3.6,5.5,0,,0,0.0,0,101.7,,SchoLu00,0.0597431
198,197,Erick All,24,CIN,TE,9,6,22,20,158,8,71,3.6,87,4.4,3.4,1,20.0,1,4.5,0,96.6,,AllxEr00,0.059680562
200,199,Elijah Higgins,24,ARI,TE,17,6,24,20,172,10,82,4.1,90,4.5,4.5,3,6.7,1,4.2,0,124.3,,HiggEl00,0.059680562
165,164,Theo Johnson,23,NYG,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29.0,5,11.6,1,88.4,,JohnTh00,0.05582971
160,159,AJ Barner,22,SEA,TE,17,6,38,30,245,18,81,2.7,164,5.5,3.6,1,30.0,3,7.9,1,117.7,,BarnAJ00,0.05251038
54,55,Cade Otton,25,TAM,TE,14,14,87,59,600,31,289,4.9,311,5.3,5.5,6,9.8,8,9.2,3,88.3,,OttoCa00,0.050949156
192,191,Josh Oliver,27,MIN,TE,15,12,28,22,258,14,129,5.9,129,5.9,7.8,0,,2,7.1,0,140.8,,OlivJo00,0.050949156
253,252,Julian Hill,24,MIA,TE,16,11,19,12,100,5,42,3.5,58,4.8,6.3,3,4.0,2,10.5,0,76.6,,HillJu02,0.050949156
14,15,Jonnu Smith,29,MIA,TE,17,6,111,88,884,55,374,4.3,510,5.8,4.9,8,11.0,6,5.4,0,123.9,PB,SmitJo01,0.050949156
97,98,Dalton Kincaid,25,BUF,TE,13,9,75,44,448,23,174,4.0,274,6.2,7.5,4,11.0,6,8.0,0,84.7,,KincDa00,0.050949156
115,114,Brenton Strange,24,JAX,TE,17,10,53,40,411,21,228,5.7,183,4.6,6.4,3,13.3,3,5.7,0,109.9,,StraBr00,0.050949156
186,185,Taysom Hill,34,NOR,TE,8,8,31,23,187,8,50,2.2,137,6.0,3.5,2,11.5,2,6.5,0,89.0,,HillTa00,0.050949156
219,218,Jeremy Ruckert,24,NYJ,TE,17,9,28,18,105,6,21,1.2,84,4.7,3.4,0,,2,7.1,0,71.3,,RuckJe00,0.050949156
75,76,Will Dissly,28,LAC,TE,15,8,64,50,481,24,178,3.6,303,6.1,4.6,4,12.5,4,6.3,0,108.4,,DissWi00,0.050949156
78,79,Tucker Kraft,24,GNB,TE,17,17,70,50,707,30,251,5.0,456,9.1,5.3,9,5.6,5,7.1,1,131.1,,KrafTu00,0.050949156
11,12,Travis Kelce,35,KAN,TE,16,16,133,97,823,47,482,5.0,341,3.5,6.4,3,32.3,6,4.5,4,83.6,PB,KelcTr00,0.050369963
61,62,Mark Andrews,29,BAL,TE,17,13,69,55,673,39,485,8.8,188,3.4,10.5,1,55.0,4,5.8,1,140.9,AP CPoY-19,AndrMa00,0.044488378
86,87,Evan Engram,30,JAX,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,,EngrEv00,0.043973964
251,250,Luke Farrell,27,JAX,TE,17,8,17,12,67,4,37,3.1,30,2.5,4.8,1,12.0,1,5.9,1,52.8,,FarrLu00,0.043973964
195,194,Michael Mayer,23,LVR,TE,11,8,32,21,156,8,95,4.5,61,2.9,6.2,2,10.5,2,6.3,0,77.1,,MayeMi00,0.043973964
