"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Van Jefferson","LAR","45.5","643.9","4.0","4.2","27.0","0.2","0.2","91.9"
"Joshua Palmer","LAC","54.9","634.4","4.8","0.0","0.0","0.0","0.2","91.8"
"Kenny Golladay","NYG","48.7","683.1","3.9","0.0","0.0","0.0","0.2","91.6"
"George Pickens","PIT","55.0","708.0","3.5","0.0","0.0","0.0","0.2","91.6"
"Kadarius Toney","NYG","59.3","675.8","3.4","3.9","23.0","0.2","0.3","90.6"
"Robbie Anderson","CAR","50.8","649.9","3.6","4.0","23.8","0.2","0.2","89.9"
"Curtis Samuel","WAS","48.9","579.4","3.4","13.3","76.1","0.7","0.2","89.8"
"A.J. Green","ARI","42.8","631.4","3.7","0.0","0.0","0.0","0.1","84.8"
"Corey Davis","NYJ","44.5","631.5","3.7","0.0","0.0","0.0","0.2","84.7"
"Cedrick Wilson Jr.","MIA","49.0","601.8","3.8","0.0","0.0","0.0","0.3","82.6"
"Donovan Peoples-Jones","CLE","43.8","636.3","3.2","0.0","0.0","0.0","0.2","82.2"
"Zay Jones","JAC","48.6","602.4","3.7","0.0","0.0","0.0","0.2","82.0"
"Parris Campbell","IND","47.1","607.0","3.5","0.0","0.0","0.0","0.1","81.2"
"Kendrick Bourne","NE","42.9","478.5","3.4","12.9","91.9","0.6","0.2","80.5"
"Rondale Moore","ARI","51.7","494.5","2.0","21.2","116.5","0.9","0.4","77.3"
"K.J. Osborn","MIN","42.2","527.3","3.6","0.0","0.0","0.0","0.1","74.3"
"K.J. Hamler","DEN","39.2","536.7","3.2","0.0","0.0","0.0","0.2","72.7"
"Bryan Edwards","ATL","37.0","554.6","2.8","0.0","0.0","0.0","0.1","72.0"
"Dee Eskridge","SEA","38.0","484.4","2.6","8.0","53.0","0.3","0.2","70.7"
"David Bell","CLE","43.1","514.0","3.1","0.0","0.0","0.0","0.1","69.7"
"Josh Reynolds","DET","35.7","493.9","3.0","0.0","0.0","0.0","0.1","67.2"
"Sammy Watkins","GB","36.5","483.6","2.8","2.0","12.7","0.1","0.1","66.5"
"Nick Westbrook-Ikhine","TEN","37.8","477.9","2.9","0.0","0.0","0.0","0.2","65.1"
"Jamison Crowder","BUF","44.9","464.0","3.1","0.0","0.0","0.0","0.1","64.8"
"Isaiah McKenzie","BUF","37.3","395.8","2.7","10.0","58.6","0.6","0.3","64.4"
"James Washington","DAL","29.4","462.6","3.0","0.0","0.0","0.0","0.1","64.3"
"Jalen Tolbert","DAL","35.3","456.2","3.1","0.0","0.0","0.0","0.2","63.7"
"Devin Duvernay","BAL","36.1","414.5","2.3","9.8","65.2","0.4","0.2","63.5"
"Wan'Dale Robinson","NYG","35.2","406.9","2.1","11.8","72.0","0.5","0.2","63.1"
"Julio Jones","TB","34.3","440.0","3.1","0.0","0.0","0.0","0.2","62.3"
"Skyy Moore","KC","34.3","415.5","3.4","0.0","0.0","0.0","0.1","61.9"
"Christian Watson","GB","30.6","394.7","3.1","4.0","24.5","0.2","0.1","61.4"
"Byron Pringle","CHI","36.1","470.2","2.4","0.0","0.0","0.0","0.2","61.0"
"Quez Watkins","PHI","32.4","456.6","2.5","0.0","0.0","0.0","0.1","60.3"
"Jameson Williams","DET","31.8","436.7","2.8","0.0","0.0","0.0","0.2","60.2"
"Nelson Agholor","NE","29.1","405.7","2.3","4.3","26.4","0.2","0.1","58.2"
"Braxton Berrios","NYJ","39.0","385.3","2.0","7.9","48.8","0.5","0.2","58.0"
"Freddie Swain","MIA","29.0","394.6","2.8","0.0","0.0","0.0","0.0","56.0"
"Velus Jones Jr.","CHI","31.4","386.5","2.1","4.1","25.1","0.2","0.2","54.2"
"Olamide Zaccheaus","ATL","31.8","426.4","1.9","0.0","0.0","0.0","0.1","53.9"
"Laquon Treadwell","NE","25.4","372.3","2.2","0.0","0.0","0.0","0.0","50.6"
"Jauan Jennings","SF","28.3","359.0","2.2","0.0","0.0","0.0","0.1","48.7"
"Jalen Guyton","LAC","20.5","272.7","1.9","8.8","51.4","0.4","0.1","46.0"
"Romeo Doubs","GB","23.6","305.2","2.4","0.0","0.0","0.0","0.1","44.8"
"Phillip Dorsett II","HOU","25.7","338.6","1.8","0.0","0.0","0.0","0.1","44.6"
"Keelan Cole Sr.","LV","24.2","314.8","2.0","0.0","0.0","0.0","0.0","43.2"
"Mack Hollins","LV","21.4","286.6","2.2","0.0","0.0","0.0","0.1","41.4"
"Tyler Johnson","HOU","30.8","322.3","1.5","0.0","0.0","0.0","0.1","40.9"
"Tutu Atwell","LAR","22.4","270.9","2.1","0.0","0.0","0.0","0.2","39.5"
"Lynn Bowden Jr.","NE","28.7","302.1","1.5","0.0","0.0","0.0","0.0","39.0"
"James Proche II","BAL","22.5","274.0","1.6","0.0","0.0","0.0","0.1","37.1"
"Chris Moore","HOU","26.7","290.6","1.4","0.0","0.0","0.0","0.1","37.1"
"Laviska Shenault Jr.","CAR","24.5","253.6","1.1","4.0","20.8","0.1","0.1","34.4"
"Demarcus Robinson","BAL","20.2","250.7","1.5","0.0","0.0","0.0","0.0","34.0"
"Jamal Agnew","JAC","17.5","203.9","0.9","7.8","60.4","0.3","0.1","33.7"
"Kalif Raymond","DET","18.2","228.6","1.4","2.6","15.5","0.1","0.1","33.6"
"Kyle Philips","TEN","19.1","234.7","1.5","0.0","0.0","0.0","0.1","32.1"
"Tyrie Cleveland","DEN","16.9","208.2","1.6","0.0","0.0","0.0","0.1","29.9"
"Terrace Marshall Jr.","CAR","20.0","227.1","1.1","0.0","0.0","0.0","0.1","29.3"
"Deonte Harty","NO","11.5","159.3","0.8","8.8","56.9","0.3","0.1","28.4"
"Jaylon Moore","JAC","16.8","202.8","1.3","0.0","0.0","0.0","0.0","28.2"
"Trent Sherfield","MIA","16.2","197.1","1.4","0.0","0.0","0.0","0.1","28.0"
"Anthony Schwartz","CLE","14.4","183.3","1.0","4.4","27.1","0.2","0.1","27.9"
"Equanimeous St. Brown","CHI","14.9","220.0","0.9","0.0","0.0","0.0","0.1","27.5"
"Marquez Callaway","NO","12.5","199.0","1.3","0.0","0.0","0.0","0.0","27.4"
"Noah Brown","DAL","15.1","189.6","1.1","0.0","0.0","0.0","0.1","25.6"
"Marquise Goodwin","SEA","13.7","182.8","0.9","2.0","11.4","0.1","0.1","25.5"
"Jalen Reagor","MIN","14.7","159.3","1.1","4.2","22.9","0.2","0.1","25.3"
"Keke Coutee","IND","12.3","184.3","1.1","0.0","0.0","0.0","0.0","24.9"
"Tyron Johnson","LV","14.5","183.0","1.1","0.0","0.0","0.0","0.1","24.9"
"Richie James Jr.","NYG","11.3","184.6","1.0","0.0","0.0","0.0","0.0","24.5"
"Calvin Austin III","PIT","16.3","185.0","1.0","0.0","0.0","0.0","0.1","24.4"
"Rashard Higgins","CAR","17.1","197.1","0.8","0.0","0.0","0.0","0.2","24.1"
"Khalil Shakir","BUF","12.3","151.6","1.1","2.0","12.1","0.1","0.0","23.2"
"Montrell Washington","DEN","12.4","163.4","1.2","0.0","0.0","0.0","0.0","23.2"
"Chris Conley","HOU","12.9","169.4","1.0","0.0","0.0","0.0","0.0","23.1"
"Zach Pascal","PHI","11.6","159.2","1.1","0.0","0.0","0.0","0.0","22.5"
"Ashton Dulin","IND","9.7","132.0","0.9","4.5","28.8","0.2","0.1","22.3"
"Shi Smith","CAR","13.8","173.3","0.8","0.0","0.0","0.0","0.1","22.2"
"Cam Sims","WAS","11.4","163.1","1.0","0.0","0.0","0.0","0.0","22.0"
"Quintez Cephus","DET","11.1","156.0","1.1","0.0","0.0","0.0","0.0","21.9"
