,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
744,Laviska Shenault Jr.,2021,23.0,WR,63,58.0,6.2,4.58,6.083333333,227.0,0.0,17.0,0.0,0.0,12.7
760,Zach Pascal,2021,27.0,WR,55.1,41.0,5.6,4.55,6.166666667,219.0,36.0,14.0,7.11,4.29,7.269230769230769
773,Kenny Golladay,2021,28.0,WR,48.7,36.0,6.9,4.5,6.333333333,218.0,35.5,18.0,7.0,4.15,6.364285714285714
783,Julio Jones,2021,32.0,WR,64.6,51.0,9.0,4.34,6.25,220.0,38.5,17.0,6.66,4.25,8.040000000000001
784,Allen Robinson,2021,28.0,WR,57.6,39.0,6.2,4.6,6.25,220.0,39.0,0.0,7.0,4.0,7.909090909090909
795,Jalen Reagor,2021,22.0,WR,57.9,34.0,5.2,4.47,5.916666667,206.0,42.0,17.0,7.31,4.46,6.007692307692308
799,Demarcus Robinson,2021,27.0,WR,61,33.0,6.4,4.59,6.083333333,203.0,34.5,0.0,6.77,4.19,6.94
801,Chris Conley,2021,29.0,WR,59.5,41.0,8.7,4.35,6.166666667,213.0,45.0,18.0,7.06,4.3,6.459999999999999
1153,Davante Adams,2020,28.0,WR,77.2,56.0,9.2,4.56,6.083333333,212.0,39.5,14.0,6.82,4.3,25.599999999999998
1166,Stefon Diggs,2020,27.0,WR,76.5,55.0,9.2,4.46,6.0,195.0,35.0,0.0,7.03,4.32,21.90666666666667
1169,Calvin Ridley,2020,26.0,WR,62.9,63.0,9.6,4.43,6.0,189.0,31.0,15.0,6.88,4.41,18.766666666666666
1170,D.K. Metcalf,2020,23.0,WR,64.3,62.0,10.1,4.33,6.25,228.0,40.5,27.0,7.38,4.5,16.95625
1173,Justin Jefferson,2020,21.0,WR,70.4,71.0,11.2,4.43,6.083333333,202.0,37.5,0.0,0.0,0.0,19.585714285714285
