,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
244,Trey McBride,2022,23.0,TE,74.40%,29.0,6.8,0.0,6.333333333,246.0,33.0,18.0,0.0,0.0,4.730769230769231
284,Adam Trautman,2022,25.0,TE,81.80%,22.0,9.4,4.8,6.416666667,255.0,34.5,18.0,6.78,4.27,3.725
299,Ian Thomas,2022,26.0,TE,70.00%,50.0,6.6,4.74,6.333333333,259.0,36.0,0.0,7.15,4.2,2.394117647058824
300,Durham Smythe,2022,27.0,TE,75.00%,26.0,6.5,4.81,6.416666667,253.0,31.0,18.0,7.17,4.23,2.6666666666666665
311,O.J. Howard,2022,28.0,TE,43.50%,26.0,6.3,4.51,6.5,251.0,30.0,22.0,6.85,4.16,3.65
325,Zach Gentry,2022,26.0,TE,82.60%,32.0,5.7,4.9,6.666666667,265.0,29.5,12.0,7.4,4.53,2.476923076923077
339,Eric Tomlinson,2022,30.0,TE,69.20%,18.0,6.1,4.98,6.5,263.0,30.5,19.0,7.46,4.54,2.408333333333333
346,Marcedes Lewis,2022,38.0,TE,85.70%,31.0,9.4,4.8,6.5,261.0,37.0,23.0,7.24,4.82,1.5647058823529412
358,Jack Stoll,2022,24.0,TE,78.60%,26.0,8.8,4.6,6.25,247.0,31.5,16.0,6.86,4.32,2.118181818181818
568,Travis Kelce,2021,32.0,TE,68.7,69.0,8.4,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,16.425
588,Dalton Schultz,2021,25.0,TE,75,32.0,7.8,4.75,6.416666667,244.0,32.0,15.0,7.0,4.4,13.92
590,George Kittle,2021,28.0,TE,75.5,48.0,9.7,4.52,6.333333333,247.0,35.0,18.0,0.0,0.0,14.142857142857142
601,Rob Gronkowski,2021,32.0,TE,61.8,42.0,9.0,4.68,6.5,264.0,0.0,23.0,0.0,0.0,14.266666666666666
603,Dawson Knox,2021,25.0,TE,69,53.0,8.3,0.0,6.333333333,254.0,34.5,16.0,7.12,4.27,11.721428571428572
606,Hunter Henry,2021,27.0,TE,66.7,35.0,8.0,4.79,6.416666667,250.0,0.0,13.0,0.0,0.0,16.43
610,Dallas Goedert,2021,26.0,TE,73.7,45.0,10.9,0.0,6.416666667,256.0,0.0,23.0,0.0,0.0,11.785714285714286
612,Kyle Pitts,2021,21.0,TE,61.8,61.0,9.3,4.44,6.416666667,245.0,33.5,22.0,7.12,4.3,11.773333333333333
615,Zach Ertz,2021,31.0,TE,66.1,47.0,6.8,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,12.907142857142857
690,Noah Fant,2021,24.0,TE,75.6,35.0,7.4,4.5,6.333333333,249.0,39.5,20.0,6.81,4.22,9.9375
698,Tyler Higbee,2021,28.0,TE,71.8,37.0,6.6,4.77,6.5,249.0,0.0,0.0,0.0,0.0,9.8
706,Jared Cook,2021,34.0,TE,57.8,42.0,6.8,4.49,6.416666667,246.0,41.0,23.0,0.0,0.0,13.24
708,T.J. Hockenson,2021,24.0,TE,72.6,33.0,6.9,4.7,6.416666667,251.0,37.5,17.0,7.02,4.18,12.108333333333334
723,Tyler Conklin,2021,26.0,TE,70.1,40.0,6.8,4.8,6.25,254.0,38.0,18.0,7.13,4.23,9.22
732,David Njoku,2021,25.0,TE,67.9,71.0,9.0,4.64,6.333333333,246.0,37.5,21.0,6.97,4.34,9.781818181818181
734,Gerald Everett,2021,27.0,TE,76.2,41.0,7.6,4.62,6.25,239.0,37.5,22.0,6.99,4.33,9.816666666666666
748,Cole Kmet,2021,22.0,TE,64.5,25.0,6.6,4.7,6.5,262.0,37.0,0.0,7.44,4.41,7.129411764705883
758,Evan Engram,2021,27.0,TE,63,30.0,5.6,4.42,6.25,234.0,36.0,19.0,6.92,4.23,8.541666666666666
765,Austin Hooper,2021,27.0,TE,62.3,34.0,5.7,4.72,6.333333333,254.0,33.0,19.0,7.0,4.32,5.78125
768,Foster Moreau,2021,24.0,TE,68.2,44.0,8.5,4.66,6.333333333,253.0,36.5,22.0,7.16,4.11,7.754545454545454
822,Jonnu Smith,2021,26.0,TE,62.2,28.0,6.5,4.62,6.25,248.0,38.0,22.0,0.0,4.18,6.127272727272728
837,Durham Smythe,2021,26.0,TE,82.9,25.0,8.7,4.81,6.416666667,253.0,31.0,18.0,7.17,4.23,5.833333333333333
839,Adam Trautman,2021,24.0,TE,62.8,32.0,6.1,4.8,6.416666667,255.0,34.5,18.0,6.78,4.27,6.33
849,Kyle Rudolph,2021,32.0,TE,66.7,60.0,6.6,4.83,6.5,259.0,0.0,0.0,0.0,0.0,4.592307692307693
854,Tommy Tremble,2021,21.0,TE,57.1,30.0,5.1,4.6,6.25,241.0,36.5,20.0,0.0,0.0,4.827272727272727
863,Will Dissly,2021,25.0,TE,80.8,39.0,8.9,4.87,6.333333333,262.0,28.0,15.0,7.07,4.4,3.5785714285714287
899,Marcedes Lewis,2021,37.0,TE,82.1,23.0,7.6,4.8,6.5,261.0,37.0,23.0,7.24,4.82,2.611764705882353
907,Ian Thomas,2021,25.0,TE,60,41.0,6.3,4.74,6.333333333,259.0,36.0,0.0,7.15,4.2,2.8307692307692305
918,Zach Gentry,2021,25.0,TE,76,25.0,6.7,4.9,6.666666667,265.0,29.5,12.0,7.4,4.53,2.975
929,Pharaoh Brown,2021,27.0,TE,67.6,29.0,5.0,0.0,6.5,255.0,34.0,24.0,0.0,0.0,3.1750000000000003
1154,Travis Kelce,2020,31.0,TE,72.4,45.0,9.8,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,20.853333333333335
1201,T.J. Hockenson,2020,23.0,TE,66.3,51.0,7.2,4.7,6.416666667,251.0,37.5,17.0,7.02,4.18,10.95625
1207,Rob Gronkowski,2020,31.0,TE,58.4,48.0,8.1,4.68,6.5,264.0,0.0,23.0,0.0,0.0,9.33125
1216,Jonnu Smith,2020,25.0,TE,63.1,63.0,6.9,4.62,6.25,248.0,38.0,22.0,0.0,4.18,10.014285714285714
1219,Jimmy Graham,2020,34.0,TE,65.8,30.0,6.0,4.53,6.5,260.0,38.5,0.0,6.9,4.45,9.573333333333332
1297,Noah Fant,2020,23.0,TE,66.7,37.0,7.2,4.5,6.333333333,249.0,39.5,20.0,6.81,4.22,10.664285714285715
1302,Hunter Henry,2020,26.0,TE,64.5,33.0,6.6,4.79,6.416666667,250.0,0.0,13.0,0.0,0.0,10.37857142857143
1304,Tyler Higbee,2020,27.0,TE,73.3,44.0,8.7,4.77,6.5,249.0,0.0,0.0,0.0,0.0,8.546666666666665
1309,Dalton Schultz,2020,24.0,TE,70.8,28.0,6.9,4.75,6.416666667,244.0,32.0,15.0,7.0,4.4,10.464285714285714
1314,Evan Engram,2020,26.0,TE,57.8,53.0,6.0,4.42,6.25,234.0,36.0,19.0,6.92,4.23,10.071428571428571
1337,Austin Hooper,2020,26.0,TE,65.7,36.0,6.2,4.72,6.333333333,254.0,33.0,19.0,7.0,4.32,8.73076923076923
1401,Chris Herndon,2020,24.0,TE,68.9,26.0,6.4,0.0,6.333333333,253.0,0.0,21.0,0.0,0.0,5.6692307692307695
1403,Zach Ertz,2020,30.0,TE,50,42.0,4.7,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,7.045454545454546
1415,Drew Sample,2020,24.0,TE,75.5,23.0,6.6,4.71,6.416666667,255.0,33.5,0.0,7.15,4.31,6.06923076923077
1421,Will Dissly,2020,24.0,TE,82.8,28.0,8.7,4.87,6.333333333,262.0,28.0,15.0,7.07,4.4,5.091666666666667
1422,Kyle Rudolph,2020,31.0,TE,75.7,25.0,9.0,4.83,6.5,259.0,0.0,0.0,0.0,0.0,5.45
1434,Durham Smythe,2020,25.0,TE,89.7,19.0,7.2,4.81,6.416666667,253.0,31.0,18.0,7.17,4.23,4.523076923076923
1450,Marcedes Lewis,2020,36.0,TE,58.8,36.0,6.3,4.8,6.5,261.0,37.0,23.0,7.24,4.82,2.58
1498,Ryan Izzo,2020,25.0,TE,65,50.0,10.0,4.94,6.416666667,256.0,33.0,18.0,7.15,4.43,2.5749999999999997
1525,Nick Vannett,2020,27.0,TE,66.7,19.0,4.5,4.76,6.5,257.0,30.5,17.0,7.05,4.2,2.6818181818181817
1564,Kaden Smith,2020,23.0,TE,85.7,16.0,5.3,4.92,6.416666667,255.0,32.0,15.0,7.08,4.47,2.433333333333333
1571,Vance McDonald,2020,30.0,TE,75,15.0,5.0,4.69,6.333333333,267.0,33.5,31.0,7.08,4.53,2.0749999999999997
1612,Luke Stocker,2020,32.0,TE,63.6,25.0,5.7,4.68,6.416666667,258.0,33.0,27.0,7.03,4.4,1.0230769230769232
1735,Travis Kelce,2019,30.0,TE,71.3,47.0,9.0,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,15.89375
1743,George Kittle,2019,26.0,TE,79.4,61.0,9.8,4.52,6.333333333,247.0,35.0,18.0,0.0,0.0,15.892857142857142
1749,Zach Ertz,2019,29.0,TE,65.2,30.0,6.8,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,14.373333333333333
1758,Austin Hooper,2019,25.0,TE,77.3,35.0,8.1,4.72,6.333333333,254.0,33.0,19.0,7.0,4.32,19.169999999999998
1781,Hunter Henry,2019,25.0,TE,72.4,30.0,8.6,4.79,6.416666667,250.0,0.0,13.0,0.0,0.0,12.516666666666666
1784,Tyler Higbee,2019,26.0,TE,77.5,33.0,8.2,4.77,6.5,249.0,0.0,0.0,0.0,0.0,10.693333333333333
1881,Jason Witten,2019,37.0,TE,75.9,33.0,6.4,4.65,6.5,264.0,31.0,25.0,0.0,0.0,8.74375
1887,Kyle Rudolph,2019,30.0,TE,81.3,32.0,7.6,4.83,6.5,259.0,0.0,0.0,0.0,0.0,7.10625
1894,Greg Olsen,2019,34.0,TE,63.4,41.0,7.3,4.51,6.5,254.0,35.5,23.0,7.04,4.48,8.835714285714285
1896,Noah Fant,2019,22.0,TE,60.6,75.0,8.5,4.5,6.333333333,249.0,39.5,20.0,6.81,4.22,10.090909090909092
1898,Jonnu Smith,2019,24.0,TE,79.5,57.0,10.0,4.62,6.25,248.0,38.0,22.0,0.0,4.18,7.478571428571429
1913,Jimmy Graham,2019,33.0,TE,63.3,48.0,7.5,4.53,6.5,260.0,38.5,0.0,6.9,4.45,10.07
1940,Dawson Knox,2019,23.0,TE,56,49.0,7.8,0.0,6.333333333,254.0,34.5,16.0,7.12,4.27,7.245454545454546
1946,O.J. Howard,2019,25.0,TE,64.2,33.0,8.7,4.51,6.5,251.0,30.0,22.0,6.85,4.16,5.992857142857143
1958,Vance McDonald,2019,29.0,TE,69.1,22.0,5.0,4.69,6.333333333,267.0,33.5,31.0,7.08,4.53,5.964285714285714
1963,Nick Boyle,2019,26.0,TE,72.1,35.0,7.5,5.04,6.333333333,268.0,30.5,20.0,7.13,4.23,5.006666666666666
2010,Jeremy Sprinkle,2019,25.0,TE,65,23.0,6.0,4.69,6.416666667,252.0,29.0,0.0,0.0,0.0,4.315384615384615
2029,Maxx Williams,2019,25.0,TE,78.9,28.0,10.6,4.78,6.333333333,249.0,34.5,17.0,7.3,4.37,4.12
2051,Marcedes Lewis,2019,35.0,TE,78.9,25.0,8.2,4.8,6.5,261.0,37.0,23.0,7.24,4.82,3.3272727272727276
2071,Jeff Heuerman,2019,27.0,TE,70,26.0,5.7,4.81,6.416666667,254.0,0.0,26.0,0.0,0.0,2.8545454545454545
2086,MyCole Pruitt,2019,27.0,TE,75,42.0,11.3,4.58,6.166666667,251.0,38.0,17.0,7.25,4.37,2.1
2093,Jesse James,2019,25.0,TE,59.3,23.0,5.3,4.83,6.583333333,261.0,37.5,26.0,7.53,4.5,2.7454545454545456
2151,Durham Smythe,2019,24.0,TE,50,24.0,4.6,4.81,6.416666667,253.0,31.0,18.0,7.17,4.23,0.9642857142857143
2293,Travis Kelce,2018,29.0,TE,68.7,43.0,8.9,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,18.4125
2301,George Kittle,2018,25.0,TE,64.7,85.0,10.1,4.52,6.333333333,247.0,35.0,18.0,0.0,0.0,16.16875
2302,Zach Ertz,2018,28.0,TE,74.4,34.0,7.5,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,17.51875
2324,Jared Cook,2018,31.0,TE,67.3,45.0,8.9,4.49,6.416666667,246.0,41.0,23.0,0.0,0.0,13.828571428571427
2350,David Njoku,2018,22.0,TE,63.6,66.0,7.3,4.64,6.333333333,246.0,37.5,21.0,6.97,4.34,10.278571428571428
2351,Kyle Rudolph,2018,29.0,TE,78,44.0,7.7,4.83,6.5,259.0,0.0,0.0,0.0,0.0,9.4625
2357,Rob Gronkowski,2018,29.0,TE,65.3,42.0,9.5,4.68,6.5,264.0,0.0,23.0,0.0,0.0,11.927272727272726
2361,Vance McDonald,2018,28.0,TE,69.4,75.0,8.5,4.69,6.333333333,267.0,33.5,31.0,7.08,4.53,9.5
2445,Jimmy Graham,2018,32.0,TE,61.8,54.0,7.1,4.53,6.5,260.0,38.5,0.0,6.9,4.45,10.883333333333333
2454,Chris Herndon,2018,22.0,TE,69.6,32.0,9.0,0.0,6.333333333,253.0,0.0,21.0,0.0,0.0,9.433333333333334
2519,Jordan Thomas,2018,22.0,TE,74.1,39.0,8.0,4.74,6.416666667,265.0,27.0,16.0,7.5,4.75,6.55
2525,Jonnu Smith,2018,23.0,TE,66.7,61.0,8.6,4.62,6.25,248.0,38.0,22.0,0.0,4.18,5.316666666666666
2532,Tyler Higbee,2018,25.0,TE,70.6,36.0,8.6,4.77,6.5,249.0,0.0,0.0,0.0,0.0,4.075
2534,Jeff Heuerman,2018,26.0,TE,64.6,36.0,5.9,4.81,6.416666667,254.0,0.0,26.0,0.0,0.0,7.109999999999999
2551,Rhett Ellison,2018,30.0,TE,73.5,29.0,8.0,4.78,6.416666667,251.0,31.5,0.0,0.0,0.0,5.016666666666667
2566,Levine Toilolo,2018,27.0,TE,87.5,39.0,11.0,4.86,6.666666667,260.0,31.0,17.0,7.09,4.57,5.33
2584,Luke Stocker,2018,30.0,TE,71.4,31.0,7.9,4.68,6.416666667,258.0,33.0,27.0,7.03,4.4,3.9545454545454546
2591,Virgil Green,2018,30.0,TE,70.4,26.0,7.8,4.54,6.25,249.0,42.5,23.0,6.9,4.4,2.875
2616,Nick Boyle,2018,25.0,TE,62.2,25.0,5.8,5.04,6.333333333,268.0,30.5,20.0,7.13,4.23,3.4076923076923076
2703,Jermaine Gresham,2018,30.0,TE,75,26.0,7.8,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,1.4909090909090907
2707,Eric Tomlinson,2018,26.0,TE,57.1,24.0,5.1,4.98,6.5,263.0,30.5,19.0,7.46,4.54,1.2666666666666666
2846,Rob Gronkowski,2017,28.0,TE,65.7,53.0,10.3,4.68,6.5,264.0,0.0,23.0,0.0,0.0,16.242857142857144
2848,Travis Kelce,2017,28.0,TE,68,44.0,8.5,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,15.566666666666666
2856,Zach Ertz,2017,27.0,TE,67.3,53.0,7.5,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,15.569230769230769
2870,Jimmy Graham,2017,31.0,TE,59.4,33.0,5.4,4.53,6.5,260.0,38.5,0.0,6.9,4.45,13.153846153846153
2874,Evan Engram,2017,23.0,TE,55.7,35.0,6.3,4.42,6.25,234.0,36.0,19.0,6.92,4.23,15.781818181818181
2886,Kyle Rudolph,2017,28.0,TE,70.4,34.0,6.6,4.83,6.5,259.0,0.0,0.0,0.0,0.0,9.8875
2907,Jason Witten,2017,35.0,TE,72.4,28.0,6.4,4.65,6.5,264.0,31.0,25.0,0.0,0.0,9.1875
2909,Tyler Kroft,2017,25.0,TE,67.7,59.0,6.5,4.75,6.416666667,246.0,0.0,17.0,0.0,0.0,7.775
2980,Hunter Henry,2017,23.0,TE,72.6,34.0,9.3,4.79,6.416666667,250.0,0.0,13.0,0.0,0.0,9.761538461538462
2984,Jared Cook,2017,30.0,TE,62.8,35.0,8.0,4.49,6.416666667,246.0,41.0,23.0,0.0,0.0,8.3
2985,Vernon Davis,2017,33.0,TE,62.3,69.0,9.4,4.38,6.25,254.0,42.0,33.0,7.0,4.17,7.6125
2992,O.J. Howard,2017,23.0,TE,66.7,58.0,11.1,4.51,6.5,251.0,30.0,22.0,6.85,4.16,7.228571428571429
3019,Marcedes Lewis,2017,33.0,TE,50,37.0,6.6,4.8,6.5,261.0,37.0,23.0,7.24,4.82,5.4875
3035,Julius Thomas,2017,29.0,TE,66.1,27.0,6.3,4.64,6.416666667,246.0,35.5,16.0,6.96,4.31,8.15
3037,Jesse James,2017,23.0,TE,68.3,32.0,5.9,4.83,6.583333333,261.0,37.5,26.0,7.53,4.5,7.014285714285714
3044,Austin Seferian-Jenkins,2017,25.0,TE,67.6,28.0,4.8,4.75,6.416666667,262.0,0.0,20.0,0.0,0.0,10.17
3051,Ed Dickson,2017,30.0,TE,62.5,64.0,9.1,4.59,6.333333333,249.0,34.0,23.0,7.32,4.59,6.641666666666667
3067,Jermaine Gresham,2017,29.0,TE,71.7,21.0,7.0,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,5.514285714285714
3097,Rhett Ellison,2017,29.0,TE,75,27.0,7.3,4.78,6.416666667,251.0,31.5,0.0,0.0,0.0,4.25
3100,Tyler Higbee,2017,24.0,TE,55.6,38.0,6.6,4.77,6.5,249.0,0.0,0.0,0.0,0.0,3.78125
3129,Jonnu Smith,2017,22.0,TE,60,32.0,5.2,4.62,6.25,248.0,38.0,22.0,0.0,4.18,3.5153846153846158
3138,Virgil Green,2017,29.0,TE,63.6,44.0,8.7,4.54,6.25,249.0,42.5,23.0,6.9,4.4,2.44375
3145,Dion Sims,2017,26.0,TE,51.7,27.0,6.2,4.75,6.416666667,262.0,35.0,22.0,7.36,4.52,2.7857142857142856
3146,Levine Toilolo,2017,26.0,TE,85.7,25.0,8.7,4.86,6.666666667,260.0,31.0,17.0,7.09,4.57,3.016666666666667
3151,Nick Boyle,2017,24.0,TE,75.7,16.0,5.5,5.04,6.333333333,268.0,30.5,20.0,7.13,4.23,4.572727272727272
3162,Troy Niklas,2017,25.0,TE,47.8,21.0,5.7,4.84,6.5,270.0,32.0,27.0,7.57,4.55,2.7454545454545456
3167,Eric Tomlinson,2017,25.0,TE,72.7,34.0,11.0,4.98,6.5,263.0,30.5,19.0,7.46,4.54,2.1750000000000003
3216,Michael Hoomanawanui,2017,29.0,TE,60,25.0,5.2,4.77,6.333333333,264.0,0.0,25.0,0.0,0.0,1.72
3299,Randall Telfer,2017,25.0,TE,75,20.0,9.0,4.83,6.333333333,250.0,0.0,20.0,0.0,0.0,0.4714285714285714
3393,Travis Kelce,2016,27.0,TE,72.6,80.0,9.6,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,14.866666666666667
3398,Greg Olsen,2016,31.0,TE,62,78.0,8.3,4.51,6.5,254.0,35.5,23.0,7.04,4.48,12.95625
3401,Kyle Rudolph,2016,27.0,TE,62.9,44.0,6.4,4.83,6.5,259.0,0.0,0.0,0.0,0.0,13.0625
3404,Jimmy Graham,2016,30.0,TE,68.4,42.0,9.7,4.53,6.5,260.0,38.5,0.0,6.9,4.45,12.620000000000001
3412,Martellus Bennett,2016,29.0,TE,75.3,58.0,9.6,4.68,6.5,259.0,34.0,18.0,7.64,4.53,14.008333333333333
3422,Zach Ertz,2016,26.0,TE,73.6,30.0,7.7,4.76,6.416666667,249.0,30.5,24.0,7.08,4.47,15.299999999999999
3437,Hunter Henry,2016,22.0,TE,67.9,59.0,9.0,4.79,6.416666667,250.0,0.0,13.0,0.0,0.0,12.98
3518,Eric Ebron,2016,23.0,TE,71.8,61.0,8.4,4.6,6.333333333,250.0,32.0,24.0,0.0,0.0,11.092307692307692
3521,Dennis Pitta,2016,31.0,TE,71.1,30.0,6.0,4.68,6.333333333,245.0,34.0,27.0,6.72,4.17,14.075000000000001
3522,Jason Witten,2016,34.0,TE,72.6,35.0,7.1,4.65,6.5,264.0,31.0,25.0,0.0,0.0,9.51875
3528,C.J. Fiedorowicz,2016,25.0,TE,60.7,26.0,6.3,4.76,6.416666667,265.0,31.5,25.0,7.1,4.26,8.926666666666668
3530,Dwayne Allen,2016,26.0,TE,67.3,23.0,7.8,4.85,6.25,255.0,32.0,27.0,7.12,4.37,8.114285714285714
3537,Gary Barnidge,2016,31.0,TE,67.1,43.0,7.5,4.61,6.5,243.0,31.0,22.0,6.92,4.23,8.1375
3551,Vernon Davis,2016,32.0,TE,74.6,44.0,9.9,4.38,6.25,254.0,42.0,33.0,7.0,4.17,8.164285714285715
3569,Vance McDonald,2016,26.0,TE,53.3,75.0,8.7,4.69,6.333333333,267.0,33.5,31.0,7.08,4.53,7.918181818181818
3575,Lance Kendricks,2016,28.0,TE,57.5,44.0,5.7,4.65,6.25,243.0,34.5,25.0,6.94,4.15,6.86875
3589,Jesse James,2016,22.0,TE,65,24.0,5.6,4.83,6.583333333,261.0,37.5,26.0,7.53,4.5,6.984615384615385
3594,Jermaine Gresham,2016,28.0,TE,60.7,34.0,6.4,4.66,6.416666667,261.0,35.0,20.0,7.07,4.53,6.292857142857143
3598,Dion Sims,2016,25.0,TE,74.3,28.0,7.3,4.75,6.416666667,262.0,35.0,22.0,7.36,4.52,6.872727272727272
3629,Levine Toilolo,2016,25.0,TE,68.4,46.0,13.9,4.86,6.666666667,260.0,31.0,17.0,7.09,4.57,4.672727272727273
3651,Virgil Green,2016,28.0,TE,59.5,31.0,6.4,4.54,6.25,249.0,42.5,23.0,6.9,4.4,4.7
3680,Marcedes Lewis,2016,32.0,TE,66.7,37.0,5.6,4.8,6.5,261.0,37.0,23.0,7.24,4.82,4.29
3697,Anthony Fasano,2016,32.0,TE,61.5,17.0,6.4,4.72,6.333333333,259.0,33.5,19.0,6.94,4.34,2.83
3771,Tyler Kroft,2016,24.0,TE,83.3,21.0,7.7,4.75,6.416666667,246.0,0.0,17.0,0.0,0.0,1.7454545454545454
3858,Luke Stocker,2016,28.0,TE,62.5,11.0,2.9,4.68,6.416666667,258.0,33.0,27.0,7.03,4.4,0.73
3924,Rob Gronkowski,2015,26.0,TE,60,76.0,9.8,4.68,6.5,264.0,0.0,23.0,0.0,0.0,17.04
3928,Gary Barnidge,2015,30.0,TE,63.2,40.0,8.3,4.61,6.5,243.0,31.0,22.0,6.92,4.23,18.253846153846155
3933,Greg Olsen,2015,30.0,TE,62.1,52.0,8.9,4.51,6.5,254.0,35.5,23.0,7.04,4.48,14.2125
3941,Tyler Eifert,2015,25.0,TE,70.3,31.0,8.3,4.68,6.416666667,250.0,35.5,22.0,6.92,4.32,15.958333333333334
3957,Travis Kelce,2015,26.0,TE,69.9,42.0,8.5,4.63,6.416666667,255.0,0.0,0.0,0.0,0.0,11.84375
3975,Richard Rodgers,2015,23.0,TE,68.2,61.0,6.0,4.87,6.333333333,257.0,31.5,16.0,7.23,4.47,13.341666666666667
4059,Jason Witten,2015,33.0,TE,74,35.0,6.9,4.65,6.5,264.0,31.0,25.0,0.0,0.0,10.26875
4071,Kyle Rudolph,2015,26.0,TE,67.1,47.0,6.8,4.83,6.5,259.0,0.0,0.0,0.0,0.0,8.03125
4075,Julius Thomas,2015,27.0,TE,57.5,34.0,5.7,4.64,6.416666667,246.0,35.5,16.0,6.96,4.31,12.15
4083,Zach Miller,2015,31.0,TE,73.9,87.0,9.5,4.87,6.333333333,256.0,34.0,0.0,7.01,4.42,7.707142857142857
4086,Jimmy Graham,2015,29.0,TE,64.9,45.0,8.2,4.53,6.5,260.0,38.5,0.0,6.9,4.45,10.954545454545455
4092,Owen Daniels,2015,33.0,TE,59.7,37.0,6.7,4.65,6.25,253.0,34.5,23.0,6.87,4.1,7.23125
4095,Coby Fleener,2015,27.0,TE,64.3,57.0,5.8,4.51,6.5,247.0,0.0,27.0,0.0,0.0,11.19090909090909
4098,Heath Miller,2015,33.0,TE,74.1,27.0,6.6,4.79,6.416666667,256.0,0.0,0.0,0.0,0.0,8.513333333333334
