,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
2333,Tevin Coleman,2018,25.0,RB,4.8,4.4,206.0,0.0,22.0,0.0,0.0,6.3,72.7,13.828571428571427
2334,Marlon Mack,2018,22.0,RB,4.7,4.5,213.0,35.5,15.0,0.0,0.0,4.0,65.4,17.81
2335,Jordan Howard,2018,24.0,RB,3.7,4.57,230.0,34.0,16.0,0.0,0.0,5.6,76.9,12.0
2344,Lamar Miller,2018,27.0,RB,4.6,4.34,212.0,33.0,0.0,0.0,0.0,4.7,71.4,12.328571428571427
2385,Peyton Barber,2018,24.0,RB,3.7,4.64,228.0,32.5,20.0,7.0,4.21,3.2,69,9.39375
2394,Dalvin Cook,2018,23.0,RB,4.6,4.49,210.0,30.5,22.0,7.27,4.53,6.2,81.6,15.2
2417,Alex Collins,2018,24.0,RB,3.6,4.59,217.0,28.5,18.0,0.0,0.0,5.0,71.4,10.86
2420,LeSean McCoy,2018,30.0,RB,3.2,4.5,198.0,0.0,0.0,0.0,0.0,5.2,73.9,9.784615384615385
2422,Frank Gore,2018,35.0,RB,4.6,4.58,217.0,0.0,0.0,0.0,0.0,7.8,75,7.328571428571428
2836,Todd Gurley,2017,23.0,RB,4.7,4.52,222.0,0.0,17.0,0.0,0.0,9.1,73.6,25.553333333333335
2837,Le'Veon Bell,2017,25.0,RB,4.0,4.6,230.0,31.5,24.0,6.75,4.24,6.2,80.2,22.773333333333333
2838,Kareem Hunt,2017,22.0,RB,4.9,4.62,216.0,36.5,18.0,0.0,0.0,7.2,84.1,18.45
2840,Melvin Gordon,2017,24.0,RB,3.9,4.52,215.0,35.0,19.0,7.04,4.07,5.7,69.9,18.00625
2843,Mark Ingram,2017,28.0,RB,4.9,4.62,215.0,31.5,21.0,7.13,4.62,5.9,81.7,23.166666666666668
2845,LeSean McCoy,2017,29.0,RB,4.0,4.5,198.0,0.0,0.0,0.0,0.0,5.8,76.6,16.475
2849,Leonard Fournette,2017,22.0,RB,3.9,4.51,240.0,28.5,0.0,0.0,0.0,6.3,75,17.707692307692305
2853,Ezekiel Elliott,2017,22.0,RB,4.1,4.47,225.0,32.5,0.0,0.0,0.0,7.1,68.4,20.32
2854,Jordan Howard,2017,23.0,RB,4.1,4.57,230.0,34.0,16.0,0.0,0.0,3.9,71.9,12.48125
2855,Carlos Hyde,2017,27.0,RB,3.9,4.62,230.0,34.5,19.0,0.0,0.0,4.0,67,14.6125
