,Player,Position,Age,ovr_score,catch_yds_score,Overall,High,Low
190,Andre Baccellia,WR,25,0.03575063430001067,0.03575063430001067,,,
191,Danny Gray,WR,23,0.03500752504634842,0.03500752504634842,,,
192,Dennis Houston,WR,23,0.03481777329255788,0.03481777329255788,,,
193,Tylan Wallace,WR,23,0.031446488280288246,0.031446488280288246,,,
194,Simi Fehoko,WR,25,0.03074883643894065,0.03074883643894065,,,
195,Braylon Sanders,WR,23,0.02933410035140553,0.02933410035140553,,,
196,Cade Johnson,WR,24,0.02845195873646554,0.02845195873646554,,,
197,Austin Trammell,WR,24,0.026471783453997658,0.026471783453997658,,,
198,Montrell Washington,WR,23,0.025191116891562712,0.025191116891562712,,,
199,KaVontae Turpin,WR,26,0.02335381985496586,0.02335381985496586,,,
200,C.J. Board,WR,29,0.023118699265810602,0.023118699265810602,,,
201,Nsimba Webster,WR,26,0.022809698406740506,0.022809698406740506,,,
202,Jalen Tolbert,WR,23,0.022359447983723427,0.022359447983723427,,,
203,Jason Moore,WR,27,0.022017926546355718,0.022017926546355718,,,
204,Frank Darby,WR,25,0.0207162985891952,0.0207162985891952,,,
205,Pharoh Cooper,WR,27,0.020501322781012424,0.020501322781012424,,,
206,Deonte Harty,WR,25,0.01910656520523457,0.01910656520523457,,,
207,Daylen Baldwin,WR,23,0.017460369713157606,0.017460369713157606,,,
208,Cody White,WR,24,0.017209033991928094,0.017209033991928094,,,
209,Mason Kinsey,WR,24,0.012993639390315267,0.012993639390315267,,,
210,Jacob Harris,WR,25,0.012227271426202377,0.012227271426202377,,,
211,Maurice Alexander,WR,25,0.01218274163022634,0.01218274163022634,,,
212,Josh Ali,WR,23,0.011798342771984716,0.011798342771984716,,,
213,Jalen Camp,WR,24,0.010994118386378385,0.010994118386378385,,,
214,Dareke Young,WR,23,0.009787648735094967,0.009787648735094967,,,
215,Erik Ezukanma,WR,22,0.009359776223888408,0.009359776223888408,,,
