Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,-9999
1,Deshaun Watson*,HOU,25,QB,16,16,382,544,4823,4840,8.9,2847,7.5,5.2,1976,5.2,WatsDe00
2,Patrick Mahomes*,KAN,25,QB,15,15,390,588,4740,4910,8.4,2473,6.3,4.2,2267,5.8,MahoPa00
3,Tom Brady,TAM,43,QB,16,16,401,610,4633,5531,9.1,2833,7.1,4.6,1800,4.5,BradTo00
4,Matt Ryan,ATL,35,QB,16,16,407,626,4581,5337,8.5,2939,7.2,4.7,1642,4.0,RyanMa00
5,Josh Allen*,BUF,24,QB,16,16,396,572,4544,4857,8.5,2692,6.8,4.7,1852,4.7,AlleJo02
6,Justin Herbert,LAC,22,QB,15,15,396,595,4336,4378,7.4,2121,5.4,3.6,2215,5.6,HerbJu00
7,Aaron Rodgers*+,GNB,37,QB,16,16,372,526,4299,4135,7.9,2051,5.5,3.9,2248,6.0,RodgAa00
8,Kirk Cousins,MIN,32,QB,16,16,349,516,4265,4103,8.0,2329,6.7,4.5,1936,5.5,CousKi00
9,Russell Wilson*,SEA,32,QB,16,16,384,558,4212,4809,8.6,2385,6.2,4.3,1827,4.8,WilsRu00
10,Philip Rivers,IND,39,QB,16,16,369,543,4169,3893,7.2,1948,5.3,3.6,2221,6.0,RivePh00
11,Derek Carr,LVR,29,QB,16,16,348,517,4103,4184,8.1,2147,6.2,4.2,1956,5.6,CarrDe02
12,Matthew Stafford,DET,32,QB,16,16,339,528,4084,4609,8.7,2343,6.9,4.4,1741,5.1,StafMa00
13,Kyler Murray*,ARI,23,QB,16,16,375,558,3971,4340,7.8,2213,5.9,4.0,1758,4.7,MurrKy00
14,Jared Goff,LAR,26,QB,15,15,370,552,3952,3579,6.5,1800,4.9,3.3,2152,5.8,GoffJa00
15,Ryan Tannehill,TEN,32,QB,16,16,315,481,3819,4029,8.4,2295,7.3,4.8,1524,4.8,TannRy00
16,Ben Roethlisberger,PIT,38,QB,15,15,399,608,3803,4220,6.9,1850,4.6,3.0,1953,4.9,RoetBe00
17,Teddy Bridgewater,CAR,28,QB,15,15,340,492,3733,3511,7.1,1853,5.5,3.8,1880,5.5,BridTe00
18,Baker Mayfield,CLE,25,QB,16,16,305,486,3563,4124,8.5,2203,7.2,4.5,1360,4.5,MayfBa00
19,Daniel Jones,NYG,23,QB,14,14,280,448,2943,3395,7.6,1827,6.5,4.1,1116,4.0,JoneDa05
20,Drew Brees,NOR,41,QB,12,12,275,390,2942,2361,6.1,1464,5.3,3.8,1478,5.4,BreeDr00
21,Drew Lock,DEN,24,QB,13,13,254,443,2933,3883,8.8,1530,6.0,3.5,1403,5.5,LockDr00
22,Lamar Jackson,BAL,23,QB,15,15,242,376,2757,3241,8.6,1588,6.6,4.2,1169,4.8,JackLa00
23,Joe Burrow,CIN,24,QB,10,10,264,404,2688,3438,8.5,1550,5.9,3.8,1138,4.3,BurrJo01
24,Cam Newton,NWE,31,QB,15,15,242,368,2657,2496,6.8,1393,5.8,3.8,1264,5.2,NewtCa00
25,Carson Wentz,PHI,28,QB,12,12,251,437,2620,3836,8.8,1605,6.4,3.7,1015,4.0,WentCa00
26,Nick Mullens,SFO,25,QB,10,8,211,326,2437,2053,6.3,1198,5.7,3.7,1239,5.9,MullNi00
27,Gardner Minshew II,JAX,24,QB,9,8,216,327,2259,2558,7.8,1243,5.8,3.8,1016,4.7,MinsGa00
28,Sam Darnold,NYJ,23,QB,12,12,217,364,2208,2794,7.7,1053,4.9,2.9,1155,5.3,DarnSa00
29,Andy Dalton,DAL,33,QB,11,9,216,333,2170,2278,6.8,1127,5.2,3.4,1043,4.8,DaltAn00
30,Ryan Fitzpatrick,MIA,38,qb,9,7,183,267,2091,2072,7.8,1236,6.8,4.6,855,4.7,FitzRy00
31,Mitchell Trubisky,CHI,26,QB,10,9,199,297,2055,2329,7.8,1052,5.3,3.5,1003,5.0,TrubMi00
32,Dak Prescott,DAL,27,qb,5,5,151,222,1856,1762,7.9,1046,6.9,4.7,810,5.4,PresDa01
33,Nick Foles,CHI,31,qb,9,7,202,312,1852,2502,8.0,1151,5.7,3.7,701,3.5,FoleNi00
34,Tua Tagovailoa,MIA,22,QB,10,9,186,290,1814,2175,7.5,1048,5.6,3.6,766,4.1,TagoTu00
35,Alex Smith,WAS,36,QB,8,6,168,252,1582,1286,5.1,629,3.7,2.5,953,5.7,SmitAl03
36,Dwayne Haskins,WAS,23,qb,7,6,148,241,1439,1622,6.7,572,3.9,2.4,867,5.9,HaskDw00
37,Jimmy Garoppolo,SFO,29,qb,6,6,94,140,1096,879,6.3,382,4.1,2.7,714,7.6,GaroJi00
38,Mike Glennon,JAX,31,qb,5,5,111,179,1072,1424,8.0,667,6.0,3.7,405,3.6,GlenMi00
39,Jalen Hurts,PHI,22,qb,15,4,77,148,1061,1350,9.1,593,7.7,4.0,468,6.1,HurtJa00
40,Taysom Hill,NOR,30,wr/qb,16,8,88,121,928,843,7.0,556,6.3,4.6,372,4.2,HillTa00
41,Brandon Allen,CIN,28,qb,5,5,90,142,925,940,6.6,368,4.1,2.6,557,6.2,AlleBr00
42,Joe Flacco,NYJ,35,qb,5,4,74,134,864,1422,10.6,519,7.0,3.9,345,4.7,FlacJo00
43,C.J. Beathard,SFO,27,qb,6,2,66,104,787,838,8.1,443,6.7,4.3,344,5.2,BeatC.00
44,Jake Luton,JAX,24,qb,3,3,60,110,624,865,7.9,338,5.6,3.1,286,4.8,LutoJa00
45,Kyle Allen,WAS,24,qb,4,4,60,87,610,523,6.0,286,4.8,3.3,324,5.4,AlleKy00
46,Jeff Driskel,DEN,27,qb,3,1,35,64,432,638,10.0,301,8.6,4.7,131,3.7,DrisJe00
47,Colt McCoy,NYG,34,qb,4,2,40,66,375,590,8.9,248,6.2,3.8,127,3.2,McCoCo00
48,P.J. Walker,CAR,25,qb,4,1,32,56,368,583,10.4,227,7.1,4.1,141,4.4,WalkPh00
49,Mason Rudolph,PIT,25,qb,5,1,25,43,324,432,10.0,222,8.9,5.2,102,4.1,RudoMa00
