,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,-additional
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,-9999
69,Danny Amendola,MIA,33,WR,15,15,1,1,28,25,25.0,25,25.0,25.0,3,3.0,AmenDa00
70,Emmanuel Sanders,DEN,31,WR,12,12,1,1,28,28,28.0,28,28.0,28.0,0,0.0,SandEm00
71,Sean Mannion,LAR,26,qb,3,0,2,3,23,-10,-3.3,-4,-2.0,-1.3,27,13.5,MannSe00
72,Nate Sudfeld,PHI,25,qb,2,0,1,2,22,9,4.5,-1,-1.0,-0.5,23,23.0,SudfNa00
73,Robert Griffin III,BAL,28,qb,3,0,2,6,21,72,12.0,-5,-2.5,-0.8,26,13.0,GrifRo01
74,Darius Jennings,TEN,26,wr,16,0,1,1,21,10,10.0,10,10.0,10.0,11,11.0,JennDa00
75,Sam Koch,BAL,36,p,16,0,1,1,21,19,19.0,19,19.0,19.0,2,2.0,KochSa20
76,Matt Schaub,ATL,37,qb,3,0,5,7,20,32,4.6,12,2.4,1.7,8,1.6,SchaMa00
77,Johnny Hekker,LAR,28,p,16,0,2,4,19,51,12.8,8,4.0,2.0,11,5.5,HekkJo00
78,Nelson Agholor,PHI,25,WR,16,16,1,1,15,8,8.0,8,8.0,8.0,7,7.0,AghoNe00
79,Logan Thomas,BUF,27,qb,12,3,1,1,15,8,8.0,8,8.0,8.0,7,7.0,ThomLo00
80,Derrick Henry,TEN,24,RB,16,12,2,3,14,12,4.0,-7,-3.5,-2.3,21,10.5,HenrDe00
81,Colby Wadman,DEN,23,p,12,0,1,1,12,-1,-1.0,-1,-1.0,-1.0,13,13.0,WadmCo00
82,A.J. McCarron,OAK,28,qb,2,0,1,3,8,7,2.3,7,7.0,2.3,1,1.0,McCaA.00
83,Anthony Miller,CHI,24,wr,15,4,1,1,8,-6,-6.0,-6,-6.0,-6.0,14,14.0,MillAn02
84,Matt Prater,DET,34,k,16,0,1,1,8,8,8.0,8,8.0,8.0,0,0.0,PratMa20
85,Geno Smith,LAC,28,qb,5,0,1,4,8,11,2.8,-3,-3.0,-0.8,11,11.0,SmitGe00
86,Brian Hoyer,NWE,33,qb,5,0,1,2,7,4,2.0,-3,-3.0,-1.5,10,10.0,HoyeBr00
87,Tress Way,WAS,28,p,16,0,1,1,7,7,7.0,7,7.0,7.0,0,0.0,WayxTr00
88,Mohamed Sanu,ATL,29,WR,16,16,1,2,5,37,18.5,1,1.0,0.5,4,4.0,SanuMo00
89,Logan Cooke,JAX,23,p,16,0,1,1,4,-4,-4.0,-4,-4.0,-4.0,8,8.0,CookLo00
90,Kenny Stills,MIA,26,WR,15,15,1,1,3,2,2.0,2,2.0,2.0,1,1.0,StilKe00
91,Chris Boswell,PIT,27,k,15,0,1,1,2,2,2.0,2,2.0,2.0,0,0.0,BoswCh00
92,Jacoby Brissett,IND,26,qb,4,0,2,4,2,82,20.5,1,0.5,0.3,1,0.5,BrisJa00
93,Tarik Cohen*+,CHI,23,RB,16,7,1,1,1,1,1.0,1,1.0,1.0,0,0.0,CoheTa00
94,Bryan Anger,TAM,30,p,16,0,0,1,0,10,10.0,0,,0.0,0,,AngeBr00
95,Cole Beasley,DAL,29,wr,16,4,0,1,0,11,11.0,0,,0.0,0,,BeasCo00
96,Corey Bojorquez,BUF,22,p,8,0,0,1,0,-8,-8.0,0,,0.0,0,,BojoCo00
97,Tyler Boyd,CIN,24,WR,14,14,0,1,0,34,34.0,0,,0.0,0,,BoydTy00
98,Antonio Brown*,PIT,30,WR,15,15,0,1,0,12,12.0,0,,0.0,0,,BrowAn04
99,Eric Ebron*,IND,25,TE,16,8,0,1,0,4,4.0,0,,0.0,0,,EbroEr00
100,Bruce Ellington,2TM,27,,7,3,0,1,0,10,10.0,0,,0.0,0,,ElliBr00
101,Dontrell Hilliard,CLE,23,rb,11,0,0,1,0,12,12.0,0,,0.0,0,,HillDo00
102,DeAndre Hopkins*+,HOU,26,WR,16,16,0,1,0,17,17.0,0,,0.0,0,,HopkDe00
103,Zay Jones,BUF,23,WR,16,15,0,1,0,13,13.0,0,,0.0,0,,JoneZa00
104,Kyle Lauletta,NYG,23,qb,2,0,0,5,0,62,12.4,0,,0.0,0,,LaulKy00
105,JK Scott,GNB,23,k,16,0,0,1,0,-2,-2.0,0,,0.0,0,,ScotJK00
106,Dede Westbrook,JAX,25,wr,16,9,0,1,0,12,12.0,0,,0.0,0,,WestDe00
