Rk,Player,qb_score,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,CAY/PA_scaled,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,OnTgt%_scaled,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Yds/Scr_scaled,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
28,Will Levis,-0.13424928,25,TEN,QB,12,12,190,301,2575,8.6,1150,6.1,3.8,0.18326511,941,5,4,8,0,19,6.5,55,18.8,217,74.1,-0.196574439,2.4,69,15,34,90,24.9,19,7,-0.327113354,31,283,25,258,6,25,67,535,,LeviWi00
42,Justin Fields,-0.192203564,25,PIT,QB,10,6,106,161,1235,7.7,586,5.5,3.6,-0.086242405,520,4.9,3,8,1,7,4.6,24,15.8,114,75,0.002656411,2.5,48,11,16,43,22.2,17,6.3,-0.687884674,14,49,7,20,7,29,44,229,,FielJu00
11,C.J. Stroud,-0.214877265,23,HOU,QB,17,17,336,532,4376,8.2,2063,6.1,3.9,0.318018868,1664,5,8,22,1,26,5.1,95,18.7,373,73.3,-0.373668527,2.5,154,66,56,174,28,37,6.8,-0.430190874,42,330,38,322,1,8,123,1011,,StroCJ00
41,Jacoby Brissett,-0.248066636,32,NWE,QB,8,5,95,161,1038,6.4,389,4.1,2.4,-1.703287497,437,4.6,1,7,1,13,8.5,29,19,118,77.1,0.467528394,2.4,55,16,28,62,33,9,7.2,-0.224035834,12,66,11,69,1,-3,21,139,,BrisJa00
40,Drew Lock,-0.2788611,28,NYG,QB,8,5,107,181,1147,6.3,460,4.3,2.5,-1.568533739,611,5.7,8,4,1,7,4,33,18.8,122,69.3,-1.259138972,2.4,29,18,24,54,26.6,10,13.4,2.971367283,15,113,12,113,1,0,31,234,,LockDr00
36,Aidan O'Connell,-0.303569465,26,LVR,QB,9,7,154,243,1915,7.9,881,5.7,3.6,-0.086242405,731,4.7,5,9,1,6,2.6,49,21,166,71.2,-0.838540511,2.4,50,27,19,56,21.9,3,8.7,0.549045565,20,183,19,174,1,9,46,305,,OConAi00
2,Aaron Rodgers,-0.326107608,41,NYJ,QB,17,17,368,584,3996,6.8,1778,4.8,3,-0.894764951,2119,5.8,13,16,0,39,6.9,98,17.3,429,75.5,0.113340217,2.3,141,35,52,127,19.8,16,6.4,-0.636345914,87,723,85,715,1,8,112,733,AP CPoY-7,RodgAa00
27,Gardner Minshew II,-0.364591154,28,LVR,QB,10,9,203,306,1828,6,914,4.5,3,-0.894764951,1099,5.4,10,22,3,8,2.8,38,13.5,214,76.2,0.268297545,2.2,109,25,27,81,23.4,11,5.5,-1.100194753,35,152,32,152,0,0,52,396,,MinsGa00
43,Andy Dalton,-0.387264855,37,CAR,QB,6,5,106,160,1068,6.7,530,5,3.3,-0.490503678,459,4.3,5,3,0,9,5.7,21,13.4,117,74.5,-0.108027394,2.2,56,10,11,28,16.2,6,6,-0.842500953,22,130,22,130,0,0,33,198,,DaltAn00
21,Bryce Young,-0.424326782,23,CAR,QB,14,12,234,384,3298,8.6,1434,6.1,3.7,0.048511353,969,4.1,1,25,0,15,4.2,80,22.3,258,71.9,-0.683583183,2.3,136,53,38,120,26.7,37,6.9,-0.378652114,41,200,36,198,2,2,70,451,,YounBr01
