Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,-9999
70,Taysom Hill,NOR,33,QB,16,7,6,11,83,126,11.5,65,10.8,5.9,18,3.0,HillTa00
71,Mike White,MIA,28,QB,6,0,5,6,74,23,3.8,23,4.6,3.8,51,10.2,WhitMi01
72,Malik Willis,TEN,24,QB,3,0,4,5,74,39,7.8,19,4.8,3.8,55,13.8,WillMa12
73,Clayton Tune,ARI,24,QB,7,1,12,21,62,53,2.5,19,1.6,0.9,43,3.6,TuneCl00
74,Keenan Allen*,LAC,31,WR,13,13,1,2,49,39,19.5,22,22.0,11.0,27,27.0,AlleKe00
75,Sean Clifford,GNB,25,QB,2,0,1,1,37,34,34.0,34,34.0,34.0,3,3.0,ClifSe00
76,Jalen Reeves-Maybin*,DET,28,LB,17,0,1,1,31,22,22.0,22,22.0,22.0,9,9.0,ReevJa00
77,Braden Mann,PHI,26,P,15,0,1,1,28,11,11.0,11,11.0,11.0,17,17.0,MannBr01
78,Logan Woodside,ATL,28,QB,1,0,3,4,27,6,1.5,-2,-0.7,-0.5,29,9.7,WoodLo00
79,Drake London,ATL,22,WR,16,16,1,1,22,12,12.0,12,12.0,12.0,10,10.0,LondDr00
80,A.J. McCarron,CIN,33,QB,2,0,4,5,19,-8,-1.6,-1,-0.3,-0.2,20,5.0,McCaA.00
81,Thomas Morstead,NYJ,37,P,17,0,1,1,18,10,10.0,10,10.0,10.0,8,8.0,MorsTh00
82,Kenneth Gainwell,PHI,24,RB,16,2,1,1,17,17,17.0,17,17.0,17.0,0,0.0,GainKe00
83,Derrick Henry*,TEN,29,RB,17,17,2,3,14,27,9.0,14,7.0,4.7,0,0.0,HenrDe00
84,Dontayvion Wicks,GNB,22,WR,15,6,1,1,14,9,9.0,9,9.0,9.0,5,5.0,WickDo00
85,Logan Cooke,JAX,28,P,17,0,1,1,13,4,4.0,4,4.0,4.0,9,9.0,CookLo00
86,Jakobi Meyers,LVR,27,WR,16,16,2,3,12,12,4.0,12,6.0,4.0,0,0.0,MeyeJa01
87,Tommy Townsend,KAN,27,P,17,0,1,1,11,11,11.0,11,11.0,11.0,0,0.0,TownTo01
88,Johnny Hekker,CAR,33,P,17,0,1,1,7,-4,-4.0,-4,-4.0,-4.0,11,11.0,HekkJo00
89,Devin Singletary,HOU,26,RB,17,10,1,1,6,6,6.0,6,6.0,6.0,0,0.0,SingDe00
90,Dyami Brown,WAS,24,WR,17,1,1,1,4,1,1.0,1,1.0,1.0,3,3.0,BrowDy00
91,Jerick McKinnon,KAN,31,RB,12,0,1,1,4,-3,-3.0,-3,-3.0,-3.0,7,7.0,McKiJe00
92,Tyler Boyd,CIN,29,WR,17,13,0,1,0,-8,-8.0,0,,0.0,0,,BoydTy00
93,Chris Godwin,TAM,27,WR,17,17,0,1,0,18,18.0,0,,0.0,0,,GodwCh00
94,Connor Heyward,PIT,24,TE,17,7,0,1,0,-4,-4.0,0,,0.0,0,,HeywCo00
95,DeAndre Hopkins,TEN,31,WR,17,16,0,1,0,-1,-1.0,0,,0.0,0,,HopkDe00
96,Justin Jefferson,MIN,24,WR,10,9,0,1,0,20,20.0,0,,0.0,0,,JeffJu00
97,Aaron Rodgers,NYJ,40,QB,1,1,0,1,0,17,17.0,0,,0.0,0,,RodgAa00
98,Deebo Samuel,SFO,27,WR,15,15,0,1,0,11,11.0,0,,0.0,0,,SamuDe00
99,Jonnu Smith,ATL,28,TE,17,6,0,1,0,7,7.0,0,,0.0,0,,SmitJo01
100,Kadarius Toney,KAN,24,WR,13,2,0,1,0,16,16.0,0,,0.0,0,,ToneKa00
101,Kyle Trask,TAM,25,QB,2,0,0,1,0,3,3.0,0,,0.0,0,,TrasKy00
102,Garrett Wilson,NYJ,23,WR,17,17,0,1,0,10,10.0,0,,0.0,0,,WilsGa00
103,Christian Kirk,JAX,27,WR,12,12,1,2,-1,25,12.5,-1,-1.0,-0.5,0,0.0,KirkCh01
104,Ja'Marr Chase*,CIN,23,WR,16,16,1,1,-7,-7,-7.0,-7,-7.0,-7.0,0,0.0,ChasJa00
