Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,-9999
16,Chase Brown,24,CIN,RB,16,10,229,990,49,599,2.6,391,1.7,23,10.0,,BrowCh10
17,Alvin Kamara,29,NOR,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,,KamaAl00
18,Breece Hall,23,NYJ,RB,16,16,209,876,40,432,2.1,444,2.1,7,29.9,,HallBr03
19,James Cook,25,BUF,RB,16,16,207,1009,48,530,2.6,479,2.3,14,14.8,PB,CookJa01
20,Bucky Irving,22,TAM,RB,17,3,207,1122,52,566,2.7,556,2.7,12,17.3,AP ORoY-6,IrviBu00
21,Rhamondre Stevenson,26,NWE,RB,15,14,207,801,40,370,1.8,431,2.1,14,14.8,,StevRh00
22,De'Von Achane,23,MIA,RB,17,16,203,907,37,486,2.4,421,2.1,7,29.0,,AchaDe00
23,Kareem Hunt,29,KAN,RB,13,8,200,728,42,399,2.0,329,1.6,7,28.6,,HuntKa00
24,J.K. Dobbins,26,LAC,RB,13,11,195,905,47,416,2.1,489,2.5,24,8.1,AP CPoY-2,DobbJK00
25,Tyrone Tracy Jr.,25,NYG,RB,17,12,192,839,39,511,2.7,328,1.7,6,32.0,,TracTy00
26,Brian Robinson Jr.,25,WAS,RB,14,13,187,799,47,378,2.0,421,2.3,10,18.7,,RobiBr01
27,David Montgomery,27,DET,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,,MontDa01
28,Tank Bigsby,23,JAX,RB,16,1,168,766,39,295,1.8,471,2.8,14,12.0,,BigsTa00
29,Jordan Mason,25,SFO,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,,MasoJo00
30,Kenneth Walker III,24,SEA,RB,11,11,153,573,28,263,1.7,310,2.0,13,11.8,,WalkKe00
31,Travis Etienne,25,JAX,RB,15,15,150,558,31,283,1.9,275,1.8,3,50.0,,EtieTr00
32,Jalen Hurts,26,PHI,QB,15,15,150,630,62,449,3.0,181,1.2,11,13.6,,HurtJa00
33,Jayden Daniels,24,WAS,QB,17,17,148,891,55,653,4.4,238,1.6,9,16.4,PBAP MVP-7AP OPoY-17AP ORoY-1,DaniJa02
34,Rachaad White,25,TAM,RB,16,15,144,613,35,231,1.6,382,2.7,9,16.0,,WhitRa01
35,Lamar Jackson,27,BAL,QB,17,17,139,915,47,666,4.8,249,1.8,7,19.9,PBAP-1AP MVP-2AP OPoY-2,JackLa00
36,Javonte Williams,24,DEN,RB,17,11,139,513,30,258,1.9,255,1.8,4,34.8,,WillJa10
37,Tyler Allgeier,24,ATL,RB,17,0,137,644,43,288,2.1,356,2.6,7,19.6,,AllgTy00
38,Zach Charbonnet,23,SEA,RB,17,6,135,569,32,267,2.0,302,2.2,12,11.3,,CharZa00
39,Alexander Mattison,26,LVR,RB,14,7,132,420,25,209,1.6,211,1.6,7,18.9,,MattAl01
40,Antonio Gibson,26,NWE,RB,17,3,120,538,24,215,1.8,323,2.7,12,10.0,,GibsAn00
