,Player,Position,Age,ovr_score,catch_yds_score,Overall,High,Low
57,Kendrick Bourne,WR,27,0.4465029105671589,0.4465029105671589,,,
58,Courtland Sutton,WR,27,0.4460740470955229,0.4460740470955229,83.8,65.0,118.0
59,Curtis Samuel,WR,26,0.4447118519710213,0.4447118519710213,156.8,116.0,180.0
60,Jahan Dotson,WR,22,0.4430808694468267,0.4430808694468267,91.3,51.0,124.0
61,Rashid Shaheed,WR,24,0.4412552427322796,0.4412552427322796,,,
62,Jerry Jeudy,WR,23,0.43585791917958244,0.43585791917958244,56.2,28.0,89.0
63,Nelson Agholor,WR,29,0.4337312037299652,0.4337312037299652,,,
64,Elijah Moore,WR,22,0.4325670466424292,0.4325670466424292,100.6,75.0,127.0
65,Gabriel Davis,WR,23,0.4293786883102941,0.4293786883102941,93.4,68.0,122.0
66,Jalen Guyton,WR,25,0.4243955063295952,0.4243955063295952,,,
67,Michael Gallup,WR,26,0.4221724530117775,0.4221724530117775,139.1,109.0,176.0
68,Allen Lazard,WR,27,0.4043945802212401,0.4043945802212401,113.5,85.0,149.0
69,Damiere Byrd,WR,29,0.4039331971358218,0.4039331971358218,,,
70,Randall Cobb,WR,32,0.40261087931320216,0.40261087931320216,,,
71,Mecole Hardman,WR,24,0.40116283307710526,0.40116283307710526,167.6,102.0,210.0
72,Marquez Valdes-Scantling,WR,28,0.398518459212171,0.398518459212171,160.6,117.0,198.0
73,Rashod Bateman,WR,23,0.38962451231210404,0.38962451231210404,94.0,74.0,120.0
74,Zach Pascal,WR,28,0.37986103217491257,0.37986103217491257,,,
75,Russell Gage,WR,26,0.37684413417548646,0.37684413417548646,,,
76,Alec Pierce,WR,22,0.3762903332712739,0.3762903332712739,155.7,113.0,181.0
77,Van Jefferson,WR,26,0.360757293673344,0.360757293673344,170.0,121.0,207.0
78,Kenny Golladay,WR,29,0.3606992675793631,0.3606992675793631,,,
79,Rondale Moore,WR,22,0.3444585503666162,0.3444585503666162,113.6,88.0,147.0
80,Tre'Quan Smith,WR,26,0.34232252260328133,0.34232252260328133,,,
81,Jamison Crowder,WR,29,0.3343938590525872,0.3343938590525872,,,
82,Treylon Burks,WR,22,0.3338952142505427,0.3338952142505427,83.1,56.0,110.0
83,Josh Palmer,WR,24,0.3276590537972419,0.3276590537972419,,,
84,J.D. McKissic,WR,29,0.318385846292617,0.318385846292617,,,
85,Keelan Cole,WR,29,0.31598626411714603,0.31598626411714603,,,
86,Chris Conley,WR,30,0.3097926871646506,0.3097926871646506,,,
87,Nico Collins,WR,23,0.3083518192999716,0.3083518192999716,118.4,87.0,150.0
88,DeSean Jackson,WR,36,0.30491982225052205,0.30491982225052205,,,
89,Donovan Peoples-Jones,WR,23,0.29724121188868463,0.29724121188868463,143.7,100.0,180.0
90,Jauan Jennings,WR,25,0.29357256118024,0.29357256118024,,,
91,Kalif Raymond,WR,28,0.2935672161315648,0.2935672161315648,,,
92,Isaiah Hodgins,WR,24,0.2914294604344646,0.2914294604344646,,,
93,Marquez Callaway,WR,24,0.2872807873969149,0.2872807873969149,,,
94,Demarcus Robinson,WR,28,0.28549627369390757,0.28549627369390757,,,
95,Kadarius Toney,WR,23,0.28333173982102045,0.28333173982102045,88.9,45.0,127.0
96,Josh Reynolds,WR,27,0.2802979128488546,0.2802979128488546,,,
97,Jalen Reagor,WR,23,0.279554421690538,0.279554421690538,,,
98,Zay Jones,WR,27,0.27241995434928046,0.27241995434928046,128.7,99.0,152.0
99,Romeo Doubs,WR,22,0.27058187732090844,0.27058187732090844,140.7,95.0,180.0
100,Breshad Perriman,WR,29,0.26822364388297415,0.26822364388297415,,,
101,Cordarrelle Patterson,WR,31,0.2667192532050865,0.2667192532050865,123.6,78.0,175.0
102,Quez Watkins,WR,24,0.2641473353655194,0.2641473353655194,,,
103,Tutu Atwell,WR,23,0.2640416188902772,0.2640416188902772,,,
104,Nick Westbrook-Ikhine,WR,25,0.2591238397823156,0.2591238397823156,,,
105,Chosen Anderson,WR,29,0.25849496887240214,0.25849496887240214,,,
106,Byron Pringle,WR,29,0.24869738591945795,0.24869738591945795,,,
107,KJ Hamler,WR,23,0.2445740565013121,0.2445740565013121,,,
108,N'Keal Harry,WR,25,0.23976435476806285,0.23976435476806285,,,
109,Steven Sims,WR,25,0.23496949298194922,0.23496949298194922,,,
110,Olamide Zaccheaus,WR,25,0.23108922527660727,0.23108922527660727,,,
111,Marquise Goodwin,WR,32,0.2272369457855617,0.2272369457855617,,,
112,Isaiah McKenzie,WR,27,0.2268336172279786,0.2268336172279786,,,
113,Devin Duvernay,WR,25,0.22231605211681693,0.22231605211681693,,,
114,Mack Hollins,WR,29,0.2206495908839618,0.2206495908839618,,,
115,Ray-Ray McCloud,WR,26,0.21695643753373667,0.21695643753373667,,,
116,Phillip Dorsett,WR,29,0.2150826733421846,0.2150826733421846,,,
117,Dan Arnold,WR,27,0.21439896280650578,0.21439896280650578,,,
118,Braxton Berrios,WR,27,0.21345705820634425,0.21345705820634425,,,
119,Denzel Mims,WR,25,0.20245982734803525,0.20245982734803525,,,
120,Justin Watson,WR,26,0.1952397173948528,0.1952397173948528,,,
121,Jalen Nailor,WR,23,0.19247226696268438,0.19247226696268438,,,
122,Tyquan Thornton,WR,22,0.19132334640789178,0.19132334640789178,,,
123,Cedrick Wilson Jr.,WR,27,0.18595750981993286,0.18595750981993286,,,
124,Chris Moore,WR,29,0.1821697501026121,0.1821697501026121,,,
125,Jalen Virgil,WR,24,0.17522120005891526,0.17522120005891526,,,
126,Richie James,WR,27,0.174872996756472,0.174872996756472,,,
127,Dyami Brown,WR,23,0.17468347515551347,0.17468347515551347,,,
128,Kevin White,WR,30,0.1744253475077288,0.1744253475077288,,,
129,DeAndre Carter,WR,29,0.17087726716047527,0.17087726716047527,,,
130,Noah Brown,WR,26,0.16611563940643426,0.16611563940643426,,,
131,Terrace Marshall Jr.,WR,22,0.15548460915850953,0.15548460915850953,,,
132,Velus Jones Jr.,WR,25,0.1551824273743594,0.1551824273743594,,,
133,Equanimeous St. Brown,WR,26,0.15263644861444126,0.15263644861444126,,,
134,Jeff Smith,WR,25,0.1525818812576617,0.1525818812576617,,,
135,KhaDarel Hodge,WR,27,0.14648247453962937,0.14648247453962937,,,
136,Jake Kumerow,WR,30,0.14469109166639127,0.14469109166639127,,,
137,Keke Coutee,WR,25,0.14389821134827907,0.14389821134827907,,,
138,Skyy Moore,WR,22,0.14375007165179704,0.14375007165179704,114.8,85.0,156.0
139,Trent Sherfield,WR,26,0.14353693196836934,0.14353693196836934,,,
140,Scott Miller,WR,25,0.14125970958953651,0.14125970958953651,,,
141,Dante Pettis,WR,27,0.1399504232660404,0.1399504232660404,,,
142,Parris Campbell,WR,25,0.1394878116528686,0.1394878116528686,161.8,136.0,200.0
143,Tom Kennedy,WR,26,0.12943418251415809,0.12943418251415809,,,
144,Khalil Shakir,WR,22,0.1239336739990009,0.1239336739990009,,,
145,Ashton Dulin,WR,25,0.12245797293739477,0.12245797293739477,,,
146,Bryan Edwards,WR,24,0.12123909885476297,0.12123909885476297,,,
147,Cam Sims,WR,26,0.11762016303143939,0.11762016303143939,,,
148,Jamal Agnew,WR,27,0.11748234468958682,0.11748234468958682,,,
149,Wan'Dale Robinson,WR,21,0.1106840213390631,0.1106840213390631,153.7,114.0,180.0
150,Kendall Hinton,WR,25,0.104680233275659,0.104680233275659,,,
151,Laquon Treadwell,WR,27,0.10070551319831085,0.10070551319831085,,,
152,David Bell,WR,22,0.10066261773852514,0.10066261773852514,,,
153,Samori Toure,WR,24,0.09973302058842906,0.09973302058842906,,,
154,Ben Skowronek,WR,25,0.09885318194475406,0.09885318194475406,,,
155,Trenton Irwin,WR,27,0.09682895771787228,0.09682895771787228,,,
156,Marcus Johnson,WR,28,0.09546262143671069,0.09546262143671069,,,
157,Quintez Cephus,WR,24,0.09170470441943782,0.09170470441943782,,,
158,Trent Taylor,WR,28,0.08787356221967443,0.08787356221967443,,,
159,Shi Smith,WR,24,0.08569634214928279,0.08569634214928279,,,
160,Mike Thomas,WR,28,0.07661992308863903,0.07661992308863903,,,
161,Gunner Olszewski,WR,26,0.07289277301370634,0.07289277301370634,,,
162,Anthony Schwartz,WR,22,0.07231543137868904,0.07231543137868904,,,
163,Greg Dortch,WR,24,0.06922907318407794,0.06922907318407794,,,
164,Miles Boykin,WR,26,0.06723378607581529,0.06723378607581529,,,
165,Cody Hollister,WR,29,0.06474353739058566,0.06474353739058566,,,
166,Brandon Powell,WR,27,0.06004867449290838,0.06004867449290838,,,
167,Tyron Johnson,WR,26,0.05773477231706192,0.05773477231706192,,,
168,Michael Bandy,WR,25,0.057417244055776404,0.057417244055776404,,,
169,Jameson Williams,WR,21,0.055256510563812616,0.055256510563812616,126.0,88.0,177.0
170,D'Wayne Eskridge,WR,25,0.05524697205141055,0.05524697205141055,,,
171,Lil'Jordan Humphrey,WR,24,0.04707808010879824,0.04707808010879824,,,
172,River Cracraft,WR,28,0.04605905126935533,0.04605905126935533,,,
173,Ty Montgomery,WR,29,0.038542505796700835,0.038542505796700835,,,
174,Kyle Philips,WR,23,0.03495646559656884,0.03495646559656884,,,
175,James Proche,WR,26,0.030434995386425426,0.030434995386425426,,,
176,Juwann Winfree,WR,26,0.028139264249727625,0.028139264249727625,,,
177,David Sills,WR,26,0.025785837297816416,0.025785837297816416,,,
178,Tyrie Cleveland,WR,25,0.024664081634606608,0.024664081634606608,,,
179,Mike Strachan,WR,25,0.023285031575332654,0.023285031575332654,,,
180,Pharoh Cooper,WR,27,0.02223692037297989,0.02223692037297989,,,
181,Dezmon Patmon,WR,24,0.021153499958333516,0.021153499958333516,,,
182,Racey McMath,WR,23,0.019797247706701493,0.019797247706701493,,,
183,Tim Jones,WR,24,0.019540156881766135,0.019540156881766135,,,
184,Lawrence Cager,WR,25,0.019457598561902267,0.019457598561902267,,,
185,Brandon Johnson,WR,24,0.017560906820402775,0.017560906820402775,,,
186,Penny Hart,WR,26,0.01603265642286493,0.01603265642286493,,,
187,Dax Milne,WR,23,0.014882674120511419,0.014882674120511419,,,
188,Keith Kirkwood,WR,28,0.01282620116059209,0.01282620116059209,,,
189,Deven Thompkins,WR,23,0.011349731341785255,0.011349731341785255,,,
190,Andre Baccellia,WR,25,0.010671139193262902,0.010671139193262902,,,
191,Michael Woods II,WR,22,0.010653477675206288,0.010653477675206288,,,
192,C.J. Board,WR,29,0.009970755809285775,0.009970755809285775,,,
193,Simi Fehoko,WR,25,0.0002607481929836897,0.0002607481929836897,,,
194,Jason Moore,WR,27,-0.003870446886428569,-0.003870446886428569,,,
195,Tylan Wallace,WR,23,-0.005677608101593401,-0.005677608101593401,,,
196,Cade Johnson,WR,24,-0.006802412510067274,-0.006802412510067274,,,
197,Dennis Houston,WR,23,-0.007120239854242177,-0.007120239854242177,,,
198,Nsimba Webster,WR,26,-0.009250009499314205,-0.009250009499314205,,,
199,Danny Gray,WR,23,-0.010017758266475746,-0.010017758266475746,,,
200,Braylon Sanders,WR,23,-0.010301459342701963,-0.010301459342701963,,,
201,Daylen Baldwin,WR,23,-0.011163421831268894,-0.011163421831268894,,,
202,Frank Darby,WR,25,-0.012216517203472055,-0.012216517203472055,,,
203,Austin Trammell,WR,24,-0.013062992586837241,-0.013062992586837241,,,
204,Deonte Harty,WR,25,-0.017080691093160516,-0.017080691093160516,,,
205,KaVontae Turpin,WR,26,-0.01741067291611542,-0.01741067291611542,,,
206,Jalen Tolbert,WR,23,-0.019526737980483155,-0.019526737980483155,,,
207,Dareke Young,WR,23,-0.02050269158707055,-0.02050269158707055,,,
208,Cody White,WR,24,-0.02067009826182295,-0.02067009826182295,,,
209,Montrell Washington,WR,23,-0.022262895294469592,-0.022262895294469592,,,
210,Maurice Alexander,WR,25,-0.02383622547359643,-0.02383622547359643,,,
211,Jacob Harris,WR,25,-0.023931756844993213,-0.023931756844993213,,,
212,Jalen Camp,WR,24,-0.028417307077233805,-0.028417307077233805,,,
213,Mason Kinsey,WR,24,-0.03120749453994004,-0.03120749453994004,,,
214,Josh Ali,WR,23,-0.03543849699483151,-0.03543849699483151,,,
215,Erik Ezukanma,WR,22,-0.04332653619244331,-0.04332653619244331,,,
