,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low,,,,,Model_Projection_Points
54,Robby Anderson,WR,29,2022,122.9810756,248,26.8,6.01,18.05,,,,54,122.9810756
55,DeVante Parker,WR,29,2022,122.9810756,139,9.4,8.05,14.07,,,,55,122.9810756
56,Corey Davis,WR,27,2022,122.6380915,267,23.8,13.02,19.05,,,,56,122.6380915
57,Julio Jones,WR,33,2022,119.1689564,151,15.6,3.06,15.11,,,,57,119.1689564
58,Courtland Sutton,WR,27,2022,118.9142521,69,8.5,2.07,8.04,,,,58,118.9142521
59,Kenny Golladay,WR,29,2022,116.8506718,216,18.7,9.07,17.09,,,,59,116.8506718
60,Rondale Moore,WR,22,2022,112.7678797,189,16.3,9.03,16.08,,,,60,112.7678797
61,Van Jefferson,WR,26,2022,110.5236924,270,28.4,7.09,18.08,,,,61,110.5236924
62,Allen Lazard,WR,27,2022,110.0300832,102,8.5,5.03,11.06,,,,62,110.0300832
63,Chuba Hubbard,RB,23,2022,108.9728459,135,11.4,5.02,14.03,,,,63,108.9728459
64,Rashod Bateman,WR,23,2022,108.9728459,95,7.9,4.07,10.11,,,,64,108.9728459
65,Nico Collins,WR,23,2022,102.5891139,230,22.1,8.04,18.06,,,,65,102.5891139
66,Josh Palmer,WR,24,2022,101.6050714,211,22.4,9.1,18.06,,,,66,101.6050714
67,Tim Patrick,WR,29,2022,100.1074724,238,15.6,11.07,16.11,,,,67,100.1074724
68,Kadarius Toney,WR,23,2022,99.98827676,117,8.3,6.01,13.06,,,,68,99.98827676
69,Cordarrelle Patterson,WR,31,2022,98.95051981,98,8.8,3.08,10.1,,,,69,98.95051981
70,Nelson Agholor,WR,29,2022,98.47246209,113,31.5,3.01,13.01,,,,70,98.47246209
71,Randall Cobb,WR,32,2022,79.7669107,192,45.9,3.07,19.04,,,,71,79.7669107
72,Sammy Watkins,WR,29,2022,77.89587537,269,25.3,7.07,18.06,,,,72,77.89587537
73,Isaiah McKenzie,WR,27,2022,76.74886933,213,21.1,6.07,17.12,,,,73,76.74886933
74,Marquez Valdes-Scantling,WR,28,2022,74.77940081,154,12.5,5.11,15.1,,,,74,74.77940081
75,Parris Campbell,WR,25,2022,41.51992735,210,16.2,11.03,15.12,,,,75,41.51992735
