,Player,Position,Age,ovr_score,rush_yds_score,catch_yds_score,Overall,High,Low
21,David Montgomery,RB,25,0.7256498527567977,0.29952870607969145,0.42612114667710627,60.1,22.0,95.0
22,Joe Mixon,RB,26,0.714577863564078,0.3473007712082262,0.3672770923558519,29.9,18.0,45.0
23,Clyde Edwards-Helaire,RB,23,0.7105667595568069,0.4126820908354755,0.2978846687213314,139.2,100.0,180.0
24,Tyler Allgeier,RB,22,0.6877287659498724,0.3880891173521851,0.2996396485976873,108.6,67.0,154.0
25,James Cook,RB,23,0.666771479218387,0.3640531276735218,0.3027183515448652,78.6,52.0,99.0
26,Elijah Mitchell,RB,24,0.657474365300948,0.46330334190231354,0.1941710233986345,108.0,72.0,150.0
27,Rhamondre Stevenson,RB,24,0.6358370077874083,0.3702442159383033,0.265592791849105,22.0,13.0,34.0
28,Miles Sanders,RB,25,0.6292425278469056,0.40364181661953713,0.2256007112273684,54.4,36.0,74.0
29,Kenyan Drake,RB,28,0.6135616317033639,0.3845758354794344,0.2289857962239295,,,
30,J.D. McKissic,RB,29,0.6127580145189875,0.32007283633676087,0.29268517818222656,,,
31,Cordarrelle Patterson,RB,31,0.6073608843162472,0.33479005998714645,0.27257082432910074,123.6,78.0,175.0
32,Raheem Mostert,RB,30,0.6073478607765129,0.329305912596401,0.2780419481801119,113.4,66.0,165.0
33,Jamaal Williams,RB,27,0.6040725975770596,0.43161953727506425,0.17245306030199536,94.5,63.0,124.0
34,Leonard Fournette,RB,27,0.5968675917968846,0.1662810625578406,0.430586529239044,137.6,94.0,180.0
35,Jerick McKinnon,RB,30,0.5862175566453994,0.1871465295501285,0.3990710270952709,115.0,84.0,150.0
36,Latavius Murray,RB,32,0.5620648687630188,0.36439588688946006,0.1976689818735587,,,
37,Kareem Hunt,RB,27,0.5517042100847314,0.3140317052313624,0.237672504853369,128.2,58.0,188.0
38,Antonio Gibson,RB,24,0.5493970557641105,0.139417309344473,0.40997974641963747,82.9,58.0,110.0
39,Brian Robinson Jr.,RB,23,0.5219034451251418,0.3016066838046272,0.22029676132051457,93.0,70.0,119.0
40,Devin Singletary,RB,25,0.5077734752881946,0.265595544125964,0.24217793116223058,115.3,79.0,152.0
41,James Conner,RB,27,0.49475394457223887,0.1809982862082262,0.3137556583640127,55.6,29.0,80.0
42,Rachaad White,RB,23,0.49304734429757835,0.24181662381748067,0.25123072048009765,64.9,47.0,84.0
43,Isiah Pacheco,RB,23,0.4818710428303542,0.22223650385604113,0.25963453897431304,71.8,46.0,98.0
44,Michael Carter,RB,23,0.4774505857614357,0.17403598971722362,0.30341459604421206,134.2,100.0,180.0
45,Zack Moss,RB,25,0.47242964965394857,0.3324550128534704,0.13997463680047817,,,
46,Damien Harris,RB,25,0.45453544978239885,0.26259640102827764,0.1919390487541212,92.9,51.0,137.0
47,Jaylen Warren,RB,24,0.44917379439215366,0.26163239074550126,0.1875414036466524,140.6,100.0,189.0
48,Gus Edwards,RB,27,0.4481377106415446,0.3020994001670951,0.14603831047444954,154.3,112.0,188.0
49,Darrell Henderson,RB,25,0.44228420083168596,0.24661525278920307,0.19566894804248286,,,
50,Khalil Herbert,RB,24,0.4398990594577468,0.26015424164524414,0.17974481781250268,105.7,81.0,121.0
51,D'Onta Foreman,RB,26,0.43488219193305006,0.3112039417352185,0.12367825019783159,,,
52,Cam Akers,RB,23,0.4322475560304397,0.30670522708226217,0.12554232894817752,56.9,35.0,77.0
53,Zonovan Knight,RB,21,0.42754334477093325,0.292866323907455,0.13467702086347827,,,
54,Jeff Wilson,RB,27,0.4207444101915267,0.23191945159383032,0.18882495859769638,,,
55,Kenneth Gainwell,RB,23,0.41595572527699126,0.16098971722365035,0.2549660080533409,121.9,74.0,176.0
56,Chase Edmonds,RB,26,0.4053591825653629,0.17275064266580975,0.23260853989955316,140.2,103.0,183.0
57,AJ Dillon,RB,24,0.4026788187344671,0.2682519280205655,0.13442689071390157,,,
58,DeeJay Dallas,RB,24,0.3994165549645773,0.17827763496143958,0.22113892000313773,,,
59,Rashaad Penny,RB,26,0.3802186554157141,0.2767566409640102,0.10346201445170387,93.0,68.0,116.0
60,Tevin Coleman,RB,29,0.37486499804029016,0.07433590402750642,0.30052909401278377,,,
61,Alexander Mattison,RB,24,0.35878347318841486,0.20077120823007708,0.15801226495833776,50.7,21.0,80.0
62,Samaje Perine,RB,27,0.35469047839693835,0.17840616966580974,0.1762843087311286,115.9,73.0,175.0
63,Melvin Gordon,RB,29,0.35013990815455004,0.062167952008997426,0.2879719561455526,171.4,120.0,209.0
64,Ty Johnson,RB,25,0.34938669428576735,0.2077763496143959,0.14161034467137146,,,
65,Mark Ingram,RB,33,0.346865984439084,0.1463796058226221,0.2004863786164619,,,
66,Rex Burkhead,RB,32,0.3318521648548117,0.07780634104550128,0.25404582380931046,,,
67,Travis Homer,RB,24,0.3113897164314172,0.1165809768637532,0.19480873956766404,,,
68,Boston Scott,RB,27,0.3041656826483089,0.15854755784061694,0.14561812480769193,,,
69,Jamycal Hasty,RB,26,0.3031069686970002,0.16195372750642673,0.1411532411905735,,,
70,Brandon Bolden,RB,32,0.2921358786218648,0.019922879177506424,0.2722129994443584,,,
71,Raheem Blackshear,RB,23,0.29068010868104566,0.15591259640102825,0.13476751228001743,,,
72,Matt Breida,RB,27,0.28668899429466244,0.1375535561182519,0.1491354381764105,,,
73,Ronald Jones II,RB,25,0.2861211481131315,0.11141816623393315,0.17470298187919836,,,
74,Deon Jackson,RB,23,0.28592454059473393,0.12617823479434445,0.1597463058003895,,,
75,Nyheim Hines,RB,26,0.2852999144364499,0.016281062553598975,0.26901885188285096,,,
76,Dontrell Hilliard,RB,27,0.2812159684004389,0.08673950299485861,0.19447646540558028,,,
77,Joshua Kelley,RB,25,0.27457031044823016,0.19218080548843186,0.08238950495979828,,,
78,Malcolm Brown,RB,29,0.26221822372500186,0.13350471293059124,0.12871351079441062,,,
79,David Johnson,RB,31,0.2603242223346264,0.012510711225321335,0.24781351110930505,,,
80,Javonte Williams,RB,22,0.260152943803529,0.031362467866323906,0.22879047593720508,61.6,31.0,90.0
81,Justin Jackson,RB,26,0.25802351168683774,0.1702013710411311,0.08782214064570663,,,
82,Mike Davis,RB,29,0.256973921906389,0.11111825192802056,0.14585566997836846,,,
83,Craig Reynolds,RB,26,0.24302282821402438,0.10336332476863752,0.13965950344538686,,,
84,Phillip Lindsay,RB,28,0.23497808919971172,0.059125964010282785,0.17585212518942894,,,
85,Myles Gaskin,RB,25,0.22877224509972752,0.016066838046272493,0.21270540705345503,,,
86,Justice Hill,RB,25,0.22674747496569514,0.11793059124678662,0.10881688371890853,,,
87,Salvon Ahmed,RB,24,0.22346103405195192,0.08532562125064266,0.13813541280130925,,,
88,Malik Davis,RB,24,0.21819906837571829,0.10732647814910026,0.11087259022661804,,,
89,Pierre Strong,RB,24,0.21631036445928034,0.08682519280205656,0.12948517165722379,,,
90,Royce Freeman,RB,26,0.2148176669364664,0.0870608397596401,0.1277568271768263,,,
91,Dare Ogunbowale,RB,28,0.21023011687714366,0.018466152528663238,0.19176396434848042,,,
92,Sony Michel,RB,27,0.20462871962251516,0.06876606683419022,0.13586265278832493,,,
93,Caleb Huntley,RB,24,0.2001759297328292,0.10514138817480718,0.095034541558022,,,
94,Trayveon Williams,RB,25,0.19902949197634245,0.04305912596786632,0.15597036600847614,,,
95,Mike Boone,RB,27,0.18940194846524466,0.07956298200514138,0.10983896646010329,,,
96,Jonathan Williams,RB,28,0.18741129914233157,0.11032562124678662,0.07708567789554495,,,
97,Ameer Abdullah,RB,29,0.18473108853651105,0.017009425879177375,0.16772166265733368,,,
98,Darrel Williams,RB,27,0.18261469362002747,0.11401028277249356,0.06860441084753392,,,
99,Benny Snell Jr.,RB,24,0.1769721714082283,0.05424164524421593,0.12273052616401238,,,
100,Avery Williams,RB,24,0.1749937561503882,0.07005141388174807,0.10494234226864015,,,
101,Ke'Shawn Vaughn,RB,25,0.16874338085412172,0.09845758354755782,0.07028579730656388,,,
102,Hassan Haskins,RB,23,0.16794849853685484,0.07982005141388174,0.08812844712297312,,,
103,Gary Brightwell,RB,23,0.16258882991237178,0.10107112253213368,0.06151770738023808,,,
104,Tyrion Davis-Price,RB,22,0.15944339555676462,0.07866323907455011,0.0807801564822145,,,
105,Julius Chestnut,RB,22,0.15513392430606998,0.03547557840616966,0.1196583458999003,,,
106,Giovani Bernard,RB,31,0.15232816734163657,0.019708654670179945,0.1326195126714566,,,
107,Kyren Williams,RB,22,0.15100563123204208,0.045886889460154234,0.10511874177188786,,,
108,Jaret Patterson,RB,23,0.15066008989548463,0.038046272493573265,0.11261381740191136,,,
109,Jordan Mason,RB,23,0.14618766138255976,0.14305912596401027,0.0031285354185494885,,,
110,Keaontay Ingram,RB,23,0.1418843253166544,0.028534704370179947,0.11334962094647445,,,
111,D'Ernest Johnson,RB,26,0.13964028514238896,0.012789203084704371,0.12685108205768458,,,
112,J.J. Taylor,RB,24,0.13594195218371566,0.02480719794344473,0.11113475424027093,,,
113,Godwin Igwebuike,RB,28,0.1307050576732004,0.01328191945192802,0.11742313822127239,,,
114,Kene Nwangwu,RB,24,0.1287811815306369,0.025578406169665807,0.10320277536097107,,,
115,Trestan Ebner,RB,23,0.12614098368212204,0.07358611825192803,0.05255486543019401,,,
116,Anthony McFarland Jr.,RB,23,0.11323675887698637,0.029305912596401022,0.08393084628058535,,,
117,Dwayne Washington,RB,28,0.09593426088199407,0.025578406169665807,0.07035585471232826,,,
118,Isaiah Spiller,RB,21,0.09064241199613093,0.02699228791773779,0.06365012407839314,157.7,122.0,178.0
119,Jordan Wilkins,RB,28,0.08864688887897057,0.03196229648753214,0.05668459239143843,,,
120,Demetric Felton,RB,24,0.08515024530131807,0.010154241645244215,0.07499600365607385,,,
121,Patrick Taylor,RB,24,0.07970148120822249,0.027249357326478145,0.05245212388174435,,,
122,Ronnie Rivers,RB,23,0.07898367620414194,0.016195372750642673,0.06278830345349927,,,
123,Corey Clement,RB,28,0.0748167779692191,0.0232433590407455,0.0515734189284736,,,
124,Devine Ozigbo,RB,26,0.061541988100060126,0.01574550128534704,0.045796486814713086,,,
125,Tony Jones,RB,25,0.053996519439182177,0.035882604970437014,0.018113914468745163,,,
126,Larry Rountree,RB,23,0.053705595303911335,0.022107969151670948,0.03159762615224039,,,
127,Zamir White,RB,23,0.05188458164995882,0.05347043701799485,-0.0015858553680360293,146.9,95.0,185.0
128,Ty Montgomery,RB,29,0.046917802201669044,0.010282776349614395,0.03663502585205465,,,
129,Spencer Brown,RB,24,0.033672582727139334,0.015231362467866322,0.018441220259273014,,,
130,Darrynton Evans,RB,24,0.03103634648871615,0.05533419023136247,-0.02429784374264632,,,
131,Trey Sermon,RB,23,0.03086936767496214,0.028406169665809767,0.002463198009152373,,,
132,Kevin Harris,RB,22,0.02406875805822353,0.028534704370179947,-0.0044659463119564174,,,
133,Ty Chandler,RB,24,0.02388979162299662,0.02403598971722365,-0.00014619809422702912,,,
134,Snoop Conner,RB,22,0.02308888777628607,0.027892030848329048,-0.0048031430720429785,,,
135,Kylin Hill,RB,24,0.018438122571669206,0.018187660668380463,0.00025046190328874285,,,
136,Reggie Bonnafon,RB,26,0.01773803655026004,0.01780205655526992,-6.402000500987937e-05,,,
137,Jerome Ford,RB,23,0.015949117630067643,0.01863753213367609,-0.0026884145036084467,154.7,107.0,210.0
138,Jordan Howard,RB,28,0.013697371410804482,0.011139674378791773,0.0025576970320127096,,,
139,Duke Johnson,RB,29,0.010342569533974806,0.011011139674421593,-0.0006685701404467864,,,
140,Damien Williams,RB,30,0.008202257022523581,0.01116109682956298,-0.0029588398070393984,,,
141,Tyler Badie,RB,22,-0.02030762893671614,0.013753213367609252,-0.03406084230432539,,,
